년도,분기,행정동_코드,행정동_코드_명,월평균소득금액,지출총금액
2020,1,11305608,번3동,2548326,2025609000
2020,1,11305615,수유1동,2220463,3393609000
2020,1,11305625,수유2동,2577008,1532056000
2020,1,11305635,수유3동,2205999,9379869000
2020,1,11305645,우이동,2457144,2303162000
2020,1,11305660,인수동,2359990,2051310000
2020,1,11320511,창1동,3038009,2852565000
2020,1,11320512,창2동,2551630,2667659000
2020,1,11320513,창3동,2229423,934642000
2020,1,11320514,창4동,3547959,2758972000
2020,1,11320515,창5동,3298026,5850314000
2020,1,11320521,도봉1동,2275377,3452960000
2020,1,11320522,도봉2동,2811820,2070702000
2020,1,11320660,쌍문1동,2440535,1466797000
2020,1,11320670,쌍문2동,2430154,3711230000
2020,1,11320680,쌍문3동,2438072,2217806000
2020,1,11320681,쌍문4동,2968285,1485587000
2020,1,11320690,방학1동,2895702,7178665000
2020,1,11320700,방학2동,2099146,1689706000
2020,1,11320710,방학3동,2962092,1406892000
2020,1,11350560,월계1동,2777397,4398226000
2020,1,11350570,월계2동,2728093,1304104000
2020,1,11350580,월계3동,3110675,5925082000
2020,1,11350595,공릉1동,2786137,9534919000
2020,1,11350600,공릉2동,3394877,6387413000
2020,1,11350611,하계1동,3611061,5496633000
2020,1,11350612,하계2동,3625940,518918000
2020,1,11350619,중계본동,4197248,5238539000
2020,1,11350621,중계1동,4623227,4008064000
2020,1,11350624,중계4동,3196660,3351975000
2020,1,11350625,중계2?3동,2936682,8323628000
2020,1,11350630,상계1동,3030316,6712699000
2020,1,11350640,상계2동,3122902,17930842000
2020,1,11350665,상계3?4동,2644186,1319537000
2020,1,11350670,상계5동,2481440,1972657000
2020,1,11350695,상계6?7동,3152836,10452183000
2020,1,11350700,상계8동,3153561,1133078000
2020,1,11350710,상계9동,2955988,1169371000
2020,1,11350720,상계10동,3132098,712091000
2020,1,11380510,녹번동,3055864,3326229000
2020,1,11380520,불광1동,3182963,5309331000
2020,1,11380530,불광2동,2396457,3571210000
2020,1,11380551,갈현1동,2481200,5148663000
2020,1,11380552,갈현2동,2539257,5497387000
2020,1,11380560,구산동,2602334,2136291000
2020,1,11380570,대조동,2535013,6317442000
2020,1,11380580,응암1동,2726133,4349098000
2020,1,11380590,응암2동,3510245,1577414000
2020,1,11380600,응암3동,2360910,5265331000
2020,1,11380625,역촌동,2521877,5728906000
