연도,분기,구이름,행정동_코드,행정동_코드_명,등록인구_수,시군구_코드
2020,1,강북구,11305645,우이동,21293,11305
2020,1,강북구,11305635,수유3동,24070,11305
2020,1,강북구,11305625,수유2동,21931,11305
2020,1,강북구,11305615,수유1동,21734,11305
2020,1,강북구,11305555,송천동,28475,11305
2020,1,강북구,11305545,송중동,31331,11305
2020,1,강북구,11305534,삼양동,25334,11305
2020,1,강북구,11305575,삼각산동,32668,11305
2020,1,강북구,11305608,번3동,18094,11305
2020,1,강북구,11305603,번2동,17041,11305
2020,1,강북구,11305595,번1동,19648,11305
2020,1,강북구,11305535,미아동,22799,11305
2020,1,도봉구,11320515,창5동,25685,11320
2020,1,도봉구,11320514,창4동,27696,11320
2020,1,도봉구,11320513,창3동,14641,11320
2020,1,도봉구,11320512,창2동,30394,11320
2020,1,도봉구,11320511,창1동,26078,11320
2020,1,도봉구,11320681,쌍문4동,19699,11320
2020,1,도봉구,11320680,쌍문3동,17197,11320
2020,1,도봉구,11320670,쌍문2동,19875,11320
2020,1,도봉구,11320660,쌍문1동,22236,11320
2020,1,도봉구,11320710,방학3동,28522,11320
2020,1,도봉구,11320700,방학2동,21016,11320
2020,1,도봉구,11320690,방학1동,29817,11320
2020,1,도봉구,11320522,도봉2동,28498,11320
2020,1,도봉구,11320521,도봉1동,22141,11320
2020,1,노원구,11350612,하계2동,23183,11350
2020,1,노원구,11350611,하계1동,28864,11350
2020,1,노원구,11350619,중계본동,25717,11350
2020,1,노원구,11350624,중계4동,21121,11350
2020,1,노원구,11350625,중계23동,36414,11350
2020,1,노원구,11350621,중계1동,27903,11350
2020,1,노원구,11350580,월계3동,31378,11350
2020,1,노원구,11350570,월계2동,27873,11350
2020,1,노원구,11350560,월계1동,23781,11350
2020,1,노원구,11350710,상계9동,21707,11350
2020,1,노원구,11350700,상계8동,23618,11350
2020,1,노원구,11350695,상계67동,34341,11350
2020,1,노원구,11350670,상계5동,25181,11350
2020,1,노원구,11350665,상계34동,27366,11350
2020,1,노원구,11350640,상계2동,21062,11350
2020,1,노원구,11350630,상계1동,39942,11350
2020,1,노원구,11350720,상계10동,16503,11350
2020,1,노원구,11350600,공릉2동,40688,11350
2020,1,노원구,11350595,공릉1동,38853,11350
2020,1,은평구,11380690,진관동,58032,11380
2020,1,은평구,11380640,증산동,16006,11380
2020,1,은평구,11380600,응암3동,25951,11380
2020,1,은평구,11380590,응암2동,25834,11380
2020,1,은평구,11380580,응암1동,25548,11380
2020,1,은평구,11380625,역촌동,48097,11380
2020,1,은평구,11380632,신사2동,21686,11380
2020,1,은평구,11380631,신사1동,28396,11380
2020,1,은평구,11380650,수색동,8808,11380
2020,1,은평구,11380530,불광2동,29290,11380
2020,1,은평구,11380520,불광1동,40613,11380
2020,1,은평구,11380570,대조동,27817,11380
2020,1,은평구,11380510,녹번동,38439,11380
2020,1,은평구,11380560,구산동,33673,11380
2020,1,은평구,11380552,갈현2동,30001,11380
2020,1,은평구,11380551,갈현1동,24318,11380
2020,1,서대문구,11410640,홍제3동,16266,11410
2020,1,서대문구,11410655,홍제2동,14479,11410
2020,1,서대문구,11410620,홍제1동,24911,11410
2020,1,서대문구,11410685,홍은2동,28262,11410
2020,1,서대문구,11410660,홍은1동,23381,11410
2020,1,서대문구,11410565,충현동,18225,11410
2020,1,서대문구,11410520,천연동,18545,11410
2020,1,서대문구,11410615,연희동,41092,11410
2020,1,서대문구,11410585,신촌동,24024,11410
2020,1,서대문구,11410555,북아현동,17456,11410
2020,1,서대문구,11410720,북가좌2동,33607,11410
2020,1,서대문구,11410710,북가좌1동,18990,11410
2020,1,서대문구,11410700,남가좌2동,30061,11410
2020,1,서대문구,11410690,남가좌1동,16576,11410
2020,1,마포구,11440680,합정동,19031,11440
2020,1,마포구,11440590,용강동,22386,11440
2020,1,마포구,11440610,염리동,13298,11440
2020,1,마포구,11440710,연남동,16818,11440
2020,1,마포구,11440555,아현동,25340,11440
2020,1,마포구,11440630,신수동,23909,11440
2020,1,마포구,11440730,성산2동,41447,11440
2020,1,마포구,11440720,성산1동,20169,11440
2020,1,마포구,11440660,서교동,25876,11440
2020,1,마포구,11440655,서강동,26021,11440
2020,1,마포구,11440740,상암동,32589,11440
2020,1,마포구,11440700,망원2동,19346,11440
2020,1,마포구,11440690,망원1동,21705,11440
2020,1,마포구,11440585,도화동,22544,11440
2020,1,마포구,11440600,대흥동,15177,11440
2020,1,마포구,11440565,공덕동,40430,11440
2020,1,양천구,11470680,신정7동,30684,11470
2020,1,양천구,11470670,신정6동,25301,11470
2020,1,양천구,11470650,신정4동,35262,11470
2020,1,양천구,11470640,신정3동,48128,11470
2020,1,양천구,11470630,신정2동,20708,11470
2020,1,양천구,11470620,신정1동,21460,11470
2020,1,양천구,11470611,신월7동,21487,11470
2020,1,양천구,11470610,신월6동,6700,11470
2020,1,양천구,11470600,신월5동,15495,11470
2020,1,양천구,11470590,신월4동,18921,11470
2020,1,양천구,11470580,신월3동,16554,11470
2020,1,양천구,11470570,신월2동,21933,11470
2020,1,양천구,11470560,신월1동,21564,11470
2020,1,양천구,11470550,목5동,42889,11470
2020,1,양천구,11470540,목4동,26774,11470
2020,1,양천구,11470530,목3동,23058,11470
2020,1,양천구,11470520,목2동,31383,11470
2020,1,양천구,11470510,목1동,32231,11470
2020,1,강서구,11500590,화곡본동,35791,11500
2020,1,강서구,11500593,화곡8동,26304,11500
2020,1,강서구,11500591,화곡6동,25196,11500
2020,1,강서구,11500570,화곡4동,21902,11500
2020,1,강서구,11500560,화곡3동,22548,11500
2020,1,강서구,11500550,화곡2동,19257,11500
2020,1,강서구,11500540,화곡1동,54449,11500
2020,1,강서구,11500615,우장산동,44610,11500
2020,1,강서구,11500510,염창동,42421,11500
2020,1,강서구,11500641,방화3동,24286,11500
2020,1,강서구,11500640,방화2동,23942,11500
2020,1,강서구,11500630,방화1동,45464,11500
2020,1,강서구,11500611,발산1동,38458,11500
2020,1,강서구,11500535,등촌3동,32267,11500
2020,1,강서구,11500530,등촌2동,21707,11500
2020,1,강서구,11500520,등촌1동,23692,11500
2020,1,강서구,11500620,공항동,28129,11500
2020,1,강서구,11500605,가양3동,16101,11500
2020,1,강서구,11500604,가양2동,15032,11500
2020,1,강서구,11500603,가양1동,34147,11500
2020,1,구로구,11530800,항동,14363,11530
2020,1,구로구,11530780,오류2동,40608,11530
2020,1,구로구,11530770,오류1동,23364,11530
2020,1,구로구,11530510,신도림동,36908,11530
2020,1,구로구,11530790,수궁동,24729,11530
