연도,분기,행정동_코드,행정동_코드_명,유사_업종_점포_수,개업_점포_수,폐업_점포_수,프랜차이즈_점포_수
2020,1,11290660,길음1동,862,35,36,103
2020,1,11290685,길음2동,1008,67,25,94
2020,1,11290705,종암동,1363,61,48,133
2020,1,11290715,월곡1동,869,35,28,78
2020,1,11290725,월곡2동,1075,33,20,124
2020,1,11290760,장위1동,626,25,11,36
2020,1,11290770,장위2동,716,30,42,32
2020,1,11290780,장위3동,447,16,9,34
2020,1,11290810,석관동,1394,52,36,119
2020,1,11305534,삼양동,678,13,15,60
2020,1,11305535,미아동,1220,49,43,100
2020,1,11305545,송중동,1751,110,76,190
2020,1,11305555,송천동,1390,62,47,117
2020,1,11305575,삼각산동,709,27,28,76
2020,1,11305595,번1동,1345,53,42,111
2020,1,11305603,번2동,324,10,10,19
2020,1,11305608,번3동,392,14,17,55
2020,1,11305615,수유1동,1043,32,33,50
2020,1,11305625,수유2동,830,30,19,54
2020,1,11305635,수유3동,2058,90,73,204
2020,1,11305645,우이동,786,20,21,61
2020,1,11305660,인수동,996,36,30,66
2020,1,11320511,창1동,775,43,34,79
2020,1,11320512,창2동,893,27,25,64
2020,1,11320513,창3동,604,19,22,32
2020,1,11320514,창4동,954,41,30,87
2020,1,11320515,창5동,1116,41,42,131
2020,1,11320521,도봉1동,1115,37,34,91
2020,1,11320522,도봉2동,902,28,31,46
2020,1,11320660,쌍문1동,554,24,22,48
2020,1,11320670,쌍문2동,912,27,23,85
2020,1,11320680,쌍문3동,726,27,22,63
2020,1,11320681,쌍문4동,438,17,12,42
2020,1,11320690,방학1동,1782,79,60,178
2020,1,11320700,방학2동,755,22,25,40
2020,1,11320710,방학3동,507,16,16,41
2020,1,11350560,월계1동,1067,37,33,145
2020,1,11350570,월계2동,500,24,16,43
2020,1,11350580,월계3동,648,18,23,62
2020,1,11350595,공릉1동,2076,89,66,185
2020,1,11350600,공릉2동,1358,57,53,199
2020,1,11350611,하계1동,857,34,14,95
2020,1,11350612,하계2동,281,10,12,21
2020,1,11350619,중계본동,1157,40,36,97
2020,1,11350621,중계1동,960,28,24,140
2020,1,11350624,중계4동,824,33,31,84
2020,1,11350625,중계2·3동,1201,46,46,122
2020,1,11350630,상계1동,1494,57,42,142
2020,1,11350640,상계2동,2641,112,77,263
2020,1,11350665,상계3·4동,820,29,28,42
2020,1,11350670,상계5동,1185,53,42,71
2020,1,11350695,상계6·7동,1489,56,43,169
2020,1,11350700,상계8동,407,18,5,35
2020,1,11350710,상계9동,437,19,17,42
2020,1,11350720,상계10동,309,4,5,22
2020,1,11380510,녹번동,1237,47,34,96
2020,1,11380520,불광1동,1341,82,49,131
2020,1,11380530,불광2동,1061,38,28,56
2020,1,11380551,갈현1동,1283,48,51,123
2020,1,11380552,갈현2동,1432,63,56,138
2020,1,11380560,구산동,842,46,30,67
2020,1,11380570,대조동,2180,102,81,176
2020,1,11380580,응암1동,1361,50,31,143
2020,1,11380590,응암2동,560,32,22,35
2020,1,11380600,응암3동,1480,61,40,114
2020,1,11380625,역촌동,1948,80,66,172
2020,1,11380631,신사1동,950,44,28,73
2020,1,11380632,신사2동,545,14,14,37
2020,1,11380640,증산동,643,15,13,47
2020,1,11380650,수색동,400,11,15,23
2020,1,11380690,진관동,1908,76,44,278
2020,1,11410520,천연동,626,24,25,52
2020,1,11410555,북아현동,677,25,20,58
2020,1,11410565,충현동,1178,46,39,103
2020,1,11410585,신촌동,3769,149,118,522
2020,1,11410615,연희동,1874,59,71,130
2020,1,11410620,홍제1동,776,29,22,82
2020,1,11410640,홍제3동,824,29,24,69
2020,1,11410655,홍제2동,427,11,11,43
2020,1,11410660,홍은1동,667,23,26,51
2020,1,11410685,홍은2동,871,30,27,98
2020,1,11410690,남가좌1동,592,30,23,44
2020,1,11410700,남가좌2동,1133,45,36,117
2020,1,11410710,북가좌1동,443,16,16,54
2020,1,11410720,북가좌2동,1120,32,29,109
2020,1,11440555,아현동,1251,49,38,108
2020,1,11440565,공덕동,1857,67,54,140
2020,1,11440585,도화동,1456,54,39,140
2020,1,11440590,용강동,1660,68,50,140
2020,1,11440600,대흥동,1314,68,41,135
2020,1,11440610,염리동,649,41,25,62
2020,1,11440630,신수동,969,41,22,63
2020,1,11440655,서강동,1602,79,91,134
2020,1,11440660,서교동,7863,344,307,737
2020,1,11440680,합정동,1838,85,63,142
2020,1,11440690,망원1동,1409,55,38,88
2020,1,11440700,망원2동,1105,32,26,78
2020,1,11440710,연남동,1840,86,67,72
2020,1,11440720,성산1동,1087,48,43,85
2020,1,11440730,성산2동,1425,44,26,135
2020,1,11440740,상암동,1834,105,76,282
2020,1,11470510,목1동,2741,115,86,331
2020,1,11470520,목2동,1004,41,24,74
2020,1,11470530,목3동,1076,32,31,95
2020,1,11470540,목4동,1145,39,39,105
2020,1,11470550,목5동,1580,68,52,174
2020,1,11470560,신월1동,1086,44,50,55
2020,1,11470570,신월2동,644,34,28,46
2020,1,11470580,신월3동,565,19,15,45
2020,1,11470590,신월4동,702,27,27,58
2020,1,11470600,신월5동,653,25,27,65
2020,1,11470610,신월6동,379,17,8,24
2020,1,11470611,신월7동,724,25,27,60
2020,1,11470620,신정1동,1037,31,41,90
2020,1,11470630,신정2동,918,45,37,88
2020,1,11470640,신정3동,1081,36,24,114
2020,1,11470650,신정4동,2299,93,80,176
2020,1,11470670,신정6동,661,26,27,64
2020,1,11470680,신정7동,803,35,26,110
2020,1,11500510,염창동,1404,60,41,178
2020,1,11500520,등촌1동,1295,53,39,153
2020,1,11500530,등촌2동,533,18,11,49
2020,1,11500535,등촌3동,1882,98,78,217
2020,1,11500540,화곡1동,2295,94,72,211
2020,1,11500550,화곡2동,588,24,18,30
2020,1,11500560,화곡3동,990,39,28,122
2020,1,11500570,화곡4동,1105,54,49,100
2020,1,11500590,화곡본동,1149,59,42,96
2020,1,11500591,화곡6동,1321,65,53,142
2020,1,11500593,화곡8동,1023,43,39,79
2020,1,11500603,가양1동,4087,244,149,512
2020,1,11500604,가양2동,432,12,15,54
2020,1,11500605,가양3동,370,14,8,41
2020,1,11500611,발산1동,2876,194,65,215
2020,1,11500615,우장산동,1341,46,56,120
2020,1,11500620,공항동,1373,55,45,136
2020,1,11500630,방화1동,1885,88,57,205
2020,1,11500640,방화2동,1580,64,56,145
2020,1,11500641,방화3동,529,21,16,53
2020,1,11530510,신도림동,1744,68,56,196
2020,1,11530520,구로1동,552,18,14,60
2020,1,11530530,구로2동,4993,102,83,125
2020,1,11530540,구로3동,3661,153,108,406
2020,1,11530550,구로4동,1583,63,48,90
2020,1,11530560,구로5동,2661,82,87,194
2020,1,11530595,가리봉동,793,29,27,27
2020,1,11530720,고척1동,1288,41,38,150
2020,1,11530730,고척2동,1018,16,20,65
2020,1,11530740,개봉1동,1259,53,43,97
2020,1,11530750,개봉2동,820,27,18,90
2020,1,11530760,개봉3동,716,36,20,63
2020,1,11530770,오류1동,898,43,26,71
2020,1,11530780,오류2동,1061,44,44,113
2020,1,11530790,수궁동,711,29,21,57
2020,1,11530800,항동,181,41,4,24
2020,1,11545510,가산동,7276,335,168,556
2020,1,11545610,독산1동,2388,85,71,213
2020,1,11545620,독산2동,736,28,27,59
2020,1,11545630,독산3동,1328,37,31,82
2020,1,11545640,독산4동,666,25,19,59
2020,1,11545670,시흥1동,2187,82,79,213
2020,1,11545680,시흥2동,384,21,9,35
2020,1,11545690,시흥3동,1001,20,20,31
2020,1,11545700,시흥4동,473,10,18,36
