연도,분기,행정동_코드,행정동_코드_명,당월_매출_금액
2020,1,11110600,가회동,462580930
2020,1,11110600,가회동,10019149
2020,1,11110600,가회동,56114780
2020,1,11110600,가회동,31671084
2020,1,11110600,가회동,56713961
2020,1,11110600,가회동,642031239
2020,1,11110600,가회동,1035000000
2020,1,11110600,가회동,200296822
2020,1,11110600,가회동,36762537
2020,1,11110600,가회동,30748407
2020,1,11110600,가회동,113549346
2020,1,11110600,가회동,26173265
2020,1,11110615,종로1·2·3·4가동,55658290992
2020,1,11110615,종로1·2·3·4가동,3713381663
2020,1,11110615,종로1·2·3·4가동,6018228399
2020,1,11110615,종로1·2·3·4가동,6617704197
2020,1,11110615,종로1·2·3·4가동,4863382922
2020,1,11110615,종로1·2·3·4가동,1647544355
2020,1,11110615,종로1·2·3·4가동,2019295019
2020,1,11110615,종로1·2·3·4가동,2678048803
2020,1,11110615,종로1·2·3·4가동,8480322650
2020,1,11110615,종로1·2·3·4가동,11300495898
2020,1,11110615,종로1·2·3·4가동,521628727
2020,1,11110615,종로1·2·3·4가동,2956599828
2020,1,11110615,종로1·2·3·4가동,178347714
2020,1,11110615,종로1·2·3·4가동,450440756
2020,1,11110615,종로1·2·3·4가동,7602517166
2020,1,11110615,종로1·2·3·4가동,4810528177
2020,1,11110615,종로1·2·3·4가동,1378643659
2020,1,11110615,종로1·2·3·4가동,761682247
2020,1,11110615,종로1·2·3·4가동,122812257
2020,1,11110615,종로1·2·3·4가동,208984742
2020,1,11110615,종로1·2·3·4가동,263056389
2020,1,11110615,종로1·2·3·4가동,583480513
2020,1,11110615,종로1·2·3·4가동,180898889
2020,1,11110615,종로1·2·3·4가동,149722910
2020,1,11110615,종로1·2·3·4가동,18683759
2020,1,11110615,종로1·2·3·4가동,78877630
2020,1,11110615,종로1·2·3·4가동,1577622087
2020,1,11110615,종로1·2·3·4가동,541686473
2020,1,11110615,종로1·2·3·4가동,4089462045
2020,1,11110615,종로1·2·3·4가동,9411196325
2020,1,11110615,종로1·2·3·4가동,2025914224
2020,1,11110615,종로1·2·3·4가동,322364821
2020,1,11110615,종로1·2·3·4가동,182063264
2020,1,11110615,종로1·2·3·4가동,1994806936
2020,1,11110615,종로1·2·3·4가동,326832810
2020,1,11110615,종로1·2·3·4가동,688153912
2020,1,11110615,종로1·2·3·4가동,1071342754
2020,1,11110615,종로1·2·3·4가동,2931439900
2020,1,11110615,종로1·2·3·4가동,361054212
2020,1,11110615,종로1·2·3·4가동,40963466
2020,1,11110615,종로1·2·3·4가동,1174081584
2020,1,11110615,종로1·2·3·4가동,112400441747
2020,1,11110615,종로1·2·3·4가동,13535708807
2020,1,11110615,종로1·2·3·4가동,3973028839
2020,1,11110615,종로1·2·3·4가동,705666313
2020,1,11110615,종로1·2·3·4가동,6645905110
2020,1,11110615,종로1·2·3·4가동,7428439727
2020,1,11110615,종로1·2·3·4가동,3760445492
2020,1,11110615,종로1·2·3·4가동,577221853
2020,1,11110615,종로1·2·3·4가동,6273550909
2020,1,11110615,종로1·2·3·4가동,139742145
2020,1,11110615,종로1·2·3·4가동,644541626
2020,1,11110615,종로1·2·3·4가동,47698465960
2020,1,11110615,종로1·2·3·4가동,1577334582
2020,1,11110630,종로5·6가동,12918811533
2020,1,11110630,종로5·6가동,163595734
2020,1,11110630,종로5·6가동,147809974
2020,1,11110630,종로5·6가동,225349044
2020,1,11110630,종로5·6가동,89705775
2020,1,11110630,종로5·6가동,414191169
2020,1,11110630,종로5·6가동,314021360
2020,1,11110630,종로5·6가동,656369311
2020,1,11110630,종로5·6가동,1523625750
2020,1,11110630,종로5·6가동,1819081856
2020,1,11110630,종로5·6가동,1379925501
2020,1,11110630,종로5·6가동,2289305205
2020,1,11110630,종로5·6가동,1098031642
2020,1,11110630,종로5·6가동,85462364
2020,1,11110630,종로5·6가동,102427636
2020,1,11110630,종로5·6가동,206762357
2020,1,11110630,종로5·6가동,343834340
2020,1,11110630,종로5·6가동,896393340
2020,1,11110630,종로5·6가동,2081758547
2020,1,11110630,종로5·6가동,7016000000
2020,1,11110630,종로5·6가동,36692585
2020,1,11110630,종로5·6가동,15472707
2020,1,11110630,종로5·6가동,146767000
2020,1,11110630,종로5·6가동,39311807
2020,1,11110630,종로5·6가동,4944969658
2020,1,11110630,종로5·6가동,710155869
2020,1,11110630,종로5·6가동,120016978
2020,1,11110630,종로5·6가동,45310976
2020,1,11110630,종로5·6가동,26447721
2020,1,11110630,종로5·6가동,19720010744
2020,1,11110630,종로5·6가동,10217286158
2020,1,11110630,종로5·6가동,93557612
2020,1,11110630,종로5·6가동,2383344594
2020,1,11110630,종로5·6가동,245886083
2020,1,11110630,종로5·6가동,4541900379
2020,1,11110630,종로5·6가동,2785602287
2020,1,11110630,종로5·6가동,77485648
2020,1,11110630,종로5·6가동,51733979
2020,1,11110630,종로5·6가동,348892131
2020,1,11110630,종로5·6가동,320654059
2020,1,11110640,이화동,5651092149
2020,1,11110640,이화동,271112611
2020,1,11110640,이화동,563335747
2020,1,11110640,이화동,1675667835
2020,1,11110640,이화동,1852009567
2020,1,11110640,이화동,496767521
2020,1,11110640,이화동,185937076
2020,1,11110640,이화동,638504127
2020,1,11110640,이화동,788524034
2020,1,11110640,이화동,3826868766
2020,1,11110640,이화동,42412747
2020,1,11110640,이화동,2345679
2020,1,11110640,이화동,37292191
2020,1,11110640,이화동,932044285
2020,1,11110640,이화동,117803427
2020,1,11110640,이화동,20426364
2020,1,11110640,이화동,23003086
2020,1,11110640,이화동,398208824
2020,1,11110640,이화동,6451858
2020,1,11110640,이화동,346358415
2020,1,11110640,이화동,3934309557
2020,1,11110640,이화동,2518811281
2020,1,11110640,이화동,266121663
2020,1,11110640,이화동,847209191
2020,1,11110640,이화동,371548926
2020,1,11110640,이화동,7963479
2020,1,11110640,이화동,900077364
2020,1,11110640,이화동,23325482
2020,1,11110640,이화동,2393042
2020,1,11110650,혜화동,7460555139
2020,1,11110650,혜화동,713696221
2020,1,11110650,혜화동,2122795777
2020,1,11110650,혜화동,1711725209
2020,1,11110650,혜화동,436151471
2020,1,11110650,혜화동,738167865
2020,1,11110650,혜화동,234473508
2020,1,11110650,혜화동,3173451125
2020,1,11110650,혜화동,1582442013
2020,1,11110650,혜화동,1777516714
2020,1,11110650,혜화동,511442877
2020,1,11110650,혜화동,53286821
2020,1,11110650,혜화동,251321783
2020,1,11110650,혜화동,25906760
2020,1,11110650,혜화동,749096323
2020,1,11110650,혜화동,894922618
2020,1,11110650,혜화동,257724349
2020,1,11110650,혜화동,20165085
2020,1,11110650,혜화동,355466184
2020,1,11110650,혜화동,267683680
2020,1,11110650,혜화동,564637818
2020,1,11110650,혜화동,72008177
2020,1,11110650,혜화동,64806787
2020,1,11110650,혜화동,58975645
2020,1,11110650,혜화동,28947888
2020,1,11110650,혜화동,138407979
2020,1,11110650,혜화동,3171559665
2020,1,11110650,혜화동,1932831809
2020,1,11110650,혜화동,53405758
2020,1,11110650,혜화동,199104479
2020,1,11110650,혜화동,42000000
2020,1,11110650,혜화동,1279938504
2020,1,11110650,혜화동,712906290
2020,1,11110650,혜화동,530559791
2020,1,11110650,혜화동,69939536
2020,1,11110650,혜화동,1082705892
2020,1,11110650,혜화동,158590360
2020,1,11110650,혜화동,190027195
2020,1,11110650,혜화동,5626397980
2020,1,11110650,혜화동,1610055
2020,1,11110650,혜화동,2106877
2020,1,11110650,혜화동,179642958
2020,1,11110650,혜화동,63224081
2020,1,11110650,혜화동,40488677
2020,1,11110650,혜화동,270522588
2020,1,11110670,창신1동,3484318326
2020,1,11110670,창신1동,429680441
2020,1,11110670,창신1동,576354100
2020,1,11110670,창신1동,2908153
2020,1,11110670,창신1동,45000000
2020,1,11110670,창신1동,436452721
2020,1,11110670,창신1동,157567744
2020,1,11110670,창신1동,281270442
2020,1,11110670,창신1동,8808936
2020,1,11110670,창신1동,33433189
2020,1,11110670,창신1동,13513975
2020,1,11110670,창신1동,1997033129
2020,1,11110670,창신1동,1105697270
2020,1,11110670,창신1동,168270674
2020,1,11110670,창신1동,15022868
2020,1,11110670,창신1동,234981391
2020,1,11110670,창신1동,163361349
2020,1,11110670,창신1동,572971
2020,1,11110670,창신1동,23258939
2020,1,11110670,창신1동,19933039
2020,1,11110670,창신1동,790199281
2020,1,11110670,창신1동,918929359
2020,1,11110670,창신1동,185933395
2020,1,11110670,창신1동,590472948
2020,1,11110670,창신1동,603444766
2020,1,11110670,창신1동,848904237
2020,1,11110670,창신1동,5998027087
2020,1,11110670,창신1동,2162845
2020,1,11110670,창신1동,103543791
2020,1,11110670,창신1동,9379962
2020,1,11110670,창신1동,1852210050
2020,1,11110670,창신1동,454630614
2020,1,11110670,창신1동,39066068520
2020,1,11110670,창신1동,389352207
2020,1,11110670,창신1동,209976823
2020,1,11110670,창신1동,1539036531
2020,1,11110670,창신1동,3000000
2020,1,11110670,창신1동,42000000
2020,1,11110670,창신1동,51270637
2020,1,11110670,창신1동,55030284
2020,1,11110680,창신2동,2478882645
2020,1,11110680,창신2동,28758309
2020,1,11110680,창신2동,34897797
2020,1,11110680,창신2동,2839138
2020,1,11110680,창신2동,129631018
2020,1,11110680,창신2동,84037088
2020,1,11110680,창신2동,178575646
2020,1,11110680,창신2동,37754776
2020,1,11110680,창신2동,1115485271
