연도,분기,행정동_코드,행정동_코드_명,총_유동인구_수
2020,1,11320690,방학1동,7467452
2020,1,11320700,방학2동,3579262
2020,1,11320710,방학3동,4131680
2020,1,11350560,월계1동,6148635
2020,1,11350570,월계2동,3994193
2020,1,11350580,월계3동,3012012
2020,1,11350595,공릉1동,11599897
2020,1,11350600,공릉2동,8111771
2020,1,11350611,하계1동,4274577
2020,1,11350612,하계2동,2776710
2020,1,11350619,중계본동,5824178
2020,1,11350621,중계1동,4197165
2020,1,11350624,중계4동,3818057
2020,1,11350625,중계23동,5448616
2020,1,11350630,상계1동,8038150
2020,1,11350640,상계2동,12026948
2020,1,11350665,상계34동,10180095
2020,1,11350670,상계5동,8123365
2020,1,11350695,상계67동,6325553
2020,1,11350700,상계8동,1112270
2020,1,11350710,상계9동,1777871
2020,1,11350720,상계10동,2621253
2020,1,11380510,녹번동,7230508
2020,1,11380520,불광1동,7400360
2020,1,11380530,불광2동,6483394
2020,1,11380551,갈현1동,9022836
2020,1,11380552,갈현2동,6794244
2020,1,11380560,구산동,5594265
2020,1,11380570,대조동,9611408
2020,1,11380580,응암1동,6266322
2020,1,11380590,응암2동,4199008
2020,1,11380600,응암3동,8101692
2020,1,11380625,역촌동,12712452
2020,1,11380631,신사1동,6634376
2020,1,11380632,신사2동,4235935
2020,1,11380640,증산동,3323023
2020,1,11380650,수색동,1627960
2020,1,11380690,진관동,6820586
2020,1,11410520,천연동,4639267
2020,1,11410555,북아현동,15414492
2020,1,11410565,충현동,8905082
2020,1,11410585,신촌동,9913370
2020,1,11410615,연희동,9504439
2020,1,11410620,홍제1동,6070882
2020,1,11410640,홍제3동,4535745
2020,1,11410655,홍제2동,2805832
2020,1,11410660,홍은1동,4101325
2020,1,11410685,홍은2동,4867202
2020,1,11410690,남가좌1동,2499766
2020,1,11410700,남가좌2동,6412707
2020,1,11410710,북가좌1동,3356952
2020,1,11410720,북가좌2동,13364721
2020,1,11440555,아현동,6492215
2020,1,11440565,공덕동,14840310
2020,1,11440585,도화동,5301231
2020,1,11440590,용강동,7347050
2020,1,11440600,대흥동,7518719
2020,1,11440610,염리동,3766875
2020,1,11440630,신수동,5801955
2020,1,11440655,서강동,6763420
2020,1,11440660,서교동,17358659
2020,1,11440680,합정동,5827273
2020,1,11440690,망원1동,6466857
2020,1,11440700,망원2동,6840919
2020,1,11440710,연남동,6811404
2020,1,11440720,성산1동,6489152
2020,1,11440730,성산2동,8296902
2020,1,11440740,상암동,5732417
2020,1,11470510,목1동,5817182
2020,1,11470520,목2동,7918501
2020,1,11470530,목3동,5321324
2020,1,11470540,목4동,6037355
2020,1,11470550,목5동,5283515
2020,1,11470560,신월1동,4438907
2020,1,11470570,신월2동,4383502
2020,1,11470580,신월3동,2964457
2020,1,11470590,신월4동,4168638
2020,1,11470600,신월5동,3136292
2020,1,11470610,신월6동,1240212
2020,1,11470611,신월7동,2580846
2020,1,11470620,신정1동,3658312
2020,1,11470630,신정2동,4775687
2020,1,11470640,신정3동,7109124
2020,1,11470650,신정4동,11736309
2020,1,11470670,신정6동,1859766
2020,1,11470680,신정7동,3894808
2020,1,11500510,염창동,8621636
2020,1,11500520,등촌1동,5045151
2020,1,11500530,등촌2동,4109846
2020,1,11500535,등촌3동,5502006
2020,1,11500540,화곡1동,17668826
2020,1,11500550,화곡2동,3714120
2020,1,11500560,화곡3동,4148281
2020,1,11500570,화곡4동,5063651
2020,1,11500590,화곡본동,9364350
2020,1,11500591,화곡6동,5360162
2020,1,11500593,화곡8동,7684649
2020,1,11500603,가양1동,3159244
2020,1,11500604,가양2동,1981785
2020,1,11500605,가양3동,1733390
2020,1,11500611,발산1동,5774220
2020,1,11500615,우장산동,7457985
2020,1,11500620,공항동,6188010
2020,1,11500630,방화1동,8328205
2020,1,11500640,방화2동,6740276
2020,1,11500641,방화3동,3422942
2020,1,11530510,신도림동,7036846
2020,1,11530520,구로1동,2383850
2020,1,11530530,구로2동,9524532
2020,1,11530540,구로3동,7991423
2020,1,11530550,구로4동,6207027
2020,1,11530560,구로5동,6717450
2020,1,11530595,가리봉동,2830200
2020,1,11530720,고척1동,4781469
2020,1,11530730,고척2동,6371811
2020,1,11530740,개봉1동,7659787
2020,1,11530750,개봉2동,4367177
2020,1,11530760,개봉3동,3328429
2020,1,11530770,오류1동,4165949
2020,1,11530780,오류2동,5843687
2020,1,11530790,수궁동,2477666
2020,1,11530800,항동,800396
2020,1,11545510,가산동,4105258
2020,1,11545610,독산1동,5306119
2020,1,11545620,독산2동,3439562
2020,1,11545630,독산3동,5759682
2020,1,11545640,독산4동,4972002
2020,1,11545670,시흥1동,6617319
2020,1,11545680,시흥2동,1630891
2020,1,11545690,시흥3동,1404048
2020,1,11545700,시흥4동,3172263
2020,1,11545710,시흥5동,4004753
2020,1,11560515,영등포본동,7940872
2020,1,11560535,영등포동,9707766
2020,1,11560540,여의동,5698787
2020,1,11560550,당산1동,7276008
2020,1,11560560,당산2동,9120249
2020,1,11560585,도림동,5692338
2020,1,11560605,문래동,10880482
2020,1,11560610,양평1동,5494418
2020,1,11560620,양평2동,5351962
2020,1,11560630,신길1동,5927566
2020,1,11560650,신길3동,8009573
2020,1,11560660,신길4동,2604585
2020,1,11560670,신길5동,2604809
2020,1,11560680,신길6동,5142878
2020,1,11560690,신길7동,3394542
2020,1,11560700,대림1동,3980979
2020,1,11560710,대림2동,4410033
2020,1,11560720,대림3동,7492464
2020,1,11590510,노량진1동,8407997
2020,1,11590520,노량진2동,4979485
2020,1,11590530,상도1동,9576365
2020,1,11590540,상도2동,5959785
2020,1,11590550,상도3동,4911293
2020,1,11590560,상도4동,7177260
2020,1,11590605,흑석동,7898368
2020,1,11590620,사당1동,7685427
2020,1,11590630,사당2동,8418193
2020,1,11590640,사당3동,5809660
2020,1,11590650,사당4동,4082730
2020,1,11590651,사당5동,3177397
2020,1,11590660,대방동,6985044
2020,1,11590670,신대방1동,3281823
2020,1,11590680,신대방2동,5580735
2020,1,11620525,보라매동,4660369
2020,1,11620545,청림동,2914895
2020,1,11620565,성현동,6257281
2020,1,11620575,행운동,7791549
2020,1,11620585,낙성대동,6308562
2020,1,11620595,청룡동,11362414
2020,1,11620605,은천동,8099746
2020,1,11620615,중앙동,7222924
2020,1,11620625,인헌동,6371833
2020,1,11620630,남현동,5596371
2020,1,11620645,서원동,6352127
2020,1,11620655,신원동,6680770
2020,1,11620665,서림동,6001957
2020,1,11620685,신사동,8514358
2020,1,11620695,신림동,9840473
2020,1,11620715,난향동,1414011
2020,1,11620725,조원동,6924157
2020,1,11620735,대학동,6840776
2020,1,11620745,삼성동,8272206
2020,1,11620765,미성동,6475177
2020,1,11620775,난곡동,6492676
2020,1,11650510,서초1동,7535045
2020,1,11650520,서초2동,6438347
2020,1,11650530,서초3동,12228180
2020,1,11650531,서초4동,7163411
2020,1,11650540,잠원동,7534805
2020,1,11650550,반포본동,867406
2020,1,11650560,반포1동,7922838
2020,1,11650570,반포2동,1390276
2020,1,11650580,반포3동,2671987
2020,1,11650581,반포4동,5095157
2020,1,11650590,방배본동,5917707
2020,1,11650600,방배1동,4809604
2020,1,11650610,방배2동,5897055
2020,1,11650620,방배3동,3959969
2020,1,11650621,방배4동,6740115
2020,1,11650651,양재1동,7901395
2020,1,11650652,양재2동,6065962
2020,1,11650660,내곡동,2625456
2020,1,11680510,신사동,7366490
2020,1,11680521,논현1동,11093461
2020,1,11680531,논현2동,11978744
2020,1,11680545,압구정동,8476769
2020,1,11680565,청담동,9722878
2020,1,11680580,삼성1동,5221837
2020,1,11680590,삼성2동,10146138
2020,1,11680600,대치1동,4954510
2020,1,11680610,대치2동,6466310
2020,1,11680630,대치4동,9415915
2020,1,11680640,역삼1동,22585453
2020,1,11680650,역삼2동,12170404
2020,1,11680655,도곡1동,5605489
2020,1,11680656,도곡2동,4177660
2020,1,11680660,개포1동,579863
2020,1,11680670,개포2동,1794568
2020,1,11680690,개포4동,3770987
2020,1,11680700,세곡동,3721963
2020,1,11680720,일원본동,3555153
2020,1,11680730,일원1동,3648489
2020,1,11680740,일원2동,920855
2020,1,11680750,수서동,2584242
2020,1,11710510,풍납1동,5680612
2020,1,11710520,풍납2동,7431121
2020,1,11710531,거여1동,3449147
2020,1,11710532,거여2동,3359115
2020,1,11710540,마천1동,4096311
2020,1,11710550,마천2동,6103649
2020,1,11710561,방이1동,3335569
2020,1,11710562,방이2동,6581751
2020,1,11710566,오륜동,805959
2020,1,11710570,오금동,9740495
2020,1,11710580,송파1동,6383757
2020,1,11710590,송파2동,3893970
2020,1,11710600,석촌동,8085790
2020,1,11710610,삼전동,7603618
2020,1,11710620,가락본동,7839325
2020,1,11710631,가락1동,890139
2020,1,11710632,가락2동,7229493
2020,1,11710641,문정1동,4992105
2020,1,11710642,문정2동,3384333
2020,1,11710646,장지동,8449315
2020,1,11710647,위례동,3027322
2020,1,11710650,잠실본동,8339616
2020,1,11710670,잠실2동,2495219
2020,1,11710680,잠실3동,3644567
2020,1,11710690,잠실4동,2358723
2020,1,11710710,잠실6동,2522720
2020,1,11710720,잠실7동,991821
2020,1,11740515,강일동,3998389
2020,1,11740520,상일동,1996607
2020,1,11740530,명일1동,5187682
2020,1,11740540,명일2동,2281495
2020,1,11740550,고덕1동,2643571
2020,1,11740560,고덕2동,1519834
2020,1,11740570,암사1동,10374942
2020,1,11740580,암사2동,2915693
2020,1,11740590,암사3동,1319481
2020,1,11740600,천호1동,19289079
2020,1,11740610,천호2동,12541943
2020,1,11740620,천호3동,8744525
2020,1,11740640,성내1동,6456726
2020,1,11740650,성내2동,9499154
2020,1,11740660,성내3동,7102907
2020,1,11740685,길동,15397118
2020,1,11740690,둔촌1동,10984
2020,1,11740700,둔촌2동,8380409
2020,2,11110515,청운효자동,3706408
2020,2,11110530,사직동,3894780
2020,2,11110540,삼청동,907997
2020,2,11110550,부암동,1299559
2020,2,11110560,평창동,1058353
2020,2,11110570,무악동,1915687
2020,2,11110580,교남동,3212381
2020,2,11110600,가회동,1300742
2020,2,11110615,종로1234가동,12911280
2020,2,11110630,종로56가동,6565822
2020,2,11110640,이화동,3726616
2020,2,11110650,혜화동,8464684
2020,2,11110670,창신1동,3684491
2020,2,11110680,창신2동,5943314
2020,2,11110690,창신3동,879367
2020,2,11110700,숭인1동,2487792
2020,2,11110710,숭인2동,5916659
2020,2,11140520,소공동,2364477
2020,2,11140540,회현동,4366822
2020,2,11140550,명동,4416896
2020,2,11140570,필동,1983949
2020,2,11140580,장충동,2138258
2020,2,11140590,광희동,5940741
2020,2,11140605,을지로동,4911733
2020,2,11140615,신당동,5950993
2020,2,11140625,다산동,4559353
2020,2,11140635,약수동,2823293
2020,2,11140645,청구동,3761188
2020,2,11140650,신당5동,5098130
2020,2,11140665,동화동,3139947
2020,2,11140670,황학동,6372212
2020,2,11140680,중림동,2142510
2020,2,11170510,후암동,4951829
2020,2,11170520,용산2가동,4890740
2020,2,11170530,남영동,2125340
2020,2,11170555,청파동,8316892
2020,2,11170560,원효로1동,5326412
2020,2,11170570,원효로2동,3686695
2020,2,11170580,효창동,4277503
2020,2,11170590,용문동,3283284
2020,2,11170625,한강로동,4748579
2020,2,11170630,이촌1동,5574456
2020,2,11170640,이촌2동,1972241
2020,2,11170650,이태원1동,2118343
2020,2,11170660,이태원2동,3411783
2020,2,11170685,한남동,6644565
2020,2,11170690,서빙고동,2089116
2020,2,11170700,보광동,4632909
2020,2,11200520,왕십리2동,5238169
2020,2,11200535,왕십리도선동,5475901
2020,2,11200540,마장동,6391179
2020,2,11200550,사근동,4589780
2020,2,11200560,행당1동,4865052
2020,2,11200570,행당2동,4331480
2020,2,11200580,응봉동,3406112
2020,2,11200590,금호1가동,3889858
2020,2,11200615,금호23가동,6613940
2020,2,11200620,금호4가동,3582109
2020,2,11200645,옥수동,3279088
2020,2,11200650,성수1가1동,3013450
2020,2,11200660,성수1가2동,6286812
2020,2,11200670,성수2가1동,5743099
2020,2,11200690,성수2가3동,5238771
2020,2,11200720,송정동,3335709
2020,2,11200790,용답동,3104944
2020,2,11215710,화양동,8899559
2020,2,11215730,군자동,5305996
2020,2,11215740,중곡1동,4464256
2020,2,11215750,중곡2동,5357291
2020,2,11215760,중곡3동,5267014
2020,2,11215770,중곡4동,7567200
2020,2,11215780,능동,2586182
2020,2,11215810,광장동,6787201
2020,2,11215820,자양1동,8733957
2020,2,11215830,자양2동,5242004
2020,2,11215840,자양3동,7426919
2020,2,11215847,자양4동,8386161
2020,2,11215850,구의1동,8037051
2020,2,11215860,구의2동,6716459
2020,2,11215870,구의3동,7302104
2020,2,11230536,용신동,14292094
2020,2,11230545,제기동,11842304
2020,2,11230560,전농1동,11501890
2020,2,11230570,전농2동,2846018
2020,2,11230600,답십리1동,7165278
2020,2,11230610,답십리2동,7931462
2020,2,11230650,장안1동,9390153
2020,2,11230660,장안2동,7609506
2020,2,11230705,청량리동,7066370
2020,2,11230710,회기동,5461247
2020,2,11230720,휘경1동,5686255
2020,2,11230730,휘경2동,5340560
2020,2,11230740,이문1동,9298446
2020,2,11230750,이문2동,4922852
2020,2,11260520,면목2동,6843980
2020,2,11260540,면목4동,5612508
2020,2,11260550,면목5동,2346061
2020,2,11260565,면목본동,11134267
2020,2,11260570,면목7동,8071577
2020,2,11260575,면목38동,6770108
2020,2,11260580,상봉1동,5867104
2020,2,11260590,상봉2동,7379435
2020,2,11260600,중화1동,5807756
2020,2,11260610,중화2동,9067135
2020,2,11260620,묵1동,7643709
2020,2,11260630,묵2동,5917001
2020,2,11260655,망우본동,9606221
2020,2,11260660,망우3동,4958819
2020,2,11260680,신내1동,5478451
2020,2,11260690,신내2동,2061998
2020,2,11290525,성북동,4382398
2020,2,11290555,삼선동,10296357
2020,2,11290575,동선동,8843542
2020,2,11290580,돈암1동,3367517
2020,2,11290590,돈암2동,2981471
2020,2,11290600,안암동,5942011
2020,2,11290610,보문동,6228802
2020,2,11290620,정릉1동,5594492
2020,2,11290630,정릉2동,6146262
2020,2,11290640,정릉3동,3017675
2020,2,11290650,정릉4동,3760413
2020,2,11290660,길음1동,7136598
2020,2,11290685,길음2동,5004254
2020,2,11290705,종암동,11351842
2020,2,11290715,월곡1동,7395365
2020,2,11290725,월곡2동,7102907
2020,2,11290760,장위1동,6852403
2020,2,11290770,장위2동,6127477
2020,2,11290780,장위3동,3734500
2020,2,11290810,석관동,11170413
2020,2,11305534,삼양동,11835929
2020,2,11305535,미아동,8413131
2020,2,11305545,송중동,12754808
2020,2,11305555,송천동,13474984
2020,2,11305575,삼각산동,3472827
2020,2,11305595,번1동,8181446
2020,2,11305603,번2동,3445371
2020,2,11305608,번3동,3897568
2020,2,11305615,수유1동,7089649
2020,2,11305625,수유2동,6946186
2020,2,11305635,수유3동,10859256
2020,2,11305645,우이동,4389770
2020,2,11305660,인수동,9427205
2020,2,11320511,창1동,4674343
2020,2,11320512,창2동,9100092
2020,2,11320513,창3동,5175596
2020,2,11320514,창4동,3933838
2020,2,11320515,창5동,5067449
2020,2,11320521,도봉1동,3790570
2020,2,11320522,도봉2동,3230898
2020,2,11320660,쌍문1동,5190286
2020,2,11320670,쌍문2동,5107470
2020,2,11320680,쌍문3동,5256835
2020,2,11320681,쌍문4동,2980575
2020,2,11320690,방학1동,7438393
2020,2,11320700,방학2동,3375357
2020,2,11320710,방학3동,4099320
2020,2,11350560,월계1동,6079676
2020,2,11350570,월계2동,3973060
2020,2,11350580,월계3동,2919253
2020,2,11350595,공릉1동,11497663
2020,2,11350600,공릉2동,8100029
2020,2,11350611,하계1동,4118421
2020,2,11350612,하계2동,2898788
2020,2,11350619,중계본동,5855876
2020,2,11350621,중계1동,4328963
2020,2,11350624,중계4동,3610618
2020,2,11350625,중계23동,5411956
2020,2,11350630,상계1동,8072887
2020,2,11350640,상계2동,11907844
2020,2,11350665,상계34동,10107427
2020,2,11350670,상계5동,7902217
2020,2,11350695,상계67동,6158665
2020,2,11350700,상계8동,1111606
2020,2,11350710,상계9동,1720642
2020,2,11350720,상계10동,2618391
2020,2,11380510,녹번동,7317379
2020,2,11380520,불광1동,7194453
2020,2,11380530,불광2동,6319742
2020,2,11380551,갈현1동,8792779
2020,2,11380552,갈현2동,6771683
2020,2,11380560,구산동,5690367
2020,2,11380570,대조동,9407317
2020,2,11380580,응암1동,6347281
2020,2,11380590,응암2동,4176308
2020,2,11380600,응암3동,7958028
2020,2,11380625,역촌동,12144343
2020,2,11380631,신사1동,6305502
2020,2,11380632,신사2동,4144697
2020,2,11380640,증산동,3359343
2020,2,11380650,수색동,1539040
2020,2,11380690,진관동,7134808
2020,2,11410520,천연동,4748604
2020,2,11410555,북아현동,14816380
2020,2,11410565,충현동,8670639
2020,2,11410585,신촌동,9755108
2020,2,11410615,연희동,9615012
2020,2,11410620,홍제1동,6130120
2020,2,11410640,홍제3동,4558126
2020,2,11410655,홍제2동,2753451
2020,2,11410660,홍은1동,3910747
2020,2,11410685,홍은2동,4773021
2020,2,11410690,남가좌1동,2427964
2020,2,11410700,남가좌2동,6465849
2020,2,11410710,북가좌1동,3296105
2020,2,11410720,북가좌2동,12941576
2020,2,11440555,아현동,6466011
2020,2,11440565,공덕동,14619360
2020,2,11440585,도화동,5568177
2020,2,11440590,용강동,7192060
2020,2,11440600,대흥동,7216856
2020,2,11440610,염리동,3816097
2020,2,11440630,신수동,5810871
2020,2,11440655,서강동,6515992
2020,2,11440660,서교동,16454127
2020,2,11440680,합정동,5678747
2020,2,11440690,망원1동,6779573
2020,2,11440700,망원2동,6752318
2020,2,11440710,연남동,6863865
2020,2,11440720,성산1동,6655252
2020,2,11440730,성산2동,8060137
2020,2,11440740,상암동,5590696
2020,2,11470510,목1동,5702051
2020,2,11470520,목2동,7440754
2020,2,11470530,목3동,5389210
2020,2,11470540,목4동,5961818
2020,2,11470550,목5동,5322134
2020,2,11470560,신월1동,4252707
2020,2,11470570,신월2동,4420284
2020,2,11470580,신월3동,2843378
2020,2,11470590,신월4동,3970336
2020,2,11470600,신월5동,3129921
2020,2,11470610,신월6동,1285234
2020,2,11470611,신월7동,2501637
2020,2,11470620,신정1동,3589912
2020,2,11470630,신정2동,4746932
2020,2,11470640,신정3동,6942906
2020,2,11470650,신정4동,11556767
2020,2,11470670,신정6동,1871358
2020,2,11470680,신정7동,3764996
2020,2,11500510,염창동,8645308
2020,2,11500520,등촌1동,4937447
2020,2,11500530,등촌2동,4284926
2020,2,11500535,등촌3동,5633396
2020,2,11500540,화곡1동,17178544
2020,2,11500550,화곡2동,3623004
2020,2,11500560,화곡3동,4023496
2020,2,11500570,화곡4동,5278876
2020,2,11500590,화곡본동,9306238
2020,2,11500591,화곡6동,5424519
2020,2,11500593,화곡8동,7292078
2020,2,11500603,가양1동,3107139
2020,2,11500604,가양2동,2317828
2020,2,11500605,가양3동,1729653
2020,2,11500611,발산1동,5914068
2020,2,11500615,우장산동,7702375
2020,2,11500620,공항동,6260183
2020,2,11500630,방화1동,8016575
2020,2,11500640,방화2동,6198746
2020,2,11500641,방화3동,3248347
2020,2,11530510,신도림동,6850364
2020,2,11530520,구로1동,2433418
2020,2,11530530,구로2동,9549569
2020,2,11530540,구로3동,7788832
2020,2,11530550,구로4동,6082120
2020,2,11530560,구로5동,6573516
2020,2,11530595,가리봉동,2852611
2020,2,11530720,고척1동,4606680
2020,2,11530730,고척2동,6248279
2020,2,11530740,개봉1동,7355439
2020,2,11530750,개봉2동,4358065
2020,2,11530760,개봉3동,3671907
2020,2,11530770,오류1동,4066225
2020,2,11530780,오류2동,5836194
2020,2,11530790,수궁동,2447115
2020,2,11530800,항동,822197
2020,2,11545510,가산동,4220586
2020,2,11545610,독산1동,4921273
2020,2,11545620,독산2동,3307089
2020,2,11545630,독산3동,5804454
2020,2,11545640,독산4동,4838870
2020,2,11545670,시흥1동,6264282
2020,2,11545680,시흥2동,1712856
2020,2,11545690,시흥3동,1343261
2020,2,11545700,시흥4동,3145309
2020,2,11545710,시흥5동,3810190
2020,2,11560515,영등포본동,7533300
2020,2,11560535,영등포동,9931957
2020,2,11560540,여의동,5545648
2020,2,11560550,당산1동,6417729
2020,2,11560560,당산2동,8754412
2020,2,11560585,도림동,5571696
2020,2,11560605,문래동,10659217
2020,2,11560610,양평1동,5576493
2020,2,11560620,양평2동,5087004
2020,2,11560630,신길1동,5833373
2020,2,11560650,신길3동,6867114
2020,2,11560660,신길4동,2498783
2020,2,11560670,신길5동,2455568
2020,2,11560680,신길6동,4951332
2020,2,11560690,신길7동,3511660
2020,2,11560700,대림1동,4950337
2020,2,11560710,대림2동,4480138
2020,2,11560720,대림3동,7107127
2020,2,11590510,노량진1동,8110687
2020,2,11590520,노량진2동,3791168
2020,2,11590530,상도1동,9423175
2020,2,11590540,상도2동,5873383
2020,2,11590550,상도3동,5549799
2020,2,11590560,상도4동,7485224
2020,2,11590605,흑석동,7877405
2020,2,11590620,사당1동,7662218
2020,2,11590630,사당2동,8062865
2020,2,11590640,사당3동,5373452
2020,2,11590650,사당4동,4027651
2020,2,11590651,사당5동,3943419
2020,2,11590660,대방동,6817270
2020,2,11590670,신대방1동,3219777
2020,2,11590680,신대방2동,5782879
2020,2,11620525,보라매동,4650762
2020,2,11620545,청림동,2787352
2020,2,11620565,성현동,6051887
2020,2,11620575,행운동,7591219
2020,2,11620585,낙성대동,6399498
2020,2,11620595,청룡동,11046264
2020,2,11620605,은천동,8228450
2020,2,11620615,중앙동,6359027
2020,2,11620625,인헌동,6143068
2020,2,11620630,남현동,5440175
2020,2,11620645,서원동,6502242
2020,2,11620655,신원동,6120905
2020,2,11620665,서림동,5851113
2020,2,11620685,신사동,8490220
2020,2,11620695,신림동,9658902
2020,2,11620715,난향동,1410427
2020,2,11620725,조원동,6840377
2020,2,11620735,대학동,6948351
2020,2,11620745,삼성동,8156732
2020,2,11620765,미성동,6380910
2020,2,11620775,난곡동,6313975
2020,2,11650510,서초1동,7367115
2020,2,11650520,서초2동,6228453
2020,2,11650530,서초3동,12183866
2020,2,11650531,서초4동,6852347
2020,2,11650540,잠원동,7502119
2020,2,11650550,반포본동,892862
2020,2,11650560,반포1동,7767981
2020,2,11650570,반포2동,1426918
