연도,분기,행정동_코드,행정동_코드_명,총_직장_인구_수
2020,1,11470640,신정3동,2687
2020,1,11470650,신정4동,5283
2020,1,11470680,신정7동,405
2020,1,11410585,신촌동,2172
2020,1,11320660,쌍문1동,812
2020,1,11320670,쌍문2동,998
2020,1,11320680,쌍문3동,1107
2020,1,11320681,쌍문4동,160
2020,1,11440555,아현동,5728
2020,1,11290600,안암동,1991
2020,1,11740570,암사1동,2792
2020,1,11740580,암사2동,1930
2020,1,11680545,압구정동,40822
2020,1,11140635,약수동,10940
2020,1,11650651,양재1동,25511
2020,1,11650652,양재2동,30435
2020,1,11560610,양평1동,8907
2020,1,11560620,양평2동,12582
2020,1,11560540,여의동,192384
2020,1,11680640,역삼1동,168845
2020,1,11680650,역삼2동,48392
2020,1,11380625,역촌동,3262
2020,1,11440710,연남동,2839
2020,1,11410615,연희동,8633
2020,1,11440610,염리동,1979
2020,1,11500510,염창동,2992
2020,1,11560535,영등포동,13344
2020,1,11560515,영등포본동,4029
2020,1,11710570,오금동,22928
2020,1,11530770,오류1동,3354
2020,1,11530780,오류2동,695
2020,1,11710566,오륜동,13441
2020,1,11200645,옥수동,1764
2020,1,11200520,왕십리2동,1070
2020,1,11200535,왕십리도선동,3787
2020,1,11440590,용강동,10604
2020,1,11200790,용답동,2792
2020,1,11170590,용문동,2388
2020,1,11170520,용산2가동,583
2020,1,11230536,용신동,19195
2020,1,11305645,우이동,1638
2020,1,11500615,우장산동,3447
2020,1,11170560,원효로1동,2742
2020,1,11170570,원효로2동,2765
2020,1,11350560,월계1동,1344
2020,1,11350570,월계2동,163
2020,1,11350580,월계3동,190
2020,1,11290715,월곡1동,1385
2020,1,11290725,월곡2동,2501
2020,1,11620605,은천동,1054
2020,1,11140605,을지로동,15882
2020,1,11200580,응봉동,583
2020,1,11380580,응암1동,2343
2020,1,11380590,응암2동,435
2020,1,11380600,응암3동,1607
2020,1,11230740,이문1동,1134
2020,1,11230750,이문2동,200
2020,1,11170630,이촌1동,5274
2020,1,11170640,이촌2동,1547
2020,1,11170650,이태원1동,22194
2020,1,11170660,이태원2동,1112
2020,1,11110640,이화동,1569
2020,1,11305660,인수동,3004
2020,1,11620625,인헌동,1416
2020,1,11680730,일원1동,1708
2020,1,11215820,자양1동,8810
2020,1,11215830,자양2동,2177
2020,1,11215840,자양3동,2008
2020,1,11215847,자양4동,849
2020,1,11710670,잠실2동,3796
2020,1,11710680,잠실3동,33924
2020,1,11710690,잠실4동,3061
2020,1,11710710,잠실6동,51676
2020,1,11710650,잠실본동,9082
2020,1,11650540,잠원동,13663
2020,1,11230650,장안1동,9958
2020,1,11230660,장안2동,5242
2020,1,11290760,장위1동,505
2020,1,11290770,장위2동,770
2020,1,11290780,장위3동,189
2020,1,11710646,장지동,5460
2020,1,11140580,장충동,7351
2020,1,11230560,전농1동,1128
2020,1,11230570,전농2동,1183
2020,1,11290620,정릉1동,751
2020,1,11290630,정릉2동,1097
2020,1,11290640,정릉3동,427
2020,1,11290650,정릉4동,1116
2020,1,11230545,제기동,4848
2020,1,11620725,조원동,2959
2020,1,11110615,종로1?2?3?4가동,116875
2020,1,11110630,종로5?6가동,22052
2020,1,11290705,종암동,15832
2020,1,11350621,중계1동,982
2020,1,11350625,중계2?3동,1438
2020,1,11350624,중계4동,1169
2020,1,11350619,중계본동,921
2020,1,11215740,중곡1동,4120
2020,1,11215750,중곡2동,2261
2020,1,11215760,중곡3동,860
2020,1,11215770,중곡4동,3137
2020,1,11140680,중림동,3099
2020,1,11620615,중앙동,1225
2020,1,11260600,중화1동,1187
2020,1,11260610,중화2동,864
2020,1,11380640,증산동,2105
2020,1,11380690,진관동,767
2020,1,11320511,창1동,837
2020,1,11320512,창2동,1231
2020,1,11320513,창3동,624
2020,1,11320514,창4동,1594
2020,1,11320515,창5동,5200
2020,1,11110670,창신1동,2120
2020,1,11110680,창신2동,243
2020,1,11110690,창신3동,99
2020,1,11410520,천연동,1096
2020,1,11740600,천호1동,1929
2020,1,11740610,천호2동,3320
2020,1,11740620,천호3동,1366
2020,1,11140645,청구동,1894
2020,1,11680565,청담동,54591
2020,1,11230705,청량리동,2822
2020,1,11620595,청룡동,3302
2020,1,11620545,청림동,444
2020,1,11110515,청운효자동,6476
2020,1,11170555,청파동,3050
2020,1,11410565,충현동,11021
2020,1,11110560,평창동,12926
2020,1,11710510,풍납1동,716
2020,1,11710520,풍납2동,531
2020,1,11140570,필동,11974
2020,1,11350611,하계1동,554
2020,1,11170625,한강로동,42930
2020,1,11170685,한남동,35228
2020,1,11440680,합정동,5349
2020,1,11200560,행당1동,1608
2020,1,11200570,행당2동,9
2020,1,11620575,행운동,1996
2020,1,11110650,혜화동,4395
2020,1,11410660,홍은1동,2623
2020,1,11410685,홍은2동,1454
2020,1,11410620,홍제1동,1698
2020,1,11410655,홍제2동,361
2020,1,11410640,홍제3동,875
2020,1,11500540,화곡1동,4483
2020,1,11500550,화곡2동,1437
2020,1,11500560,화곡3동,3751
2020,1,11500570,화곡4동,2206
2020,1,11500591,화곡6동,7410
2020,1,11500593,화곡8동,1848
2020,1,11500590,화곡본동,2282
2020,1,11215710,화양동,1335
2020,1,11140670,황학동,774
2020,1,11230710,회기동,179
2020,1,11140540,회현동,74892
2020,1,11170580,효창동,1251
2020,1,11170510,후암동,1640
2020,1,11230720,휘경1동,902
2020,1,11230730,휘경2동,1380
2020,1,11590605,흑석동,217
2020,2,11710631,가락1동,5894
2020,2,11710632,가락2동,6848
2020,2,11710620,가락본동,25135
2020,2,11530595,가리봉동,899
2020,2,11545510,가산동,83042
2020,2,11500603,가양1동,1410
2020,2,11500605,가양3동,245
2020,2,11110600,가회동,11063
2020,2,11380551,갈현1동,2296
2020,2,11380552,갈현2동,2994
2020,2,11740515,강일동,125
2020,2,11530740,개봉1동,2776
2020,2,11530750,개봉2동,5442
2020,2,11530760,개봉3동,1537
2020,2,11680660,개포1동,2438
2020,2,11680670,개포2동,5146
2020,2,11680690,개포4동,8263
2020,2,11710531,거여1동,2854
2020,2,11710532,거여2동,1310
2020,2,11740550,고덕1동,1016
2020,2,11740560,고덕2동,1088
2020,2,11530720,고척1동,2691
2020,2,11530730,고척2동,1771
2020,2,11440565,공덕동,9194
2020,2,11350595,공릉1동,4836
2020,2,11350600,공릉2동,820
2020,2,11500620,공항동,5401
2020,2,11215810,광장동,5066
2020,2,11140590,광희동,55742
2020,2,11110580,교남동,713
2020,2,11530530,구로2동,11964
2020,2,11530540,구로3동,51508
2020,2,11530550,구로4동,1713
2020,2,11530560,구로5동,12772
2020,2,11380560,구산동,1608
2020,2,11215850,구의1동,3413
2020,2,11215860,구의2동,2134
2020,2,11215870,구의3동,9125
2020,2,11215730,군자동,1356
2020,2,11200590,금호1가동,1349
2020,2,11200615,금호2?3가동,447
2020,2,11200620,금호4가동,691
2020,2,11740685,길동,8576
2020,2,11290660,길음1동,3041
2020,2,11290685,길음2동,453
2020,2,11620585,낙성대동,5211
2020,2,11620775,난곡동,991
2020,2,11620715,난향동,544
2020,2,11410690,남가좌1동,951
2020,2,11410700,남가좌2동,1164
2020,2,11170530,남영동,16176
2020,2,11620630,남현동,3384
2020,2,11650660,내곡동,1650
2020,2,11590510,노량진1동,4261
2020,2,11590520,노량진2동,4451
2020,2,11380510,녹번동,2744
2020,2,11680521,논현1동,40704
2020,2,11680531,논현2동,51265
2020,2,11215780,능동,1369
2020,2,11140625,다산동,6255
2020,2,11230600,답십리1동,2044
2020,2,11230610,답십리2동,2483
2020,2,11560550,당산1동,6754
2020,2,11560560,당산2동,11843
2020,2,11560700,대림1동,1494
2020,2,11560710,대림2동,3767
2020,2,11560720,대림3동,4922
2020,2,11590660,대방동,7997
2020,2,11380570,대조동,2231
2020,2,11680600,대치1동,16783
2020,2,11680610,대치2동,85188
2020,2,11680630,대치4동,33175
2020,2,11620735,대학동,939
2020,2,11440600,대흥동,3225
2020,2,11680655,도곡1동,31446
2020,2,11680656,도곡2동,88264
2020,2,11560585,도림동,706
2020,2,11320521,도봉1동,1718
2020,2,11320522,도봉2동,748
2020,2,11440585,도화동,12438
2020,2,11545610,독산1동,11846
2020,2,11545620,독산2동,1367
2020,2,11545630,독산3동,3618
2020,2,11545640,독산4동,1482
2020,2,11290580,돈암1동,103
2020,2,11290590,돈암2동,431
2020,2,11290575,동선동,2112
2020,2,11140665,동화동,1183
2020,2,11740700,둔촌2동,2842
2020,2,11500520,등촌1동,5201
2020,2,11500530,등촌2동,2566
2020,2,11500535,등촌3동,13486
2020,2,11200540,마장동,6773
2020,2,11710540,마천1동,622
2020,2,11710550,마천2동,1635
2020,2,11260660,망우3동,423
2020,2,11260655,망우본동,1589
2020,2,11440690,망원1동,2980
2020,2,11440700,망원2동,4621
2020,2,11260520,면목2동,1066
2020,2,11260575,면목3?8동,1713
2020,2,11260540,면목4동,769
2020,2,11260550,면목5동,991
2020,2,11260570,면목7동,946
2020,2,11260565,면목본동,1335
2020,2,11140550,명동,123928
2020,2,11740530,명일1동,3780
2020,2,11740540,명일2동,2521
2020,2,11470510,목1동,13488
2020,2,11470520,목2동,2860
2020,2,11470530,목3동,1685
2020,2,11470540,목4동,2011
2020,2,11470550,목5동,15306
2020,2,11110570,무악동,451
2020,2,11260620,묵1동,912
2020,2,11260630,묵2동,1390
2020,2,11560605,문래동,57767
2020,2,11710641,문정1동,31693
2020,2,11710642,문정2동,30105
2020,2,11620765,미성동,3064
2020,2,11305535,미아동,1214
2020,2,11650560,반포1동,6436
2020,2,11650570,반포2동,1948
2020,2,11650580,반포3동,3165
2020,2,11650581,반포4동,58955
2020,2,11650550,반포본동,11263
2020,2,11500611,발산1동,2302
2020,2,11650600,방배1동,18441
2020,2,11650610,방배2동,12555
2020,2,11650620,방배3동,14532
2020,2,11650621,방배4동,15638
2020,2,11650590,방배본동,22144
2020,2,11710561,방이1동,8614
2020,2,11710562,방이2동,40875
2020,2,11320690,방학1동,3094
2020,2,11320700,방학2동,810
2020,2,11320710,방학3동,1081
2020,2,11500630,방화1동,4187
2020,2,11500640,방화2동,2319
2020,2,11500641,방화3동,2527
2020,2,11305595,번1동,2250
2020,2,11305603,번2동,337
2020,2,11305608,번3동,207
2020,2,11170700,보광동,565
2020,2,11620525,보라매동,1634
2020,2,11290610,보문동,3276
2020,2,11110550,부암동,1514
2020,2,11410710,북가좌1동,422
2020,2,11410720,북가좌2동,1307
2020,2,11410555,북아현동,1204
2020,2,11380520,불광1동,2010
2020,2,11380530,불광2동,2110
2020,2,11200550,사근동,409
2020,2,11590620,사당1동,3764
2020,2,11590630,사당2동,1976
2020,2,11590640,사당3동,919
2020,2,11590650,사당4동,1255
2020,2,11590651,사당5동,1460
2020,2,11110530,사직동,44477
2020,2,11305575,삼각산동,335
2020,2,11290555,삼선동,4636
2020,2,11680580,삼성1동,159167
2020,2,11680590,삼성2동,58014
2020,2,11620745,삼성동,879
2020,2,11305534,삼양동,462
2020,2,11710610,삼전동,4176
2020,2,11110540,삼청동,3911
2020,2,11350720,상계10동,344
2020,2,11350630,상계1동,3699
2020,2,11350640,상계2동,2183
2020,2,11350665,상계3?4동,652
2020,2,11350670,상계5동,1190
2020,2,11350695,상계6?7동,3980
2020,2,11350700,상계8동,448
2020,2,11350710,상계9동,1010
2020,2,11590530,상도1동,3561
2020,2,11590540,상도2동,992
2020,2,11590550,상도3동,887
2020,2,11590560,상도4동,1118
2020,2,11260580,상봉1동,1704
2020,2,11260590,상봉2동,4761
2020,2,11440740,상암동,11981
2020,2,11740520,상일동,1247
2020,2,11440655,서강동,3646
2020,2,11440660,서교동,26294
2020,2,11620665,서림동,1454
2020,2,11170690,서빙고동,7218
2020,2,11620645,서원동,2333
2020,2,11650510,서초1동,41803
2020,2,11650520,서초2동,58613
2020,2,11650530,서초3동,58156
2020,2,11650531,서초4동,34217
2020,2,11290810,석관동,2897
2020,2,11710600,석촌동,9563
2020,2,11740640,성내1동,13172
2020,2,11740650,성내2동,2007
2020,2,11740660,성내3동,4156
2020,2,11290525,성북동,15551
2020,2,11440720,성산1동,4650
2020,2,11440730,성산2동,1375
2020,2,11200650,성수1가1동,2148
2020,2,11200660,성수1가2동,5342
2020,2,11200670,성수2가1동,7914
2020,2,11200690,성수2가3동,22685
2020,2,11620565,성현동,1543
2020,2,11680700,세곡동,471
2020,2,11140520,소공동,94203
2020,2,11200720,송정동,878
2020,2,11305545,송중동,1450
2020,2,11305555,송천동,926
2020,2,11710580,송파1동,9040
2020,2,11710590,송파2동,5656
2020,2,11530790,수궁동,1792
2020,2,11380650,수색동,242
2020,2,11680750,수서동,15479
2020,2,11305615,수유1동,1218
2020,2,11305625,수유2동,1248
2020,2,11305635,수유3동,3045
2020,2,11110700,숭인1동,307
2020,2,11110710,숭인2동,1662
2020,2,11545670,시흥1동,4261
2020,2,11545680,시흥2동,748
2020,2,11545690,시흥3동,1739
2020,2,11545700,시흥4동,1232
2020,2,11545710,시흥5동,1359
2020,2,11560630,신길1동,2688
2020,2,11560650,신길3동,622
2020,2,11560660,신길4동,593
2020,2,11560670,신길5동,793
2020,2,11560680,신길6동,1813
2020,2,11560690,신길7동,2410
2020,2,11260680,신내1동,1973
2020,2,11260690,신내2동,464
2020,2,11140650,신당5동,768
2020,2,11140615,신당동,5611
2020,2,11590670,신대방1동,3893
2020,2,11590680,신대방2동,12684
2020,2,11530510,신도림동,9462
2020,2,11620695,신림동,1706
2020,2,11380631,신사1동,1161
2020,2,11380632,신사2동,1019
2020,2,11680510,신사동,26882
2020,2,11620685,신사동,3698
2020,2,11440630,신수동,2488
2020,2,11620655,신원동,628
2020,2,11470560,신월1동,2132
2020,2,11470570,신월2동,1814
2020,2,11470580,신월3동,1121
2020,2,11470590,신월4동,1289
2020,2,11470600,신월5동,1632
2020,2,11470610,신월6동,811
2020,2,11470611,신월7동,2779
2020,2,11470620,신정1동,7889
2020,2,11470630,신정2동,11584
2020,2,11470640,신정3동,2687
2020,2,11470650,신정4동,5283
2020,2,11470680,신정7동,405
2020,2,11410585,신촌동,2172
2020,2,11320660,쌍문1동,812
2020,2,11320670,쌍문2동,998
2020,2,11320680,쌍문3동,1107
2020,2,11320681,쌍문4동,160
2020,2,11440555,아현동,5728
2020,2,11290600,안암동,1991
2020,2,11740570,암사1동,2792
2020,2,11740580,암사2동,1930
2020,2,11680545,압구정동,40822
2020,2,11140635,약수동,10940
2020,2,11650651,양재1동,25511
2020,2,11650652,양재2동,30435
2020,2,11560610,양평1동,8907
2020,2,11560620,양평2동,12582
2020,2,11560540,여의동,192384
2020,2,11680640,역삼1동,168845
2020,2,11680650,역삼2동,48392
2020,2,11380625,역촌동,3262
2020,2,11440710,연남동,2839
2020,2,11410615,연희동,8633
2020,2,11440610,염리동,1979
2020,2,11500510,염창동,2992
2020,2,11560535,영등포동,13344
2020,2,11560515,영등포본동,4029
2020,2,11710570,오금동,22928
2020,2,11530770,오류1동,3354
2020,2,11530780,오류2동,695
2020,2,11710566,오륜동,13441
2020,2,11200645,옥수동,1764
2020,2,11200520,왕십리2동,1070
2020,2,11200535,왕십리도선동,3787
2020,2,11440590,용강동,10604
2020,2,11200790,용답동,2792
2020,2,11170590,용문동,2388
2020,2,11170520,용산2가동,583
2020,2,11230536,용신동,19195
2020,2,11305645,우이동,1638
2020,2,11500615,우장산동,3447
2020,2,11170560,원효로1동,2742
2020,2,11170570,원효로2동,2765
2020,2,11350560,월계1동,1344
2020,2,11350570,월계2동,163
2020,2,11350580,월계3동,190
2020,2,11290715,월곡1동,1385
2020,2,11290725,월곡2동,2501
2020,2,11620605,은천동,1054
2020,2,11140605,을지로동,15882
2020,2,11200580,응봉동,583
2020,2,11380580,응암1동,2343
2020,2,11380590,응암2동,435
2020,2,11380600,응암3동,1607
2020,2,11230740,이문1동,1134
2020,2,11230750,이문2동,200
2020,2,11170630,이촌1동,5274
2020,2,11170640,이촌2동,1547
2020,2,11170650,이태원1동,22194
2020,2,11170660,이태원2동,1112
2020,2,11110640,이화동,1569
2020,2,11305660,인수동,3004
2020,2,11620625,인헌동,1416
2020,2,11680730,일원1동,1708
2020,2,11215820,자양1동,8810
2020,2,11215830,자양2동,2177
2020,2,11215840,자양3동,2008
2020,2,11215847,자양4동,849
2020,2,11710670,잠실2동,3796
2020,2,11710680,잠실3동,33924
2020,2,11710690,잠실4동,3061
2020,2,11710710,잠실6동,51676
2020,2,11710650,잠실본동,9082
2020,2,11650540,잠원동,13663
2020,2,11230650,장안1동,9958
2020,2,11230660,장안2동,5242
2020,2,11290760,장위1동,505
2020,2,11290770,장위2동,770
2020,2,11290780,장위3동,189
2020,2,11710646,장지동,5460
2020,2,11140580,장충동,7351
2020,2,11230560,전농1동,1128
2020,2,11230570,전농2동,1183
2020,2,11290620,정릉1동,751
2020,2,11290630,정릉2동,1097
2020,2,11290640,정릉3동,427
2020,2,11290650,정릉4동,1116
2020,2,11230545,제기동,4848
2020,2,11620725,조원동,2959
2020,2,11110615,종로1?2?3?4가동,116875
2020,2,11110630,종로5?6가동,22052
2020,2,11290705,종암동,15832
2020,2,11350621,중계1동,982
2020,2,11350625,중계2?3동,1438
2020,2,11350624,중계4동,1169
2020,2,11350619,중계본동,921
2020,2,11215740,중곡1동,4120
2020,2,11215750,중곡2동,2261
2020,2,11215760,중곡3동,860
2020,2,11215770,중곡4동,3137
2020,2,11140680,중림동,3099
2020,2,11620615,중앙동,1225
2020,2,11260600,중화1동,1187
2020,2,11260610,중화2동,864
2020,2,11380640,증산동,2105
2020,2,11380690,진관동,767
2020,2,11320511,창1동,837
2020,2,11320512,창2동,1231
2020,2,11320513,창3동,624
2020,2,11320514,창4동,1594
2020,2,11320515,창5동,5200
2020,2,11110670,창신1동,2120
2020,2,11110680,창신2동,243
2020,2,11110690,창신3동,99
2020,2,11410520,천연동,1096
2020,2,11740600,천호1동,1929
2020,2,11740610,천호2동,3320
2020,2,11740620,천호3동,1366
2020,2,11140645,청구동,1894
2020,2,11680565,청담동,54591
2020,2,11230705,청량리동,2822
2020,2,11620595,청룡동,3302
2020,2,11620545,청림동,444
2020,2,11110515,청운효자동,6476
2020,2,11170555,청파동,3050
2020,2,11410565,충현동,11021
2020,2,11110560,평창동,12926
2020,2,11710510,풍납1동,716
2020,2,11710520,풍납2동,531
2020,2,11140570,필동,11974
2020,2,11350611,하계1동,554
2020,2,11170625,한강로동,42930
2020,2,11170685,한남동,35228
2020,2,11440680,합정동,5349
2020,2,11200560,행당1동,1608
2020,2,11200570,행당2동,9
2020,2,11620575,행운동,1996
2020,2,11110650,혜화동,4395
2020,2,11410660,홍은1동,2623
2020,2,11410685,홍은2동,1454
2020,2,11410620,홍제1동,1698
2020,2,11410655,홍제2동,361
2020,2,11410640,홍제3동,875
2020,2,11500540,화곡1동,4483
2020,2,11500550,화곡2동,1437
2020,2,11500560,화곡3동,3751
2020,2,11500570,화곡4동,2206
2020,2,11500591,화곡6동,7410
2020,2,11500593,화곡8동,1848
2020,2,11500590,화곡본동,2282
2020,2,11215710,화양동,1335
2020,2,11140670,황학동,774
2020,2,11230710,회기동,179
2020,2,11140540,회현동,74892
2020,2,11170580,효창동,1251
2020,2,11170510,후암동,1640
2020,2,11230720,휘경1동,902
2020,2,11230730,휘경2동,1380
