연도,분기,행정동_코드,행정동_코드_명,점포_수,유사_업종_점포_수,개업_점포_수,폐업_점포_수,프랜차이즈_점포_수
2020,1,11470600,신월5동,588,653,25,27,65
2020,1,11470610,신월6동,355,379,17,8,24
2020,1,11470611,신월7동,664,724,25,27,60
2020,1,11470620,신정1동,947,1037,31,41,90
2020,1,11470630,신정2동,830,918,45,37,88
2020,1,11470640,신정3동,967,1081,36,24,114
2020,1,11470650,신정4동,2123,2299,93,80,176
2020,1,11470670,신정6동,597,661,26,27,64
2020,1,11470680,신정7동,693,803,35,26,110
2020,1,11500510,염창동,1226,1404,60,41,178
2020,1,11500520,등촌1동,1142,1295,53,39,153
2020,1,11500530,등촌2동,484,533,18,11,49
2020,1,11500535,등촌3동,1665,1882,98,78,217
2020,1,11500540,화곡1동,2084,2295,94,72,211
2020,1,11500550,화곡2동,558,588,24,18,30
2020,1,11500560,화곡3동,868,990,39,28,122
2020,1,11500570,화곡4동,1005,1105,54,49,100
2020,1,11500590,화곡본동,1053,1149,59,42,96
2020,1,11500591,화곡6동,1179,1321,65,53,142
2020,1,11500593,화곡8동,944,1023,43,39,79
2020,1,11500603,가양1동,3575,4087,244,149,512
2020,1,11500604,가양2동,378,432,12,15,54
2020,1,11500605,가양3동,329,370,14,8,41
2020,1,11500611,발산1동,2661,2876,194,65,215
2020,1,11500615,우장산동,1221,1341,46,56,120
2020,1,11500620,공항동,1237,1373,55,45,136
2020,1,11500630,방화1동,1680,1885,88,57,205
2020,1,11500640,방화2동,1435,1580,64,56,145
2020,1,11500641,방화3동,476,529,21,16,53
2020,1,11530510,신도림동,1548,1744,68,56,196
2020,1,11530520,구로1동,492,552,18,14,60
2020,1,11530530,구로2동,4868,4993,102,83,125
2020,1,11530540,구로3동,3255,3661,153,108,406
2020,1,11530550,구로4동,1493,1583,63,48,90
2020,1,11530560,구로5동,2467,2661,82,87,194
2020,1,11530595,가리봉동,766,793,29,27,27
2020,1,11530720,고척1동,1138,1288,41,38,150
2020,1,11530730,고척2동,953,1018,16,20,65
2020,1,11530740,개봉1동,1162,1259,53,43,97
2020,1,11530750,개봉2동,730,820,27,18,90
2020,1,11530760,개봉3동,653,716,36,20,63
2020,1,11530770,오류1동,827,898,43,26,71
2020,1,11530780,오류2동,948,1061,44,44,113
2020,1,11530790,수궁동,654,711,29,21,57
2020,1,11530800,항동,157,181,41,4,24
2020,1,11545510,가산동,6720,7276,335,168,556
2020,1,11545610,독산1동,2175,2388,85,71,213
2020,1,11545620,독산2동,677,736,28,27,59
2020,1,11545630,독산3동,1246,1328,37,31,82
2020,1,11545640,독산4동,607,666,25,19,59
2020,1,11545670,시흥1동,1974,2187,82,79,213
2020,1,11545680,시흥2동,349,384,21,9,35
2020,1,11545690,시흥3동,970,1001,20,20,31
2020,1,11545700,시흥4동,437,473,10,18,36
2020,1,11545710,시흥5동,722,790,22,30,68
2020,1,11560515,영등포본동,1330,1451,60,37,121
2020,1,11560535,영등포동,3681,4061,156,119,380
2020,1,11560540,여의동,4578,5132,169,119,554
2020,1,11560550,당산1동,2145,2284,98,57,139
2020,1,11560560,당산2동,1552,1749,52,48,197
2020,1,11560585,도림동,657,698,25,19,41
2020,1,11560605,문래동,2346,2562,103,58,216
2020,1,11560610,양평1동,1083,1179,43,34,96
2020,1,11560620,양평2동,1326,1452,66,46,126
2020,1,11560630,신길1동,793,856,21,22,63
2020,1,11560650,신길3동,670,715,26,18,45
2020,1,11560660,신길4동,282,314,4,10,32
2020,1,11560670,신길5동,295,323,12,11,28
2020,1,11560680,신길6동,888,961,26,23,73
2020,1,11560690,신길7동,465,519,22,11,54
2020,1,11560700,대림1동,725,789,21,24,64
2020,1,11560710,대림2동,1117,1167,39,38,50
2020,1,11560720,대림3동,1419,1497,49,43,78
2020,1,11590510,노량진1동,1452,1670,68,54,218
2020,1,11590520,노량진2동,1534,1592,29,35,58
2020,1,11590530,상도1동,1283,1506,57,47,223
2020,1,11590540,상도2동,1028,1154,48,37,126
2020,1,11590550,상도3동,691,744,31,23,53
2020,1,11590560,상도4동,681,755,28,21,74
2020,1,11590605,흑석동,1154,1322,65,44,168
2020,1,11590620,사당1동,1304,1435,66,40,131
2020,1,11590630,사당2동,1338,1503,48,46,165
2020,1,11590640,사당3동,656,718,20,17,62
2020,1,11590650,사당4동,493,544,27,18,51
2020,1,11590651,사당5동,315,350,14,4,35
2020,1,11590660,대방동,1254,1408,60,52,154
2020,1,11590670,신대방1동,767,827,35,26,60
2020,1,11590680,신대방2동,848,971,44,31,123
2020,1,11620525,보라매동,1162,1262,77,42,100
2020,1,11620545,청림동,332,362,24,17,30
2020,1,11620565,성현동,539,592,28,28,53
2020,1,11620575,행운동,1139,1267,51,49,128
2020,1,11620585,낙성대동,1060,1217,62,45,157
2020,1,11620595,청룡동,1501,1675,78,55,174
2020,1,11620605,은천동,1072,1185,44,41,113
2020,1,11620615,중앙동,774,870,39,29,96
2020,1,11620625,인헌동,840,928,46,31,88
2020,1,11620630,남현동,696,792,41,34,96
2020,1,11620645,서원동,1044,1254,56,47,210
2020,1,11620655,신원동,655,698,31,26,43
2020,1,11620665,서림동,649,714,29,29,65
2020,1,11620685,신사동,1014,1097,51,38,83
2020,1,11620695,신림동,1522,1687,66,76,165
2020,1,11620715,난향동,255,276,8,6,21
2020,1,11620725,조원동,1135,1229,44,40,94
2020,1,11620735,대학동,1085,1223,45,57,138
2020,1,11620745,삼성동,628,651,27,26,23
2020,1,11620765,미성동,1002,1099,42,29,97
2020,1,11620775,난곡동,562,628,22,25,66
2020,1,11650510,서초1동,2738,2936,85,76,198
2020,1,11650520,서초2동,3263,3488,123,98,225
2020,1,11650530,서초3동,6112,6464,250,159,352
2020,1,11650531,서초4동,2882,3127,127,82,245
2020,1,11650540,잠원동,1816,1951,71,57,135
2020,1,11650550,반포본동,563,599,15,20,36
2020,1,11650560,반포1동,1521,1654,59,42,133
2020,1,11650570,반포2동,338,361,9,7,23
2020,1,11650580,반포3동,1067,1142,39,29,75
2020,1,11650581,반포4동,3008,3288,110,84,280
2020,1,11650590,방배본동,1269,1365,41,36,96
2020,1,11650600,방배1동,1171,1310,50,46,139
2020,1,11650610,방배2동,1251,1374,59,32,123
2020,1,11650620,방배3동,676,729,18,10,53
2020,1,11650621,방배4동,1696,1796,44,47,100
2020,1,11650651,양재1동,2433,2654,96,69,221
2020,1,11650652,양재2동,3313,3515,117,86,202
2020,1,11650660,내곡동,856,892,24,9,36
2020,1,11680510,신사동,3616,3902,126,130,286
2020,1,11680521,논현1동,3849,4146,170,142,297
2020,1,11680531,논현2동,3914,4233,179,151,319
2020,1,11680545,압구정동,3787,4015,145,129,228
2020,1,11680565,청담동,3989,4187,135,147,198
2020,1,11680580,삼성1동,3143,3426,131,77,283
2020,1,11680590,삼성2동,2574,2791,107,81,217
2020,1,11680600,대치1동,1028,1151,41,46,123
2020,1,11680610,대치2동,2816,3043,77,78,227
2020,1,11680630,대치4동,3361,3735,173,120,374
2020,1,11680640,역삼1동,10202,11161,427,371,959
2020,1,11680650,역삼2동,2772,2964,126,82,192
2020,1,11680655,도곡1동,1194,1294,43,28,100
2020,1,11680656,도곡2동,1377,1472,45,33,95
2020,1,11680660,개포1동,175,180,2,3,5
2020,1,11680670,개포2동,699,758,24,23,59
2020,1,11680690,개포4동,1303,1382,46,38,79
2020,1,11680700,세곡동,1053,1193,52,32,140
2020,1,11680720,일원본동,414,451,14,7,37
2020,1,11680730,일원1동,651,735,21,22,84
2020,1,11680740,일원2동,406,443,22,5,37
2020,1,11680750,수서동,747,853,27,23,106
2020,1,11710510,풍납1동,488,529,18,17,41
2020,1,11710520,풍납2동,820,895,27,25,75
2020,1,11710531,거여1동,561,610,19,19,49
2020,1,11710532,거여2동,573,637,20,17,64
2020,1,11710540,마천1동,620,664,28,22,44
2020,1,11710550,마천2동,874,941,40,24,67
2020,1,11710561,방이1동,1035,1143,43,42,108
2020,1,11710562,방이2동,2213,2419,107,63,206
2020,1,11710566,오륜동,430,476,10,11,46
2020,1,11710570,오금동,1622,1740,62,49,118
2020,1,11710580,송파1동,1610,1758,71,56,148
2020,1,11710590,송파2동,773,858,29,23,85
2020,1,11710600,석촌동,2172,2380,119,77,208
2020,1,11710610,삼전동,1481,1631,73,82,150
2020,1,11710620,가락본동,2356,2577,87,72,221
2020,1,11710631,가락1동,3480,3537,81,22,57
2020,1,11710632,가락2동,1402,1532,50,45,130
2020,1,11710641,문정1동,1077,1146,58,34,69
2020,1,11710642,문정2동,5093,5562,239,128,469
2020,1,11710646,장지동,944,1022,39,33,78
2020,1,11710647,위례동,615,756,52,22,141
2020,1,11710650,잠실본동,2518,2868,138,97,350
2020,1,11710670,잠실2동,799,897,58,26,98
2020,1,11710680,잠실3동,1604,1761,63,50,157
2020,1,11710690,잠실4동,356,398,8,10,42
2020,1,11710710,잠실6동,1641,1859,71,40,218
2020,1,11710720,잠실7동,187,200,5,2,13
2020,1,11740515,강일동,581,670,43,26,89
2020,1,11740520,상일동,644,697,56,15,53
2020,1,11740530,명일1동,1283,1429,59,48,146
2020,1,11740540,명일2동,903,1033,36,33,130
2020,1,11740550,고덕1동,517,577,32,22,60
2020,1,11740560,고덕2동,602,649,70,11,47
2020,1,11740570,암사1동,1258,1359,64,56,101
2020,1,11740580,암사2동,589,658,28,23,69
2020,1,11740590,암사3동,454,499,20,13,45
2020,1,11740600,천호1동,948,1062,37,40,114
2020,1,11740610,천호2동,2924,3184,119,122,260
2020,1,11740620,천호3동,1391,1517,58,50,126
2020,1,11740640,성내1동,1137,1258,42,34,121
2020,1,11740650,성내2동,1318,1435,40,49,117
2020,1,11740660,성내3동,1784,1930,77,62,146
2020,1,11740685,길동,2577,2826,107,90,249
2020,1,11740690,둔촌1동,29,32,0,3,3
2020,1,11740700,둔촌2동,1035,1124,39,25,89
2020,2,11110515,청운효자동,790,814,25,16,24
2020,2,11110530,사직동,2484,2670,79,63,186
2020,2,11110540,삼청동,627,674,15,21,47
2020,2,11110550,부암동,426,458,8,4,32
2020,2,11110560,평창동,631,666,22,9,35
2020,2,11110570,무악동,169,191,11,4,22
2020,2,11110580,교남동,311,371,18,10,60
2020,2,11110600,가회동,534,586,18,15,52
2020,2,11110615,종로1·2·3·4가동,9935,10516,193,217,581
2020,2,11110630,종로5·6가동,1883,1976,37,35,93
2020,2,11110640,이화동,652,786,17,18,134
2020,2,11110650,혜화동,1273,1474,39,33,201
2020,2,11110670,창신1동,1767,1816,38,29,49
2020,2,11110680,창신2동,378,400,11,10,22
2020,2,11110690,창신3동,160,178,3,2,18
2020,2,11110700,숭인1동,252,281,8,6,29
2020,2,11110710,숭인2동,852,922,31,27,70
2020,2,11140520,소공동,2759,3008,69,57,249
2020,2,11140540,회현동,5217,5451,95,99,234
2020,2,11140550,명동,4145,4683,98,112,538
2020,2,11140570,필동,1091,1224,30,20,133
2020,2,11140580,장충동,493,525,13,11,32
2020,2,11140590,광희동,5568,5844,104,108,276
2020,2,11140605,을지로동,2714,2828,75,42,114
2020,2,11140615,신당동,11806,11927,339,241,121
2020,2,11140625,다산동,784,861,22,12,77
2020,2,11140635,약수동,632,698,19,10,66
2020,2,11140645,청구동,491,527,13,11,36
2020,2,11140650,신당5동,690,737,22,13,47
2020,2,11140665,동화동,516,555,24,11,39
2020,2,11140670,황학동,1317,1390,37,13,73
2020,2,11140680,중림동,639,709,17,12,70
2020,2,11170510,후암동,752,798,27,11,46
2020,2,11170520,용산2가동,528,570,24,16,42
2020,2,11170530,남영동,1128,1287,44,35,159
2020,2,11170555,청파동,1063,1204,37,25,141
2020,2,11170560,원효로1동,1599,1681,41,19,82
2020,2,11170570,원효로2동,883,919,15,18,36
2020,2,11170580,효창동,314,339,16,6,25
2020,2,11170590,용문동,494,532,15,11,38
2020,2,11170625,한강로동,4566,4854,119,84,288
2020,2,11170630,이촌1동,776,852,27,9,76
2020,2,11170640,이촌2동,261,281,11,3,20
2020,2,11170650,이태원1동,1521,1605,56,51,84
2020,2,11170660,이태원2동,758,799,34,31,41
2020,2,11170685,한남동,2077,2203,83,51,126
2020,2,11170690,서빙고동,352,376,8,1,24
2020,2,11170700,보광동,712,752,21,18,40
2020,2,11200520,왕십리2동,461,519,15,16,58
2020,2,11200535,왕십리도선동,1659,1827,82,46,168
2020,2,11200540,마장동,2294,2352,39,17,58
2020,2,11200550,사근동,705,895,23,21,190
2020,2,11200560,행당1동,1052,1192,34,43,140
2020,2,11200570,행당2동,467,525,9,14,58
2020,2,11200580,응봉동,274,295,9,10,21
2020,2,11200590,금호1가동,412,452,17,15,40
2020,2,11200615,금호2·3가동,784,851,30,21,67
2020,2,11200620,금호4가동,497,553,24,23,56
2020,2,11200645,옥수동,759,836,23,12,77
2020,2,11200650,성수1가1동,942,1007,43,13,65
2020,2,11200660,성수1가2동,1557,1671,74,32,114
2020,2,11200670,성수2가1동,1356,1460,53,26,104
2020,2,11200690,성수2가3동,2603,2795,111,42,192
2020,2,11200720,송정동,427,442,17,5,15
2020,2,11200790,용답동,1209,1281,31,24,72
2020,2,11215710,화양동,1930,2290,106,77,360
2020,2,11215730,군자동,1135,1257,46,22,122
2020,2,11215740,중곡1동,1064,1133,59,32,69
2020,2,11215750,중곡2동,1063,1144,37,23,81
2020,2,11215760,중곡3동,825,891,46,24,66
2020,2,11215770,중곡4동,993,1059,37,22,66
2020,2,11215780,능동,570,638,21,13,68
2020,2,11215810,광장동,1014,1114,37,20,100
2020,2,11215820,자양1동,1205,1326,55,41,121
2020,2,11215830,자양2동,966,1053,41,26,87
2020,2,11215840,자양3동,1165,1308,44,17,143
2020,2,11215847,자양4동,1426,1547,51,26,121
2020,2,11215850,구의1동,1359,1485,57,34,126
2020,2,11215860,구의2동,870,955,35,17,85
2020,2,11215870,구의3동,2322,2533,76,51,211
2020,2,11230536,용신동,2490,2671,71,48,181
2020,2,11230545,제기동,3097,3165,86,60,68
2020,2,11230560,전농1동,1796,1977,73,44,181
2020,2,11230570,전농2동,541,617,16,17,76
2020,2,11230600,답십리1동,1064,1153,43,22,89
2020,2,11230610,답십리2동,1561,1642,33,25,81
2020,2,11230650,장안1동,2522,2710,81,62,188
2020,2,11230660,장안2동,1918,2156,55,59,238
2020,2,11230705,청량리동,1062,1120,33,18,58
2020,2,11230710,회기동,834,983,34,28,149
2020,2,11230720,휘경1동,631,711,21,21,80
2020,2,11230730,휘경2동,511,568,21,12,57
2020,2,11230740,이문1동,861,969,28,18,108
2020,2,11230750,이문2동,449,487,24,19,38
2020,2,11260520,면목2동,1049,1107,31,18,58
2020,2,11260540,면목4동,550,589,30,18,39
2020,2,11260550,면목5동,390,415,13,5,25
2020,2,11260565,면목본동,1502,1611,57,34,109
2020,2,11260570,면목7동,941,995,35,21,54
2020,2,11260575,면목3·8동,1289,1402,73,40,113
2020,2,11260580,상봉1동,783,875,39,19,92
2020,2,11260590,상봉2동,1397,1546,66,26,149
2020,2,11260600,중화1동,584,626,19,13,42
2020,2,11260610,중화2동,1199,1296,52,33,97
2020,2,11260620,묵1동,1011,1118,43,26,107
2020,2,11260630,묵2동,868,925,35,25,57
2020,2,11260655,망우본동,1638,1791,71,55,153
2020,2,11260660,망우3동,513,550,19,16,37
2020,2,11260680,신내1동,1091,1222,48,29,131
2020,2,11260690,신내2동,628,715,20,15,87
2020,2,11290525,성북동,909,974,25,16,65
2020,2,11290555,삼선동,1331,1431,40,34,100
2020,2,11290575,동선동,1610,1866,66,50,256
2020,2,11290580,돈암1동,357,380,11,6,23
2020,2,11290590,돈암2동,418,453,16,2,35
2020,2,11290600,안암동,910,1094,30,18,184
2020,2,11290610,보문동,671,732,21,15,61
2020,2,11290620,정릉1동,525,577,22,13,52
2020,2,11290630,정릉2동,587,649,24,17,62
2020,2,11290640,정릉3동,434,489,13,6,55
2020,2,11290650,정릉4동,647,720,25,19,73
2020,2,11290660,길음1동,767,873,33,22,106
2020,2,11290685,길음2동,932,1027,44,25,95
2020,2,11290705,종암동,1233,1363,27,27,130
2020,2,11290715,월곡1동,799,879,29,19,80
2020,2,11290725,월곡2동,956,1080,35,30,124
2020,2,11290760,장위1동,585,621,10,15,36
2020,2,11290770,장위2동,691,722,26,20,31
