연도,분기,NM,행정동_코드,전체,1층,1층외,영역_면적
2020,1,문정1동,11710641,81995,91609,72382,612546
2020,1,문정2동,11710642,149340,200885,97794,2242033
2020,1,미성동,11620765,79124,99183,59065,1359429
2020,1,미아동,11305535,81506,90833,72178,841204
2020,1,반포1동,11650560,144080,161517,126643,992368
2020,1,반포2동,11650570,169613,,169613,1396031
2020,1,반포3동,11650580,143783,195925,91641,1251708
2020,1,반포4동,11650581,171243,223274,119213,1427141
2020,1,반포본동,11650550,98376,119234,77517,972536
2020,1,발산1동,11500611,90475,120116,60835,2887669
2020,1,방배1동,11650600,115527,146013,85041,689244
2020,1,방배2동,11650610,111573,121072,102074,1904030
2020,1,방배3동,11650620,121518,183670,59366,2375134
2020,1,방배4동,11650621,104393,129396,79390,949527
2020,1,방배본동,11650590,85623,113316,57930,677510
2020,1,방이1동,11710561,93078,134140,52016,609259
2020,1,방이2동,11710562,108088,142644,73532,769841
2020,1,방학1동,11320690,77159,109778,44539,1040857
2020,1,방학2동,11320700,55733,81573,29894,1092814
2020,1,방학3동,11320710,62113,79830,44395,1951026
2020,1,방화1동,11500630,92595,113398,71792,1475606
2020,1,방화2동,11500640,70618,76013,65222,6157541
2020,1,방화3동,11500641,109219,151230,67207,2558908
2020,1,번1동,11305595,76791,97625,55957,627036
2020,1,번2동,11305603,85545,80947,90143,974298
2020,1,번3동,11305608,74752,100392,49113,1081177
2020,1,보광동,11170700,87865,98935,76795,715096
2020,1,보라매동,11620525,82183,99420,64945,750225
2020,1,보문동,11290610,73929,93921,53936,553006
2020,1,부암동,11110550,88620,107264,69977,2274739
2020,1,북가좌1동,11410710,87724,98085,77363,577979
2020,1,북가좌2동,11410720,68351,93057,43646,824866
2020,1,북아현동,11410555,88597,104061,73132,458945
2020,1,불광1동,11380520,90182,115758,64607,3124927
2020,1,불광2동,11380530,100039,121774,78303,1396089
2020,1,사근동,11200550,106842,139450,74235,1169216
2020,1,사당1동,11590620,96839,118625,75054,635172
2020,1,사당2동,11590630,126197,144351,108042,2763201
2020,1,사당3동,11590640,104896,129235,80557,907684
2020,1,사당4동,11590650,82373,115594,49152,436148
2020,1,사당5동,11590651,74165,90373,57956,682199
2020,1,사직동,11110530,141584,177228,105939,1158536
2020,1,삼각산동,11305575,131515,126021,137008,621911
2020,1,삼선동,11290555,80768,108223,53313,926227
2020,1,삼성1동,11680580,205426,204428,206425,1944629
2020,1,삼성2동,11680590,143933,163184,124682,1242271
2020,1,삼성동,11620745,53347,71317,35377,2604386
2020,1,삼양동,11305534,68855,82587,55123,924092
2020,1,삼전동,11710610,101106,143300,58912,953338
2020,1,삼청동,11110540,114598,171226,57970,1479255
2020,1,상계10동,11350720,105615,148789,62442,809214
2020,1,상계1동,11350630,94341,136347,52335,5402614
2020,1,상계2동,11350640,124836,163324,86348,623125
2020,1,상계34동,11350665,63857,86856,40859,5211708
2020,1,상계5동,11350670,63381,88974,37787,906891
2020,1,상계67동,11350695,128796,172108,85484,1450295
2020,1,상계8동,11350700,182386,182386,,666348
2020,1,상계9동,11350710,118333,184377,52289,719445
2020,1,상도1동,11590530,98983,119218,78749,1488648
2020,1,상도2동,11590540,116589,138636,94542,772865
2020,1,상도3동,11590550,119732,182526,56937,637199
2020,1,상도4동,11590560,75675,97402,53948,939562
2020,1,상봉1동,11260580,81612,108716,54508,854219
2020,1,상봉2동,11260590,81862,98433,65290,677445
2020,1,상암동,11440740,160164,194594,125734,8402415
2020,1,상일동,11740520,65758,82551,48965,1813623
2020,1,서강동,11440655,125639,147395,103884,1478577
2020,1,서교동,11440660,135153,156598,113709,1678981
2020,1,서림동,11620665,110213,92786,127640,941252
2020,1,서빙고동,11170690,79215,73081,85350,2821948
2020,1,서원동,11620645,141791,171781,111801,647532
2020,1,서초1동,11650510,123992,159102,88882,1382685
2020,1,서초2동,11650520,144477,140171,148782,1230924
2020,1,서초3동,11650530,115520,138810,92229,2998572
2020,1,서초4동,11650531,158690,198020,119359,879773
2020,1,석관동,11290810,68666,92037,45295,1705061
2020,1,석촌동,11710600,100187,132432,67942,946914
2020,1,성내1동,11740640,82932,119295,46568,663675
2020,1,성내2동,11740650,78978,101245,56710,625147
2020,1,성내3동,11740660,92751,130074,55427,647356
2020,1,성북동,11290525,109163,133678,84648,2879912
2020,1,성산1동,11440720,87059,102437,71681,859254
2020,1,성산2동,11440730,95004,121125,68883,1978724
2020,1,성수1가1동,11200650,91312,114907,67717,1885875
2020,1,성수1가2동,11200660,105070,124328,85812,930086
2020,1,성수2가1동,11200670,65680,81475,49885,1184964
2020,1,성수2가3동,11200690,98587,113871,83302,1054501
2020,1,성현동,11620565,99610,132174,67046,678223
2020,1,세곡동,11680700,132684,149157,116211,6367772
2020,1,소공동,11140520,178363,237841,118886,943795
2020,1,송정동,11200720,73201,92046,54356,681916
2020,1,송중동,11305545,90619,119878,61359,1075796
2020,1,송천동,11305555,77272,87131,67412,929913
2020,1,송파1동,11710580,112881,121000,104761,686925
2020,1,송파2동,11710590,79183,106126,52240,631023
2020,1,수궁동,11530790,56456,81349,31563,2661352
2020,1,수색동,11380650,72969,92054,53885,1290258
2020,1,수서동,11680750,171435,239326,103544,1629403
2020,1,수유1동,11305615,63815,96258,31372,1649963
2020,1,수유2동,11305625,107372,77366,137379,581617
2020,1,수유3동,11305635,94522,106824,82220,745645
2020,1,숭인1동,11110700,89406,103351,75462,239396
2020,1,숭인2동,11110710,88810,120490,57131,351906
2020,1,시흥1동,11545670,93100,114362,71837,1524148
2020,1,시흥2동,11545680,120210,167667,72754,1308882
2020,1,시흥3동,11545690,116663,93004,140322,1261391
2020,1,시흥4동,11545700,106586,125396,87776,821709
2020,1,시흥5동,11545710,73000,112292,33709,1386972
2020,1,신길1동,11560630,100777,119431,82124,722925
2020,1,신길3동,11560650,62229,91988,32470,520083
2020,1,신길4동,11560660,73989,73989,,292127
2020,1,신길5동,11560670,85181,85181,,494653
2020,1,신길6동,11560680,91805,104042,79568,653511
2020,1,신길7동,11560690,120592,122067,119116,642487
2020,1,신내1동,11260680,81722,100616,62827,2606949
2020,1,신내2동,11260690,91611,133999,49224,911281
2020,1,신당5동,11140650,126261,116037,136485,319706
2020,1,신당동,11140615,381333,377840,384826,534942
2020,1,신대방1동,11590670,88463,132295,44631,675281
2020,1,신대방2동,11590680,100856,132805,68907,977033
2020,1,신도림동,11530510,114667,135559,93775,1392788
2020,1,신림동,11620695,128454,157747,99161,541240
2020,1,신사1동,11380631,78941,84368,73514,808314
2020,1,신사2동,11380632,89203,82622,95784,1046222
2020,1,신사동,11620685,81854,119641,44068,641031
2020,1,신사동,11680510,132500,170703,94296,2059234
2020,1,신수동,11440630,77862,91125,64598,797879
2020,1,신원동,11620655,102511,134091,70931,544977
2020,1,신월1동,11470560,66451,98129,34774,622400
2020,1,신월2동,11470570,66109,88723,43494,606811
2020,1,신월3동,11470580,54691,66646,42736,918039
2020,1,신월4동,11470590,64731,85973,43490,469873
2020,1,신월5동,11470600,60529,81476,39582,638302
2020,1,신월6동,11470610,69756,91783,47728,444286
2020,1,신월7동,11470611,69063,94838,43289,1230628
2020,1,신정1동,11470620,82783,112028,53538,747568
2020,1,신정2동,11470630,98022,107798,88246,525899
2020,1,신정3동,11470640,94230,136244,52217,2756536
2020,1,신정4동,11470650,79804,101246,58362,997144
2020,1,신정6동,11470670,139522,186619,92425,940885
2020,1,신정7동,11470680,122215,166928,77503,1234130
