연도,분기,행정동_코드,행정동_코드_명,추정매출액,유사_업종_점포_수,개업_점포_수,폐업_점포_수,프랜차이즈_점포_수,전체,1층,1층외,영역_면적,집객시설_수,관공서_수,은행_수,종합병원_수,일반_병원_수,약국_수,유치원_수,초등학교_수,중학교_수,고등학교_수,대학교_수,백화점_수,슈퍼마켓_수,극장_수,숙박_시설_수,공항_수,철도_역_수,버스_터미널_수,지하철_역_수,버스_정거장_수,총_상주인구_수,총_직장_인구_수,총_유동인구_수
2020,1,11140615,신당동,48835090087,11829,498,393,117,381333.0,377840.0,384826.0,534942,99,7.0,5.0,,1.0,12.0,,1.0,1.0,3.0,,,3.0,,1.0,,,,2.0,8.0,7514,5611.0,6030407
2020,1,11140625,다산동,27495067701,851,25,23,76,102327.0,114196.0,90459.0,523971,86,3.0,4.0,,1.0,9.0,,1.0,1.0,1.0,,,,,1.0,,,,1.0,7.0,14280,6255.0,4632750
2020,1,11140635,약수동,33518726225,689,20,17,66,125584.0,185654.0,65513.0,486369,87,4.0,2.0,,1.0,12.0,2.0,,,,,,,,,,,,2.0,12.0,17520,10940.0,2820085
2020,1,11140645,청구동,13868051715,525,17,8,35,73679.0,71725.0,75633.0,342571,34,2.0,,,,3.0,1.0,2.0,1.0,1.0,,,,,,,,,,5.0,14315,1894.0,3733581
2020,1,11140650,신당5동,16032987910,728,30,25,48,126261.0,116037.0,136485.0,319706,65,4.0,2.0,,,5.0,,1.0,,2.0,,,,,,,,,,12.0,9242,768.0,4964450
2020,1,11140665,동화동,14047169421,542,20,10,40,112150.0,126664.0,97637.0,327045,47,3.0,1.0,,,5.0,,1.0,1.0,,,,,,,,,,2.0,4.0,10843,1183.0,3091253
2020,1,11140670,황학동,34123394811,1366,43,31,71,110439.0,130424.0,90455.0,328640,76,1.0,6.0,,,10.0,,,,,,,,,7.0,,,,,6.0,12541,774.0,6199908
2020,1,11140680,중림동,22907904727,704,21,26,69,111125.0,135830.0,86420.0,484384,77,3.0,2.0,,,7.0,,1.0,,2.0,1.0,,,,5.0,,,,,14.0,12684,3099.0,2160290
2020,1,11170510,후암동,17179828118,782,35,29,44,86965.0,114071.0,59860.0,865892,80,6.0,1.0,,,7.0,1.0,2.0,,1.0,,,2.0,,,,,,,18.0,17971,1640.0,4934169
2020,1,11170520,용산2가동,8502126058,562,21,16,40,81266.0,110562.0,51969.0,1966853,63,3.0,,,,4.0,,1.0,2.0,2.0,,,,,,,,,1.0,29.0,10366,583.0,4934733
2020,1,11170530,남영동,40207148724,1278,38,41,154,88997.0,116594.0,61400.0,1177788,147,7.0,5.0,,,14.0,,,1.0,,,,,,12.0,,,,3.0,26.0,7846,16176.0,2239022
2020,1,11170555,청파동,25421733811,1192,44,38,137,105309.0,143751.0,66867.0,886225,128,7.0,2.0,,1.0,11.0,,2.0,2.0,4.0,22.0,,1.0,,1.0,,,,,35.0,19763,3050.0,8412857
2020,1,11170560,원효로1동,192903515352,1659,41,43,83,84008.0,101088.0,66929.0,589017,94,6.0,3.0,,,6.0,1.0,1.0,,,3.0,,4.0,,,,,,,31.0,15876,2742.0,5302852
2020,1,11170570,원효로2동,143236571549,922,25,31,38,79144.0,91145.0,67143.0,708975,69,4.0,2.0,,,4.0,2.0,1.0,1.0,1.0,,,2.0,,,,,,,27.0,14479,2765.0,3724609
2020,1,11170580,효창동,8428004395,329,16,9,25,104799.0,138258.0,71339.0,446197,66,1.0,1.0,,,5.0,,1.0,,1.0,1.0,,,,,,,,2.0,22.0,9013,1251.0,4112049
