연도,분기,행정동_코드_명,행정동_코드,시세_전체,시세_1층,시세_1층외,영역_면적,월평균소득금액,지출총금액,추정매출액,유사_업종_점포_수,개업_점포_수,폐업_점포_수,프랜차이즈_점포_수,폐업률,개업률,업종_밀도,집객시설_수,관공서_수,은행_수,종합병원_수,일반_병원_수,약국_수,유치원_수,초등학교_수,중학교_수,고등학교_수,대학교_수,백화점_수,슈퍼마켓_수,극장_수,숙박_시설_수,공항_수,철도_역_수,버스_터미널_수,지하철_역_수,버스_정거장_수,집객시설_총계,총_유동인구_수,총_상주인구_수,총_직장인구_수
2020,1,공항동,11500620,91078.0,92974.0,89183.0,10861768,2896818.0,9767284000.0,28216308829.0,1373,55,45,136,3.28,4.01,0.01,,,,,,,,,,,,,,,,,,,,,,6188010,27496,5401.0
2020,1,광장동,11215810,109780.0,145578.0,73982.0,2393761,5284540.0,3478064000.0,23039730779.0,1097,36,30,99,2.73,3.28,0.05,,,,,,,,,,,,,,,,,,,,,,6723060,35891,5066.0
2020,1,광희동,11140590,208443.0,219236.0,197649.0,737204,3229604.0,9370967000.0,112611763289.0,5848,164,169,276,2.89,2.8,0.79,,,,,,,,,,,,,,,,,,,,,,5945600,4884,55742.0
2020,1,교남동,11110580,180593.0,246999.0,114186.0,346926,4616890.0,1300242000.0,3770526556.0,363,21,15,60,4.13,5.79,0.1,,,,,,,,,,,,,,,,,,,,,,3330946,10621,713.0
2020,1,구로1동,11530520,107554.0,153878.0,61229.0,1008892,3368067.0,2059414000.0,11783416560.0,552,18,14,60,2.54,3.26,0.05,,,,,,,,,,,,,,,,,,,,,,2383850,21153,
2020,1,구로2동,11530530,96611.0,111513.0,81709.0,1703350,2453690.0,10045479000.0,149024560787.0,4993,102,83,125,1.66,2.04,0.29,,,,,,,,,,,,,,,,,,,,,,9524532,25396,11964.0
2020,1,구로3동,11530540,129661.0,155814.0,103508.0,1040120,2888444.0,805881338000.0,105139872211.0,3661,153,108,406,2.95,4.18,0.35,,,,,,,,,,,,,,,,,,,,,,7991423,24265,51508.0
2020,1,구로4동,11530550,114282.0,152001.0,76562.0,524507,2617060.0,3740272000.0,35345162232.0,1583,63,48,90,3.03,3.98,0.3,,,,,,,,,,,,,,,,,,,,,,6207027,21308,1713.0
2020,1,구로5동,11530560,103827.0,96066.0,111589.0,1012473,3213284.0,8984428000.0,62760308722.0,2661,82,87,194,3.27,3.08,0.26,,,,,,,,,,,,,,,,,,,,,,6717450,30050,12772.0
2020,1,구산동,11380560,73446.0,103007.0,43884.0,1389775,2602334.0,2136291000.0,12383473154.0,842,46,30,67,3.56,5.46,0.06,,,,,,,,,,,,,,,,,,,,,,5594265,33593,1608.0
2020,1,구의1동,11215850,78822.0,107625.0,50020.0,565313,2683701.0,3600502000.0,45627320211.0,1462,58,47,120,3.21,3.97,0.26,,,,,,,,,,,,,,,,,,,,,,6818044,22191,3413.0
2020,1,구의2동,11215860,109420.0,151408.0,67432.0,1388041,2948328.0,3495485000.0,19977502145.0,937,34,32,80,3.42,3.63,0.07,,,,,,,,,,,,,,,,,,,,,,7304476,27488,2134.0
2020,1,구의3동,11215870,106504.0,117932.0,95075.0,1027561,4010979.0,9855878000.0,136103321537.0,2508,79,71,214,2.83,3.15,0.24,,,,,,,,,,,,,,,,,,,,,,6891769,29770,9125.0
2020,1,군자동,11215730,87502.0,110347.0,64657.0,738025,2604535.0,3979598000.0,41956713294.0,1233,35,33,120,2.68,2.84,0.17,,,,,,,,,,,,,,,,,,,,,,5377666,19728,1356.0
2020,1,금호1가동,11200590,92480.0,117966.0,66995.0,444872,4010011.0,1025764000.0,6539383423.0,450,16,17,42,3.78,3.56,0.1,,,,,,,,,,,,,,,,,,,,,,4082172,15816,1349.0
2020,1,금호23가동,11200615,108308.0,136080.0,80535.0,631196,3751434.0,2033999000.0,15058633417.0,842,29,24,67,2.85,3.44,0.13,,,,,,,,,,,,,,,,,,,,,,7030499,24052,447.0
2020,1,금호4가동,11200620,98200.0,123297.0,73103.0,832333,4442144.0,2635847000.0,8021242388.0,552,16,10,55,1.81,2.9,0.07,,,,,,,,,,,,,,,,,,,,,,3242120,14812,691.0
2020,1,길동,11740685,89401.0,109346.0,69456.0,1631616,2840603.0,10301075000.0,75435815989.0,2826,107,90,249,3.18,3.79,0.17,,,,,,,,,,,,,,,,,,,,,,15397118,45987,8576.0
