연도,분기,행정동코드,행정동명,당월매출금액
2019,1,11470580,신월3동,4784129736
2019,1,11470590,신월4동,11827865654
2019,1,11470600,신월5동,6214438863
2019,1,11470610,신월6동,8629899078
2019,1,11470611,신월7동,11586885271
2019,1,11470620,신정1동,25140461349
2019,1,11470630,신정2동,21228303377
2019,1,11470640,신정3동,24013113009
2019,1,11470650,신정4동,67702300838
2019,1,11470670,신정6동,7050747133
2019,1,11470680,신정7동,17662814431
2019,1,11500510,염창동,40273869019
2019,1,11500520,등촌1동,56711779796
2019,1,11500530,등촌2동,6286432408
2019,1,11500535,등촌3동,46232980415
2019,1,11500540,화곡1동,57628606266
2019,1,11500550,화곡2동,10890598744
2019,1,11500560,화곡3동,21925899481
2019,1,11500570,화곡4동,26886033319
2019,1,11500590,화곡본동,27504730517
2019,1,11500591,화곡6동,30765655752
2019,1,11500593,화곡8동,20612820997
2019,1,11500603,가양1동,75721961021
2019,1,11500604,가양2동,19988520829
2019,1,11500605,가양3동,6221531512
2019,1,11500611,발산1동,128890796685
2019,1,11500615,우장산동,23422026543
2019,1,11500620,공항동,25910132842
2019,1,11500630,방화1동,37085564416
2019,1,11500640,방화2동,18729612478
2019,1,11500641,방화3동,7963643703
2019,1,11530510,신도림동,29809053161
2019,1,11530520,구로1동,10214580952
2019,1,11530530,구로2동,140013202194
2019,1,11530540,구로3동,97750460027
2019,1,11530550,구로4동,35873514502
2019,1,11530560,구로5동,59954936394
2019,1,11530595,가리봉동,12892038905
2019,1,11530720,고척1동,41319479393
2019,1,11530730,고척2동,19618146007
2019,1,11530740,개봉1동,20650935391
2019,1,11530750,개봉2동,17958087026
2019,1,11530760,개봉3동,14030830695
2019,1,11530770,오류1동,27784087767
2019,1,11530780,오류2동,16298699520
2019,1,11530790,수궁동,7885472903
2019,1,11545510,가산동,705163041186
2019,1,11545610,독산1동,231876698879
2019,1,11545620,독산2동,14770488965
2019,1,11545630,독산3동,29006343384
2019,1,11545640,독산4동,13952455793
2019,1,11545670,시흥1동,57843421958
2019,1,11545680,시흥2동,3039838859
2019,1,11545690,시흥3동,8339229376
2019,1,11545700,시흥4동,9072696382
2019,1,11545710,시흥5동,18362670876
2019,1,11560515,영등포본동,34166049788
2019,1,11560535,영등포동,236040518345
2019,1,11560540,여의동,219356057766
2019,1,11560550,당산1동,103699268780
2019,1,11560560,당산2동,39197996316
2019,1,11560585,도림동,12326804716
2019,1,11560605,문래동,86434523524
2019,1,11560610,양평1동,20892936466
2019,1,11560620,양평2동,37134133343
2019,1,11560630,신길1동,27311601164
2019,1,11560650,신길3동,9809295812
2019,1,11560660,신길4동,2800530519
2019,1,11560670,신길5동,5117743084
2019,1,11560680,신길6동,25094290810
2019,1,11560690,신길7동,6160433877
2019,1,11560700,대림1동,19612375369
2019,1,11560710,대림2동,25676359087
2019,1,11560720,대림3동,96516196276
2019,1,11590510,노량진1동,253925460885
2019,1,11590520,노량진2동,372979878998
2019,1,11590530,상도1동,48355442875
2019,1,11590540,상도2동,19272809371
2019,1,11590550,상도3동,25349820931
2019,1,11590560,상도4동,19533907567
2019,1,11590605,흑석동,41414385073
2019,1,11590620,사당1동,46202881997
2019,1,11590630,사당2동,52628931404
2019,1,11590640,사당3동,7663967700
2019,1,11590650,사당4동,18376684277
2019,1,11590651,사당5동,4219796412
2019,1,11590660,대방동,36792753241
2019,1,11590670,신대방1동,14539071382
2019,1,11590680,신대방2동,27589323377
2019,1,11620525,보라매동,18431194442
2019,1,11620545,청림동,3439007146
2019,1,11620565,성현동,7987623061
2019,1,11620575,행운동,30754184280
2019,1,11620585,낙성대동,33053671076
2019,1,11620595,청룡동,111929634686
2019,1,11620605,은천동,34093374932
2019,1,11620615,중앙동,30591815823
2019,1,11620625,인헌동,26056102492
2019,1,11620630,남현동,19951786366
2019,1,11620645,서원동,47390740902
2019,1,11620655,신원동,10450903803
2019,1,11620665,서림동,12741377717
2019,1,11620685,신사동,25292575947
2019,1,11620695,신림동,49804991017
2019,1,11620715,난향동,3266666074
2019,1,11620725,조원동,34176272135
2019,1,11620735,대학동,25033483538
2019,1,11620745,삼성동,7785609116
2019,1,11620765,미성동,19765654586
2019,1,11620775,난곡동,10002530272
2019,1,11650510,서초1동,60812520867
2019,1,11650520,서초2동,91257052478
2019,1,11650530,서초3동,138030095989
2019,1,11650531,서초4동,149266107127
2019,1,11650540,잠원동,51354896110
2019,1,11650550,반포본동,2534022969
2019,1,11650560,반포1동,53204834344
2019,1,11650570,반포2동,13531507277
2019,1,11650580,반포3동,64346175545
2019,1,11650581,반포4동,69613199346
2019,1,11650590,방배본동,38266853038
2019,1,11650600,방배1동,52524649452
2019,1,11650610,방배2동,37312681853
2019,1,11650620,방배3동,21619564828
2019,1,11650621,방배4동,48857154630
2019,1,11650651,양재1동,80192545247
2019,1,11650652,양재2동,114059711717
2019,1,11650660,내곡동,6655127945
2019,1,11680510,신사동,248368193211
2019,1,11680521,논현1동,237747687291
2019,1,11680531,논현2동,134096186198
2019,1,11680545,압구정동,220976842410
2019,1,11680565,청담동,215016968346
2019,1,11680580,삼성1동,347225172549
2019,1,11680590,삼성2동,90356951467
2019,1,11680600,대치1동,73896102315
2019,1,11680610,대치2동,94239217482
2019,1,11680630,대치4동,124538433030
2019,1,11680640,역삼1동,432570208654
2019,1,11680650,역삼2동,81924014806
2019,1,11680655,도곡1동,53726326235
2019,1,11680656,도곡2동,44676431520
2019,1,11680660,개포1동,130378290
2019,1,11680670,개포2동,14300149126
2019,1,11680690,개포4동,44787782279
2019,1,11680700,세곡동,20633619693
2019,1,11680720,일원본동,10683707233
2019,1,11680730,일원1동,20969377661
2019,1,11680740,일원2동,2525860305
2019,1,11680750,수서동,42436274481
2019,1,11710510,풍납1동,9214487000
2019,1,11710520,풍납2동,19642435103
2019,1,11710531,거여1동,10221273785
2019,1,11710532,거여2동,18121426209
2019,1,11710540,마천1동,12617655208
2019,1,11710550,마천2동,22744482839
2019,1,11710561,방이1동,32593063172
2019,1,11710562,방이2동,72615693476
2019,1,11710566,오륜동,2860128611
2019,1,11710570,오금동,59704761554
2019,1,11710580,송파1동,47169032806
2019,1,11710590,송파2동,19197374238
2019,1,11710600,석촌동,58367566586
2019,1,11710610,삼전동,55883035730
2019,1,11710620,가락본동,64315007567
2019,1,11710631,가락1동,325366630306
2019,1,11710632,가락2동,41109304621
2019,1,11710641,문정1동,19200667589
2019,1,11710642,문정2동,98165253964
2019,1,11710646,장지동,21610264605
2019,1,11710647,위례동,2189854922
2019,1,11710650,잠실본동,103919160841
2019,1,11710670,잠실2동,31037673632
2019,1,11710680,잠실3동,28731339826
2019,1,11710690,잠실4동,6699082893
2019,1,11710710,잠실6동,80895920633
2019,1,11710720,잠실7동,3378647610
2019,1,11740515,강일동,8628606423
2019,1,11740520,상일동,8651786058
2019,1,11740530,명일1동,40334512243
2019,1,11740540,명일2동,36458017317
2019,1,11740550,고덕1동,5402328689
2019,1,11740560,고덕2동,7450717143
2019,1,11740570,암사1동,24431510848
2019,1,11740580,암사2동,15738150317
2019,1,11740590,암사3동,11134426186
2019,1,11740600,천호1동,18245957786
2019,1,11740610,천호2동,108990413192
2019,1,11740620,천호3동,27187647479
2019,1,11740640,성내1동,33084324915
2019,1,11740650,성내2동,30495737044
2019,1,11740660,성내3동,53765021607
2019,1,11740685,길동,67976192635
2019,1,11740700,둔촌2동,17003912435
2019,2,11110515,청운효자동,16874853653
2019,2,11110530,사직동,66592862707
2019,2,11110540,삼청동,24183509046
2019,2,11110550,부암동,3758513943
2019,2,11110560,평창동,9794588122
2019,2,11110570,무악동,3803366337
2019,2,11110580,교남동,3977825944
2019,2,11110600,가회동,13986937357
2019,2,11110615,종로1·2·3·4가동,435567614129
2019,2,11110630,종로5·6가동,84935921838
2019,2,11110640,이화동,30215950567
2019,2,11110650,혜화동,45027253896
2019,2,11110670,창신1동,77471535794
2019,2,11110680,창신2동,8991359283
2019,2,11110690,창신3동,415081609
2019,2,11110700,숭인1동,4077625454
2019,2,11110710,숭인2동,22723508693
2019,2,11140520,소공동,77895290955
2019,2,11140540,회현동,175785187795
2019,2,11140550,명동,225122751545
2019,2,11140570,필동,29401995502
2019,2,11140580,장충동,17942394600
2019,2,11140590,광희동,120666365649
2019,2,11140605,을지로동,250313347749
2019,2,11140615,신당동,64624152921
2019,2,11140625,다산동,30437070419
2019,2,11140635,약수동,30672925237
2019,2,11140645,청구동,13614579243
2019,2,11140650,신당5동,16797298889
2019,2,11140665,동화동,14750678697
2019,2,11140670,황학동,43531785678
2019,2,11140680,중림동,34540401271
2019,2,11170510,후암동,18208119407
2019,2,11170520,용산2가동,9587990500
2019,2,11170530,남영동,43071378054
2019,2,11170555,청파동,30055874300
2019,2,11170560,원효로1동,184015133421
2019,2,11170570,원효로2동,159302002372
2019,2,11170580,효창동,9004240134
2019,2,11170590,용문동,13327781200
2019,2,11170625,한강로동,818612611609
2019,2,11170630,이촌1동,30044948536
2019,2,11170640,이촌2동,4340734222
2019,2,11170650,이태원1동,75861067108
2019,2,11170660,이태원2동,11554907183
2019,2,11170685,한남동,67091820905
2019,2,11170690,서빙고동,5582542004
2019,2,11170700,보광동,17797619534
2019,2,11200520,왕십리2동,8246599389
2019,2,11200535,왕십리도선동,27995045134
2019,2,11200540,마장동,17596030022
2019,2,11200550,사근동,37411419968
2019,2,11200560,행당1동,34852172245
2019,2,11200570,행당2동,11536717462
2019,2,11200580,응봉동,1432057359
2019,2,11200590,금호1가동,5482564664
2019,2,11200615,금호2·3가동,16271799900
2019,2,11200620,금호4가동,7950542798
2019,2,11200645,옥수동,13452480354
2019,2,11200650,성수1가1동,20034461070
2019,2,11200660,성수1가2동,39490097503
2019,2,11200670,성수2가1동,60838975597
2019,2,11200690,성수2가3동,88438186661
2019,2,11200720,송정동,4718554982
2019,2,11200790,용답동,27001834014
2019,2,11215710,화양동,83771225145
2019,2,11215730,군자동,38197021923
2019,2,11215740,중곡1동,31487722610
2019,2,11215750,중곡2동,32743418725
2019,2,11215760,중곡3동,13015639372
2019,2,11215770,중곡4동,27001258063
2019,2,11215780,능동,21765645300
2019,2,11215810,광장동,24514804475
2019,2,11215820,자양1동,28904920474
2019,2,11215830,자양2동,14148210877
2019,2,11215840,자양3동,49665884320
2019,2,11215847,자양4동,39067004983
2019,2,11215850,구의1동,41934399357
2019,2,11215860,구의2동,22120911109
2019,2,11215870,구의3동,132958126278
2019,2,11230536,용신동,77568767903
2019,2,11230545,제기동,280990928643
2019,2,11230560,전농1동,27240803975
2019,2,11230570,전농2동,12177981804
2019,2,11230600,답십리1동,21797538953
2019,2,11230610,답십리2동,21997366607
2019,2,11230650,장안1동,100523464920
2019,2,11230660,장안2동,60478640155
2019,2,11230705,청량리동,31753121512
2019,2,11230710,회기동,27578888927
2019,2,11230720,휘경1동,17551909128
2019,2,11230730,휘경2동,12371514218
2019,2,11230740,이문1동,26834247000
2019,2,11230750,이문2동,6286006690
2019,2,11260520,면목2동,16278370675
2019,2,11260540,면목4동,9584746154
2019,2,11260550,면목5동,9713407168
2019,2,11260565,면목본동,41660340515
2019,2,11260570,면목7동,30390503694
2019,2,11260575,면목3·8동,26376658150
2019,2,11260580,상봉1동,52378526368
2019,2,11260590,상봉2동,50493979456
2019,2,11260600,중화1동,7880317476
2019,2,11260610,중화2동,35923057891
2019,2,11260620,묵1동,28407601632
2019,2,11260630,묵2동,23195771433
2019,2,11260655,망우본동,48750701992
2019,2,11260660,망우3동,10605940915
2019,2,11260680,신내1동,43423400814
2019,2,11260690,신내2동,21188278320
2019,2,11290525,성북동,17358568950
2019,2,11290555,삼선동,41782867368
2019,2,11290575,동선동,51784924939
2019,2,11290580,돈암1동,4451378339
2019,2,11290590,돈암2동,4984339049
2019,2,11290600,안암동,34541398379
2019,2,11290610,보문동,12021462013
2019,2,11290620,정릉1동,8663618825
2019,2,11290630,정릉2동,9378372516
2019,2,11290640,정릉3동,8335775384
2019,2,11290650,정릉4동,16189751371
2019,2,11290660,길음1동,9179545175
2019,2,11290685,길음2동,18712112174
2019,2,11290705,종암동,32288431577
2019,2,11290715,월곡1동,12065781591
2019,2,11290725,월곡2동,21492549254
2019,2,11290760,장위1동,6769425027
2019,2,11290770,장위2동,9985184396
2019,2,11290780,장위3동,5400090180
2019,2,11290810,석관동,25850349175
2019,2,11305534,삼양동,13122744090
2019,2,11305535,미아동,34574591179
2019,2,11305545,송중동,67226722470
2019,2,11305555,송천동,31568872096
2019,2,11305575,삼각산동,8475369498
2019,2,11305595,번1동,54023224952
2019,2,11305603,번2동,5266289882
2019,2,11305608,번3동,11347462459
2019,2,11305615,수유1동,28687457346
2019,2,11305625,수유2동,18701509718
2019,2,11305635,수유3동,63176874268
2019,2,11305645,우이동,17615927176
2019,2,11305660,인수동,15081124731
2019,2,11320511,창1동,25156315874
2019,2,11320512,창2동,15145623711
2019,2,11320513,창3동,10724276786
2019,2,11320514,창4동,23633074042
2019,2,11320515,창5동,36168499952
2019,2,11320521,도봉1동,40750123338
2019,2,11320522,도봉2동,10539161768
2019,2,11320660,쌍문1동,11194202328
2019,2,11320670,쌍문2동,21686480200
2019,2,11320680,쌍문3동,16510636858
2019,2,11320681,쌍문4동,9109459565
2019,2,11320690,방학1동,39269052181
2019,2,11320700,방학2동,30266706497
2019,2,11320710,방학3동,10877027628
2019,2,11350560,월계1동,21015335473
2019,2,11350570,월계2동,5878766058
2019,2,11350580,월계3동,5027241522
2019,2,11350595,공릉1동,47024233086
2019,2,11350600,공릉2동,29161561832
2019,2,11350611,하계1동,56838481416
2019,2,11350612,하계2동,4321633612
2019,2,11350619,중계본동,30763579011
2019,2,11350621,중계1동,8677251202
2019,2,11350624,중계4동,26585356118
2019,2,11350625,중계2·3동,122750781727
2019,2,11350630,상계1동,35390414738
2019,2,11350640,상계2동,81875834687
2019,2,11350665,상계3·4동,8801174635
2019,2,11350670,상계5동,15207824131
2019,2,11350695,상계6·7동,69292492264
2019,2,11350700,상계8동,10991726112
2019,2,11350710,상계9동,13048539983
2019,2,11350720,상계10동,3356810929
2019,2,11380510,녹번동,26842474374
2019,2,11380520,불광1동,37288810381
2019,2,11380530,불광2동,21696318901
2019,2,11380551,갈현1동,33206974082
2019,2,11380552,갈현2동,43630926921
2019,2,11380560,구산동,9927732723
2019,2,11380570,대조동,53037313584
2019,2,11380580,응암1동,36563368043
2019,2,11380590,응암2동,7618288606
2019,2,11380600,응암3동,35965657058
2019,2,11380625,역촌동,29841026200
2019,2,11380631,신사1동,16957448890
2019,2,11380632,신사2동,7798775601
2019,2,11380640,증산동,10253667388
2019,2,11380650,수색동,3204520862
2019,2,11380690,진관동,19311343148
2019,2,11410520,천연동,13682649763
2019,2,11410555,북아현동,11619892111
2019,2,11410565,충현동,23255026622
2019,2,11410585,신촌동,125431296790
2019,2,11410615,연희동,51560619688
2019,2,11410620,홍제1동,12753666867
2019,2,11410640,홍제3동,27309609673
2019,2,11410655,홍제2동,5305393530
2019,2,11410660,홍은1동,10860939815
2019,2,11410685,홍은2동,16400211684
2019,2,11410690,남가좌1동,8152123582
2019,2,11410700,남가좌2동,20093070808
2019,2,11410710,북가좌1동,3025726033
2019,2,11410720,북가좌2동,32096729762
2019,2,11440555,아현동,22807350217
2019,2,11440565,공덕동,34127680160
2019,2,11440585,도화동,36416033745
2019,2,11440590,용강동,55668869298
2019,2,11440600,대흥동,36803349063
2019,2,11440610,염리동,12192308607
2019,2,11440630,신수동,19667950074
2019,2,11440655,서강동,35060333182
2019,2,11440660,서교동,291646916128
2019,2,11440680,합정동,56089857571
2019,2,11440690,망원1동,33652736712
2019,2,11440700,망원2동,19880522024
2019,2,11440710,연남동,30889385723
2019,2,11440720,성산1동,32689581698
2019,2,11440730,성산2동,33293604091
2019,2,11440740,상암동,65512662778
2019,2,11470510,목1동,63557682157
2019,2,11470520,목2동,22796534379
2019,2,11470530,목3동,29196828509
2019,2,11470540,목4동,24582700577
2019,2,11470550,목5동,34405348804
2019,2,11470560,신월1동,21079021066
2019,2,11470570,신월2동,16894632548
2019,2,11470580,신월3동,5759893179
2019,2,11470590,신월4동,12159139827
2019,2,11470600,신월5동,7253761455
2019,2,11470610,신월6동,9037383398
2019,2,11470611,신월7동,13627275236
2019,2,11470620,신정1동,26130750557
2019,2,11470630,신정2동,23543223843
2019,2,11470640,신정3동,25526515833
2019,2,11470650,신정4동,68554369537
2019,2,11470670,신정6동,6659846057
2019,2,11470680,신정7동,18668167211
2019,2,11500510,염창동,47656252139
2019,2,11500520,등촌1동,58620607804
2019,2,11500530,등촌2동,7235382968
2019,2,11500535,등촌3동,48182213288
2019,2,11500540,화곡1동,68560362841
2019,2,11500550,화곡2동,11419068781
2019,2,11500560,화곡3동,23264764646
2019,2,11500570,화곡4동,27356768736
2019,2,11500590,화곡본동,26901605100
2019,2,11500591,화곡6동,33025798851
2019,2,11500593,화곡8동,21781084074
2019,2,11500603,가양1동,77850382227
2019,2,11500604,가양2동,24010930646
2019,2,11500605,가양3동,5668846654
2019,2,11500611,발산1동,115510560735
2019,2,11500615,우장산동,24936962644
2019,2,11500620,공항동,26697841836
2019,2,11500630,방화1동,40234674911
2019,2,11500640,방화2동,20472277202
2019,2,11500641,방화3동,8905811845
2019,2,11530510,신도림동,29613545404
2019,2,11530520,구로1동,10656401721
2019,2,11530530,구로2동,148996688925
2019,2,11530540,구로3동,106929305507
2019,2,11530550,구로4동,36775074862
2019,2,11530560,구로5동,63561599618
2019,2,11530595,가리봉동,14704046801
2019,2,11530720,고척1동,44548307204
2019,2,11530730,고척2동,20817209983
2019,2,11530740,개봉1동,22652116364
2019,2,11530750,개봉2동,18918532207
2019,2,11530760,개봉3동,14733749428
2019,2,11530770,오류1동,30221005637
2019,2,11530780,오류2동,17085568756
2019,2,11530790,수궁동,9268274378
2019,2,11545510,가산동,717136417887
2019,2,11545610,독산1동,180277708781
2019,2,11545620,독산2동,14328240659
2019,2,11545630,독산3동,31145449119
2019,2,11545640,독산4동,14973345487
2019,2,11545670,시흥1동,62068312241
2019,2,11545680,시흥2동,4449375196
2019,2,11545690,시흥3동,9171465806
2019,2,11545700,시흥4동,10404277066
2019,2,11545710,시흥5동,19852352122
2019,2,11560515,영등포본동,35215697695
2019,2,11560535,영등포동,209827487839
2019,2,11560540,여의동,241914899981
2019,2,11560550,당산1동,94436626570
2019,2,11560560,당산2동,42774724895
2019,2,11560585,도림동,12357519033
2019,2,11560605,문래동,91018779584
2019,2,11560610,양평1동,25715119032
2019,2,11560620,양평2동,69982341565
2019,2,11560630,신길1동,28862772961
2019,2,11560650,신길3동,11092788850
2019,2,11560660,신길4동,2497285354
2019,2,11560670,신길5동,6041791183
2019,2,11560680,신길6동,26134380609
2019,2,11560690,신길7동,6125951456
2019,2,11560700,대림1동,21280426234
2019,2,11560710,대림2동,27679466261
2019,2,11560720,대림3동,93648753527
2019,2,11590510,노량진1동,209695692989
2019,2,11590520,노량진2동,310243213176
2019,2,11590530,상도1동,49044828243
2019,2,11590540,상도2동,20941118519
2019,2,11590550,상도3동,25130016220
