연도,분기,행정동_코드,행정동_코드_명,추정매출액,월평균소득금액,지출_총금액,총_유동인구_수,총_상주인구_수,총_직장_인구_수,전체_임대시세,1층_임대시세,1층외_임대시세,영역_면적,집객시설_수,유사_업종_점포_수,개업_점포_수,폐업_점포_수,프랜차이즈_점포_수
2020,1,11200620,금호4가동,8021242388,4442144,2635847000,3242120,14812,691.0,98200.0,123297.0,73103.0,832333.0,84,552,16,10,55
2020,1,11740685,길동,75435815989,2840603,10301075000,15397118,45987,8576.0,89401.0,109346.0,69456.0,1631616.0,242,2826,107,90,249
2020,1,11290660,길음1동,8529794723,4462339,4269970000,7269216,36745,3041.0,140523.0,157076.0,123971.0,797310.0,129,862,35,36,103
2020,1,11290685,길음2동,16976454697,3736133,4597660000,5019695,16356,453.0,111277.0,167971.0,54583.0,588002.0,112,1008,67,25,94
2020,1,11620585,낙성대동,34333022688,3225725,6767860000,6308562,15845,5211.0,108271.0,151355.0,65187.0,2262818.0,148,1217,62,45,157
2020,1,11620775,난곡동,11746349314,2268676,2365451000,6492676,28076,991.0,104208.0,150931.0,57484.0,972373.0,95,628,22,25,66
2020,1,11620715,난향동,3005342648,3262195,658671000,1414011,16264,544.0,83130.0,104132.0,62129.0,821397.0,68,276,8,6,21
2020,1,11410690,남가좌1동,8315626461,4622839,2680011000,2499766,16590,951.0,107912.0,152798.0,63025.0,475536.0,94,592,30,23,44
2020,1,11410700,남가좌2동,17907095514,3237719,3247342000,6412707,24921,1164.0,82940.0,109731.0,56149.0,783775.0,117,1133,45,36,117
2020,1,11170530,남영동,40207148724,3183091,49379387000,2239022,7846,16176.0,88997.0,116594.0,61400.0,1177788.0,147,1278,38,41,154
2020,1,11620630,남현동,19937047658,3234026,4520107000,5596371,18791,3384.0,110110.0,126785.0,93436.0,3281024.0,70,792,41,34,96
2020,1,11650660,내곡동,6051821810,4047063,1999641000,2625456,18146,1650.0,112385.0,101799.0,122971.0,12708880.0,161,892,24,9,36
