용산구,남영동,8395,8268,8190,8116,8049,7886,7832,7825,7811,7699,7540,7552,7552,7465,7385,7347,7301,7334,7283,7258,7218,7236,7450
용산구,원효로2동,14578,14491,14493,14331,14268,13998,13924,13875,13839,13829,13794,13795,13779,13826,13792,13763,13724,13707,13640,13652,13641,13635,13557
용산구,효창동,10363,10387,10372,10326,10369,10265,10213,10156,10179,10831,10823,10888,10902,10895,10828,10811,10765,10772,10710,10646,10668,10567,10546
용산구,용문동,12554,12510,12448,12455,12327,12123,12037,11985,11932,11832,11693,11664,11613,11571,11577,11518,11446,11411,11324,11268,11244,11239,11214
용산구,이촌1동,29428,29329,29144,28961,28516,28383,27027,26632,26447,26331,25750,25707,25567,25604,25578,25513,25472,25481,25488,25493,25483,25451,25456
용산구,이촌2동,8926,8887,8855,8808,8628,8528,8443,8374,8310,8264,8140,8094,8036,8036,7997,7932,7939,7870,7817,7773,7777,7806,7765
용산구,이태원1동,9191,9153,8929,8764,8543,8303,8225,8126,8068,8031,7935,7947,7965,7990,7890,7799,7835,7841,7727,7640,7554,7524,7439
용산구,이태원2동,10878,10826,10788,10795,10712,10605,10594,10604,10576,10538,10432,10427,10380,10326,10263,10223,10250,10242,10235,10039,10021,9961,9936
용산구,서빙고동,14164,14143,14029,14000,13919,13914,13913,13912,13879,13858,13582,13458,13424,13430,13357,13141,13239,13306,13268,13175,13087,12937,12836
용산구,보광동,15997,16023,15805,15531,15284,14974,14804,14708,14610,14482,14187,14060,13961,13840,13585,12420,10679,8652,8361,8167,8072,7903,7764
용산구,청파동,20768,20664,20580,20496,20305,20160,20121,20076,20081,20041,19835,19833,19856,19800,19786,19616,19500,19420,19374,19343,19307,19309,19514
용산구,원효로1동,16737,16792,16722,16730,16746,16591,16569,16577,16618,17145,17584,17774,17781,17851,17837,17688,17682,17689,17743,17764,17823,17852,17843
용산구,한강로동,19884,19940,20910,22097,23212,23294,23417,23411,23286,23222,22988,22886,22769,22839,22811,22691,22620,22613,22675,22642,22535,22802,22730
용산구,한남동,24136,23969,23969,23761,23351,23157,22977,22941,22883,22778,22173,22054,21841,21696,21237,19911,18352,16428,16222,15947,15863,15742,15597
성동구,왕십리2동,17755,17668,17555,17416,17242,16956,16881,16819,16730,16680,16648,16688,16651,16572,16508,16481,16416,16435,16372,16333,16249,16236,16106
성동구,마장동,23927,23755,23583,23459,23257,23132,23028,22991,22975,22912,22727,22706,22598,22517,22390,22233,22170,22073,21984,22074,22208,22244,22425
성동구,사근동,13625,13511,13423,13512,13352,13512,13335,13505,13627,13900,13837,14082,14020,14080,14048,14141,14235,14133,13935,14134,14017,13965,14310
성동구,행당1동,15887,14827,14545,14363,14358,14198,14223,14193,14238,14211,14076,13996,14041,13994,13996,13984,14031,14034,14011,14032,13991,13901,15280
성동구,행당2동,24543,24441,24273,24151,23927,23716,23568,23376,23273,23193,23160,23148,23079,23083,22970,22933,22832,22850,22746,22716,22626,22594,22504
성동구,응봉동,16066,15952,15875,15824,15726,15640,15560,15458,15348,15251,15096,15100,15007,15014,15042,15000,14921,14888,14878,14798,14709,14627,14527
성동구,금호1가동,15885,15927,15897,15795,15718,15600,15442,15315,15196,15164,15085,15137,15065,15024,14943,14841,14796,14807,14714,14680,14596,14518,14382
성동구,금호4가동,15041,15016,14958,14842,14723,14572,14517,14452,14419,14376,14278,14228,14351,14405,14329,14284,14231,14237,14238,14235,14175,14171,14112
성동구,성수1가1동,17087,17038,16954,16851,17168,17053,16919,16814,16792,16690,16506,16407,15996,15895,15812,15681,15661,15659,15641,15501,15376,15368,15282
성동구,성수1가2동,14430,14163,13914,13738,13451,13151,13003,12874,12686,12535,12421,12322,12333,12274,12221,12134,12099,12056,11969,11927,12950,13408,13493
성동구,성수2가1동,17683,17567,17365,17146,16899,16628,16460,16279,16138,16065,15870,15716,15495,15321,15131,15079,15020,14955,14731,14610,14497,14353,14260
성동구,성수2가3동,11673,11615,11563,11457,11387,11304,11152,10985,10926,10867,10716,10520,10501,10447,10365,10312,10275,10172,10042,9884,9844,9786,9813
성동구,송정동,11388,11365,11254,11143,11018,11001,10949,10915,10854,10714,10549,10464,10398,10302,10221,10131,10077,10035,9995,9900,9864,9786,9736
성동구,용답동,13284,13136,12979,12724,12814,12677,12685,12568,12474,12396,12484,12551,12680,12821,12915,13013,13033,13127,13065,13044,13061,13157,13766
성동구,왕십리도선동,27756,27812,27786,27588,27292,27087,27074,26910,26959,27019,26989,26903,26879,26903,26830,26739,26801,26670,26619,26544,26453,26217,26136
성동구,금호2.3가동,24029,23929,23737,23584,23356,23047,22932,22909,22801,22633,22583,22423,22337,22219,22124,22130,22029,21996,21814,21329,20994,20904,20815
성동구,옥수동,27134,27129,27034,26912,26733,26493,26412,26309,26173,26058,25916,25843,25809,25693,25698,25650,25631,25726,25631,25548,25452,25448,25341
광진구,화양동,25628,25263,25276,25541,25523,25680,25626,26034,26567,26870,26809,27082,27334,27438,27844,27645,27809,27646,27754,27761,28010,27961,28340
광진구,군자동,22174,22007,21864,21903,21696,21775,21583,21500,21341,21448,21266,21524,21410,21530,21592,21465,21461,21454,21293,21431,21239,21342,21395
광진구,중곡1동,16257,16201,16127,16190,15950,15940,15959,15862,15761,15664,15553,15663,15837,15766,15640,15691,15674,15587,15587,15612,15529,15519,15434
광진구,중곡2동,22613,22500,22336,22285,22065,21966,21864,21739,21650,21545,21386,21336,21197,21111,20950,20882,20763,20675,20603,20540,20468,20328,20243
광진구,중곡3동,17191,17126,17041,16902,16668,16545,16465,16357,16301,16290,16161,16177,16153,16119,16032,16008,15918,15814,15723,15692,15674,15617,15574
광진구,중곡4동,30432,30320,30102,29815,29385,29330,29144,28954,28806,28615,28436,28405,28229,28142,28032,28006,27914,27899,27836,27724,27545,27367,27255
광진구,능동,11991,12046,11923,11913,11728,11725,11661,11619,11602,11645,11601,11561,11522,11564,11515,11496,11502,11477,11405,11354,11321,11309,11339
광진구,구의1동,23156,23006,22863,22700,22474,22430,22251,22139,23481,23872,24023,24049,24096,24075,23929,23833,23815,23739,23686,23676,23695,23641,23631
광진구,구의2동,27772,27620,27543,27444,27139,27091,27107,27008,26891,26796,26688,26573,26403,26410,26329,26230,26240,26115,26042,25925,25788,25619,25558
광진구,구의3동,29915,29813,29654,29588,29304,29145,28969,28891,28756,28684,28532,28440,28404,28281,28095,28072,28062,28039,27992,27903,27865,27824,27811
광진구,광장동,36051,35934,35869,35619,35355,35193,35004,34834,34719,34523,34445,34362,34245,34237,34296,34210,34133,34103,34128,34040,33884,33653,33321
광진구,자양1동,24030,23875,23876,23710,23465,23385,23233,23134,23019,22925,22785,22709,22854,22979,22840,22745,22810,22774,22694,22694,22679,22629,22620
