"상권별(1)",상권별(2),상권별(3),2022.1/4,2022.2/4,2022.3/4,2022.4/4,2023.1/4,2023.2/4,2023.3/4,2023.4/4,2024.1/4,2024.2/4
"인천",간석오거리,소계,25.3,26.2,22.9,17.9,17.9,21.4,19.8,18.7,20.8,20.8
"인천",계양계산,소계,3.9,3.9,3.9,5.6,6.2,6.2,8.4,8.4,8.4,8.4
"인천",구월,소계,11.2,9.6,8.3,8.7,9.0,7.9,7.3,7.6,8.6,9.0
"인천",부평,소계,15.6,15.9,15.9,19.6,18.8,20.0,20.5,20.3,19.8,18.0
"인천",석남/가정중앙시장,소계,7.6,11.0,7.6,7.6,8.6,9.2,13.6,14.7,13.0,12.3
"인천",신포동,소계,22.6,22.9,24.1,24.1,24.2,22.8,22.2,21.4,21.4,21.3
"인천",인하대앞,소계,16.1,14.0,14.0,15.4,14.8,13.7,13.7,14.3,14.3,18.6
"인천",주안,소계,9.3,9.3,9.3,9.3,7.4,7.4,12.0,8.5,9.0,9.0
"광주",소계,소계,15.5,15.3,14.5,15.2,15.5,16.9,16.4,17.6,17.0,16.0
"광주",금남로/충장로,소계,24.0,25.8,26.6,27.4,28.6,29.9,27.9,28.0,31.0,25.3
"광주",금호지구,소계,7.1,7.1,8.5,10.1,10.1,7.1,7.6,7.6,7.7,19.1
"광주",봉선동,소계,4.9,3.4,4.1,5.3,3.4,3.4,3.4,3.8,3.8,4.5
"광주",상무지구,소계,14.9,17.1,13.7,13.7,11.8,13.3,14.5,18.3,16.8,16.8
"광주",송정동지구,소계,13.8,16.8,18.2,18.2,15.0,13.3,13.3,16.9,16.9,13.5
"광주",양산지구,소계,6.3,5.9,4.9,4.9,6.5,6.5,5.1,5.1,2.6,2.9
"광주",용봉동,소계,7.2,9.4,9.4,9.4,13.0,13.0,10.9,12.1,12.1,12.1
"광주",월산동지구,소계,13.4,13.4,13.4,17.0,17.0,20.8,20.7,21.2,21.2,20.6
"광주",전남대,소계,28.3,29.4,31.3,30.6,36.9,45.5,45.5,48.7,44.6,38.7
"광주",첨단1지구,소계,21.7,11.8,8.1,8.1,8.1,9.2,11.1,13.7,7.3,6.1
"대전",소계,소계,14.4,14.7,14.3,15.0,16.2,16.9,15.8,16.4,17.0,15.4
"대전",노은,소계,10.4,12.1,10.6,10.9,10.9,14.5,14.4,16.8,18.0,10.0
"대전",둔산,소계,15.0,14.8,13.8,14.1,14.7,18.2,15.0,14.4,14.4,12.2
"대전",복합터미널,소계,11.8,11.8,14.0,12.2,14.6,16.0,16.0,16.0,23.4,21.2
"대전",서대전네거리,소계,5.0,6.2,6.2,7.0,8.5,8.5,10.2,9.1,12.6,8.4
"대전",용문/한민시장,소계,7.6,7.6,7.9,7.9,5.3,4.0,4.0,4.0,4.0,8.0
"대전",원도심,소계,23.8,25.1,24.4,24.0,24.8,22.4,22.9,24.5,22.0,23.0
"대전",유성온천역,소계,10.2,6.8,6.8,8.6,12.8,16.2,13.7,13.9,14.6,16.2
"울산",소계,소계,21.2,21.4,21.5,22.2,21.8,21.6,21.5,20.1,18.9,19.9
"울산",삼산동,소계,15.2,15.7,14.8,18.3,15.3,14.5,14.8,19.8,14.2,13.2
"울산",성남옥교동,소계,20.9,23.2,23.7,23.4,22.7,22.7,22.7,24.9,24.9,24.9
"울산",신정동,소계,21.5,20.8,20.8,21.8,22.7,19.7,18.4,17.6,18.7,18.7
"울산",울산농소,소계,17.9,18.3,15.1,11.0,11.0,14.3,8.7,7.0,11.2,15.9
"울산",울산대,소계,27.9,27.9,28.8,30.2,30.2,29.6,31.2,32.1,32.8,33.7
"울산",전하동,소계,16.9,16.0,17.1,18.7,18.1,17.7,18.5,17.9,15.3,18.0
