지역코드,지역명,1층_임대시세_최근1분기,1층_임대시세_최근2분기,1층_임대시세_최근3분기,기타층_임대시세_최근1분기,기타층_임대시세_최근2분기,기타층_임대시세_최근3분기,연도,분기
11215870,구의3동,118170,121703,117932,79347,77461,95075,2020,1
11230,동대문구,107687,107901,110071,56542,56017,58625,2020,1
11230536,용신동,95739,96642,99452,60191,58457,62527,2020,1
11230545,제기동,109362,109600,129842,54408,58253,61533,2020,1
11230560,전농1동,108445,96188,94184,54155,59668,60581,2020,1
11230570,전농2동,102439,112192,100547,61203,66092,66153,2020,1
11230600,답십리1동,151039,153618,150329,45041,46073,54083,2020,1
11230610,답십리2동,80272,91609,82414,61566,51211,58054,2020,1
11230650,장안1동,99729,100112,98391,55415,54450,60743,2020,1
11230660,장안2동,108339,106651,96224,50929,51003,49658,2020,1
11230705,청량리동,94351,91942,88654,51579,52919,51901,2020,1
11230710,회기동,136206,137805,134507,77816,81492,67206,2020,1
11230720,휘경1동,116248,115412,148726,58732,46895,51663,2020,1
11230730,휘경2동,117686,122884,118081,70511,58513,50130,2020,1
11230740,이문1동,105667,118351,126852,72819,76285,71504,2020,1
11230750,이문2동,111401,88713,92502,29730,30202,32037,2020,1
11260,중랑구,94765,94546,93783,47294,49621,49362,2020,1
11260520,면목2동,75614,71189,75998,36850,39486,38579,2020,1
11260540,면목4동,72063,71061,68950,35847,33497,27801,2020,1
11260550,면목5동,68073,63975,70552,27969,48865,51357,2020,1
11260565,면목본동,100961,95064,97154,36023,47707,51678,2020,1
11260570,면목7동,133316,141790,139059,44892,41742,51855,2020,1
11260575,면목3·8동,90810,89107,86897,62486,61077,50195,2020,1
11260580,상봉1동,117172,111261,108716,47954,40945,54508,2020,1
11260590,상봉2동,99532,99343,98433,71210,75238,65290,2020,1
11260600,중화1동,62190,69414,85220,56874,41494,44424,2020,1
11260610,중화2동,109688,109820,103485,39294,39142,39360,2020,1
11260620,묵1동,107923,113219,125195,67088,63963,62118,2020,1
11260630,묵2동,72160,73173,78054,38426,42325,40522,2020,1
11260655,망우본동,95756,94605,80079,42564,45571,46512,2020,1
11260660,망우3동,67286,66223,66780,21210,21845,26897,2020,1
11260680,신내1동,86047,94984,100616,42910,58708,62827,2020,1
11260690,신내2동,144485,146627,133999,68099,53742,49224,2020,1
11290,성북구,104251,105977,105488,65773,64791,59220,2020,1
11290525,성북동,124850,127279,133678,89481,93322,84648,2020,1
11290555,삼선동,113962,113199,108223,63578,63015,53313,2020,1
11290575,동선동,138374,145847,158931,74749,68942,76127,2020,1
11290580,돈암1동,95712, , ,96923,72862,73653,2020,1
11290590,돈암2동, , , , , , ,2020,1
11290600,안암동,113059,110500,105593,65727,64762,55863,2020,1
11290610,보문동,97065,104686,93921,52743,51619,53936,2020,1
11290620,정릉1동,74799,73770,78144,45548,43648,47349,2020,1
11290630,정릉2동,125551,93805,95985,58585,61097,63202,2020,1
11290640,정릉3동,96305,103082,89100,101373,94879,41208,2020,1
11290650,정릉4동,130018,136363,123175,78762,70806,50330,2020,1
11290660,길음1동,149415,153232,157076,153049,141187,123971,2020,1
11290685,길음2동,133787,135034,167971,49155,50438,54583,2020,1
11290705,종암동,92221,102601,97690,63177,74002,61856,2020,1
11290715,월곡1동,96325,92225,92364,44281,40382,43653,2020,1
11290725,월곡2동,96400,96772,97146,59319,55344,41975,2020,1
11290760,장위1동,53069,57345,57937,37577,33346,28047,2020,1
11290770,장위2동,78522,78083,78088,36423,43745,46979,2020,1
11290780,장위3동,112849,105369,96175,48261,36354,40988,2020,1
11290810,석관동,83923,86847,92037,71553,65322,45295,2020,1
11305,강북구,98250,97278,94772,70351,73048,70279,2020,1
11305534,삼양동,104541,99842,82587,43506,48334,55123,2020,1
11305535,미아동,106513,98506,90833,78147,73504,72178,2020,1
11305545,송중동,118342,113436,119878,58928,57830,61359,2020,1
11305555,송천동,90826,94859,87131,67068,67157,67412,2020,1
11305575,삼각산동,157388,136016,126021,104772,143573,137008,2020,1
11305595,번1동,94509,97854,97625,74491,59083,55957,2020,1
11305603,번2동,94470,80516,80947,31002,78981,90143,2020,1
11305608,번3동,97347,101147,100392,111313,50119,49113,2020,1
11305615,수유1동,95645,98833,96258,38579,37336,31372,2020,1
11305625,수유2동,78396,76106,77366,109535,121134,137379,2020,1
11305635,수유3동,113388,110980,106824,85847,96183,82220,2020,1
