지역코드,지역명,1층_임대시세_최근1분기,1층_임대시세_최근2분기,1층_임대시세_최근3분기,기타층_임대시세_최근1분기,기타층_임대시세_최근2분기,기타층_임대시세_최근3분기,연도,분기
11650600,방배1동,136630,142132,140627,83416,86740,86503,2021,1
11650610,방배2동,122210,140944,155685,110382,103265,108723,2021,1
11650620,방배3동,108401,111331,115096,58864,59888,63361,2021,1
11650621,방배4동,124424,124598,123876,80924,76578,83251,2021,1
11650651,양재1동,136845,134310,138492,88618,87736,86170,2021,1
11650652,양재2동,94076,100869,101583,66714,66618,67520,2021,1
11650660,내곡동,173860,159962,157543,82350,76970,83315,2021,1
11680,강남구,172407,172830,172702,116285,116195,116176,2021,1
11680510,신사동,173802,181146,183061,101218,105550,105211,2021,1
11680521,논현1동,163237,169241,166787,104553,110544,107948,2021,1
11680531,논현2동,140487,141764,139190,113359,118799,122786,2021,1
11680545,압구정동,200067,200775,206888,100006,98690,99635,2021,1
11680565,청담동,163769,166645,171203,122141,124788,121379,2021,1
11680580,삼성1동,176473,174996,170401,168281,171565,176548,2021,1
11680590,삼성2동,176397,173719,173082,116977,119171,116414,2021,1
11680600,대치1동,261107,252249,274999,124755,126227,122158,2021,1
11680610,대치2동,179427,169939,174507,127613,121580,123487,2021,1
11680630,대치4동,203120,206787,207603,108752,104480,106487,2021,1
11680640,역삼1동,169785,165845,166707,131058,128211,125083,2021,1
11680650,역삼2동,201592,193246,177333,121422,120267,123363,2021,1
11680655,도곡1동,184825,188785,171972,108116,91704,96096,2021,1
11680656,도곡2동,189737,192917,188536,120034,122120,118723,2021,1
11680660,개포1동, , , ,81064,82563,80672,2021,1
11680670,개포2동,158632,159651,172432,96509,102670,94377,2021,1
11680690,개포4동,89422,90909,94619,54062,54104,74193,2021,1
11680700,세곡동,145484,170344,180920,100647,95859,91042,2021,1
11680720,일원본동,201675,190280,192774,105959,117728,105158,2021,1
11680730,일원1동,128407,128553,128545,50077,47698,47904,2021,1
11680740,일원2동,168997, ,147840,110708,107540,102769,2021,1
11680750,수서동,190861,182340,165022,107801,104544,100965,2021,1
11710,송파구,149655,154063,172608,103601,105532,117175,2021,1
11710510,풍납1동,88187,109242,192005,45071,51237,86015,2021,1
11710520,풍납2동,113169,135855,147875,49043,59285,85640,2021,1
11710531,거여1동,102944,96201,107777,69287,68453,42238,2021,1
11710532,거여2동,107548,146792,150487,43043,48433,68464,2021,1
11710540,마천1동,96292,99125,128042,42775,51815,108976,2021,1
11710550,마천2동,125297,134549,150558,32334,36679,42760,2021,1
11710561,방이1동,128824,120285,143258,52072,58045,60268,2021,1
11710562,방이2동,143878,143946,170510,77632,88414,103664,2021,1
11710566,오륜동,342474,335167,321178,213999,222346,244653,2021,1
11710570,오금동,104359,109660,119580,48166,48600,71423,2021,1
11710580,송파1동,125216,127759,140771,96479,94864,96647,2021,1
11710590,송파2동,110672,120743,138782,57701,61616,67284,2021,1
11710600,석촌동,147530,154771,167349,77495,77186,83805,2021,1
11710610,삼전동,141274,140530,164772,61339,72658,87395,2021,1
11710620,가락본동,145514,150818,188952,78713,92335,114697,2021,1
11710631,가락1동,167260,167864,197683,199132,216976,212633,2021,1
11710632,가락2동,121744,123358,158877,66649,73091,109934,2021,1
11710641,문정1동,103693,109899,125247,78592,82482,88875,2021,1
11710642,문정2동,204019,213100,207236,114702,115099,138832,2021,1
11710646,장지동,127995,136163,170312,58812,63862,95843,2021,1
11710647,위례동,218904,218223,219384,83843,74450,94438,2021,1
11710650,잠실본동,164849,167619,179870,77089,83061,104430,2021,1
11710670,잠실2동,470857,457036,445966,203079,209624,210084,2021,1
11710680,잠실3동,253286,214629,261409,241189,230320,233426,2021,1
11710690,잠실4동,353252,332424,332424,197917,207753,216115,2021,1
11710710,잠실6동,195286,186328,201572,156255,155069,142455,2021,1
11710720,잠실7동,199699,211830,231553,46001,46001, ,2021,1
11740,강동구,126850,128165,127509,78673,75889,74446,2021,1
11740515,강일동,204079,211207,185791,85028,85679,77670,2021,1
11740520,상일동,134768,195941,178077,41184,59204,64380,2021,1
11740530,명일1동,121744,128735,128748,63029,64933,63572,2021,1
11740540,명일2동,147990,165029,155349,58128,54334,52249,2021,1
11740550,고덕1동,137398,132996,133278,72574,77218,76865,2021,1
11740560,고덕2동,214829,210411,216943,142282,139166,121732,2021,1
11740570,암사1동,104226,102877,104525,83883,76462,73265,2021,1
11740580,암사2동,131505,129567,125312,52886,55274,56235,2021,1
11740590,암사3동,121929,137403,140004,100622,105743,126886,2021,1
11740600,천호1동,113994,110848,108500,69602,69478,69804,2021,1
11740610,천호2동,125322,125369,127110,106148,99395,93142,2021,1
11740620,천호3동,144734,142941,139535,75286,70729,64853,2021,1
11740640,성내1동,123270,118892,116038,61016,67555,69619,2021,1
11740650,성내2동,101109,105031,105871,75223,77592,84082,2021,1
11740660,성내3동,138189,129198,125340,102813,90540,86519,2021,1
11740685,길동,115937,113489,117865,73092,67148,66854,2021,1
11740690,둔촌1동, , , , , , ,2021,1
11740700,둔촌2동,106122,106110,104173,55202,54232,49670,2021,1
11,서울시 전체,140213,140868,138620,104417,104182,100993,2021,2
11110,종로구,199091,198296,195121,134928,136242,135221,2021,2
11110515,청운효자동,150627,162329,163704,96136,93692,87974,2021,2
11110530,사직동,195313,196087,184584,108733,109826,108757,2021,2
11110540,삼청동,192051,190705,199502,76391,101202,135601,2021,2
11110550,부암동,108653,100727,85236,95066,83748,82175,2021,2
11110560,평창동,78357,83877,89499,81256,87198,75844,2021,2
11110570,무악동,184537,178853,142549, , ,58764,2021,2
11110580,교남동,203090,208333,162289,177879,200830,187053,2021,2
11110600,가회동,151292,162415,184070,101787,107237,83366,2021,2
11110615,종로1·2·3·4가동,241480,237498,234320,118603,118528,118867,2021,2
11110630,종로5·6가동,236494,235456,233290,238765,238996,237770,2021,2
11110640,이화동,148646,145571,151515,78034,78302,84446,2021,2
11110650,혜화동,157240,153779,138539,85822,81579,84306,2021,2
11110670,창신1동,189772,198710,187389,132782,129709,116162,2021,2
11110680,창신2동,87205,91197,121933,56728,69876,77601,2021,2
11110690,창신3동,90712,88457,101993,58917,67961,68543,2021,2
11110700,숭인1동,101701,94190,108306,59565,57950,59785,2021,2
11110710,숭인2동,118332,119287,138154,56353,65491,76735,2021,2
11140,중구,248770,242787,233703,231991,223571,206132,2021,2
11140520,소공동,185198,185538,172631,126456,124221,120226,2021,2
11140540,회현동,384953,385567,385207,299783,291373,273186,2021,2
11140550,명동,242677,234919,211546,126194,126280,131823,2021,2
11140570,필동,161305,160806,174324,93353,90894,79667,2021,2
11140580,장충동,116440,126051,123599,74800,80195,95064,2021,2
11140590,광희동,202817,196507,200377,193733,189992,179334,2021,2
11140605,을지로동,189263,185740,188229,98757,101748,98976,2021,2
11140615,신당동,344353,338025,340170,414812,395550,370878,2021,2
11140625,다산동,121261,114577,99445,75670,77321,65787,2021,2
11140635,약수동,197559,186985,190271,87520,84311,83798,2021,2
11140645,청구동,103668,105314,79413,86630,93645,87629,2021,2
11140650,신당5동,123529,121291,118091,75015,72619,104987,2021,2
11140665,동화동,115902,113770,117459,79895,74516,71867,2021,2
11140670,황학동,150912,161232,157877,114204,111029,95428,2021,2
11140680,중림동,125376,126278,128607,124205,127342,145502,2021,2
11170,용산구,139000,139914,140669,98242,98521,98869,2021,2
11170510,후암동,98737,104994,112975,66603,60397,53868,2021,2
11170520,용산2가동,99500,95232,121736,149428,116082,103840,2021,2
11170530,남영동,118382,122851,115142,70212,67424,67144,2021,2
11170555,청파동,133766,131455,130149,68560,66341,84911,2021,2
11170560,원효로1동,112892,109998,129151,73397,72687,77676,2021,2
11170570,원효로2동,112004,115312,107029,84486,89447,79145,2021,2
11170580,효창동,135762,132602,121577,183713,175931,196764,2021,2
11170590,용문동,106405,122521,136773,57119,89348,106403,2021,2
11170625,한강로동,140741,141527,130439,103495,108175,102638,2021,2
11170630,이촌1동,292783,276618,237561,126689,133775,146610,2021,2
11170640,이촌2동,70474,70685,64040,156916,76386, ,2021,2
11170650,이태원1동,203809,198455,196062,146165,142163,147327,2021,2
11170660,이태원2동,163771,174699,193346,105028,105052,99738,2021,2
11170685,한남동,126284,134048,145568,87983,89594,93572,2021,2
11170690,서빙고동,64190,66526,78239,72139,57509,59329,2021,2
11170700,보광동,109161,120834,123334,53850,56369,53972,2021,2
11200,성동구,124844,127521,133486,86081,91543,101824,2021,2
11200520,왕십리2동,120921,125886,135963,78840,85087,76498,2021,2
11200535,왕십리도선동,118740,118471,127693,87520,92181,97070,2021,2
11200540,마장동,128513,134532,141524,68811,66637,75950,2021,2
11200550,사근동,174018,172290,182543,85560,101253,96064,2021,2
11200560,행당1동,140104,132661,131768,125074,104062,99278,2021,2
11200570,행당2동,128151,114068,143003,88294,100218,110003,2021,2
11200580,응봉동,135564,143012,113097,86943,89946,129634,2021,2
11200590,금호1가동,115875,107876,100175,100906,101109,79731,2021,2
11200615,금호2·3가동,129330,133647,134192,75648,72315,77285,2021,2
11200620,금호4가동,126675,116755,119046,89879,87017,109074,2021,2
11200645,옥수동,161309,180605,165703,106135,113320,124458,2021,2
11200650,성수1가1동,115011,106692,91008,89132,84729,81124,2021,2
11200660,성수1가2동,126632,131013,141970,82025,92816,117879,2021,2
11200670,성수2가1동,103072,113153,111010,72050,80470,87014,2021,2
11200690,성수2가3동,113970,118568,141922,96808,110490,130549,2021,2
11200720,송정동,85303,91740,109000,67903,73530,75048,2021,2
11200790,용답동,125718,123897,126549,57776,58957,56897,2021,2
11215,광진구,117634,119912,122309,71932,70922,71003,2021,2
11215710,화양동,162517,165538,166107,88767,89485,89660,2021,2
11215730,군자동,106244,110668,114164,49025,54338,70966,2021,2
11215740,중곡1동,94190,95808,101437,53120,48276,49780,2021,2
11215750,중곡2동,90065,90598,91441,48374,49268,55109,2021,2
11215760,중곡3동,94467,100610,109395,47314,50402,57777,2021,2
11215770,중곡4동,104885,105624,104909,55345,54039,71127,2021,2
11215780,능동,131429,141833,145845,65075,69565,67781,2021,2
11215810,광장동,133857,129687,136221,79676,80842,75399,2021,2
11215820,자양1동,121556,125033,125769,67360,64167,81154,2021,2
11215830,자양2동,86070,82410,91731,75237,73298,67189,2021,2
11215840,자양3동,122714,118272,111940,96618,98820,64336,2021,2
11215847,자양4동,142490,143434,137902,65976,61292,67321,2021,2
11215850,구의1동,104630,108829,108335,68273,66806,62590,2021,2
11215860,구의2동,120285,112893,117713,61004,67614,69228,2021,2
11215870,구의3동,130858,138434,139150,93176,85437,79773,2021,2
11230,동대문구,116840,115596,115614,59596,62440,66964,2021,2
11230536,용신동,102438,104533,102833,57779,59327,66787,2021,2
11230545,제기동,141873,140178,139190,71973,78708,83677,2021,2
11230560,전농1동,102404,101923,106517,63689,65438,67515,2021,2
11230570,전농2동,113810,116654,100699,72365,62578,63561,2021,2
11230600,답십리1동,126519,122300,116606,53497,69332,82556,2021,2
11230610,답십리2동,107118,110562,102932,47244,49426,50347,2021,2
11230650,장안1동,100311,101934,105719,54294,52903,56177,2021,2
11230660,장안2동,113366,118487,112909,54815,59879,61815,2021,2
11230705,청량리동,100375,99101,112935,54695,56335,54792,2021,2
11230710,회기동,127004,125918,129599,60181,59368,59509,2021,2
11230720,휘경1동,154037,135018,141630,89845,92257,111200,2021,2
11230730,휘경2동,100167,98466,93178,70892,73574,84950,2021,2
11230740,이문1동,140676,132735,125090,56707,57561,59414,2021,2
11230750,이문2동,81195,73602,80765,72953,76484,72767,2021,2
11260,중랑구,104016,108321,109644,64917,69774,70103,2021,2
11260520,면목2동,97967,100994,97159,44037,49931,47052,2021,2
11260540,면목4동,70625,73300,72678,70027,64308,53874,2021,2
11260550,면목5동,83457,76996,83470,33638,59265,60910,2021,2
11260565,면목본동,101311,108852,112150,56447,55059,56395,2021,2
11260570,면목7동,121953,125239,144873,57584,49637,48208,2021,2
11260575,면목3·8동,101432,101706,99242,59252,60962,63820,2021,2
11260580,상봉1동,102125,109044,101407,74377,78235,69934,2021,2
11260590,상봉2동,119467,124846,123851,65764,72470,67008,2021,2
11260600,중화1동,86408,82921,86160,67829,68776,85963,2021,2
11260610,중화2동,116253,117164,113409,57287,61235,61856,2021,2
11260620,묵1동,127581,125703,123096,70989,90121,109353,2021,2
11260630,묵2동,92311,94987,98424,75852,83484,76683,2021,2
11260655,망우본동,96781,101456,102920,79288,89081,80488,2021,2
11260660,망우3동,72511,79907,84994,40918,38658,40784,2021,2
11260680,신내1동,107725,119911,120222,75545,84766,88176,2021,2
11260690,신내2동,149404,165200,173348,99710,106505,111027,2021,2
11290,성북구,113330,114651,115067,63130,63418,66360,2021,2
11290525,성북동,133196,136805,133487,86055,83643,80447,2021,2
11290555,삼선동,120118,122320,116445,58614,59204,56946,2021,2
11290575,동선동,172663,163807,148268,73360,67853,78038,2021,2
11290580,돈암1동,63109,60231,71508,52369,52001,71829,2021,2
11290590,돈암2동, , ,186654,95322,89291,66901,2021,2
11290600,안암동,150935,156221,144980,72669,74132,72472,2021,2
11290610,보문동,88619,97029,105581,58708,54967,48479,2021,2
11290620,정릉1동,101669,104883,87692,66326,81653,80085,2021,2
11290630,정릉2동,100242,93957,102610,60172,54516,66396,2021,2
11290640,정릉3동,83925,82919,97941,47499,53320,57922,2021,2
11290650,정릉4동,109042,97392,111414,58609,65445,58380,2021,2
11290660,길음1동,160898,154559,163221,93435,97586,95047,2021,2
11290685,길음2동,129569,115628,126978,121638,107867,120461,2021,2
11290705,종암동,91645,95366,99877,49623,49344,54718,2021,2
11290715,월곡1동,100140,100219,106061,69205,68156,66164,2021,2
11290725,월곡2동,102264,101254,107290,40654,44742,57718,2021,2
11290760,장위1동,58273,60697,58523,30508,31793,33073,2021,2
11290770,장위2동,92994,93927,100166,58299,58161,57122,2021,2
11290780,장위3동,127920,119575,152755,48141,45337,74324,2021,2
11290810,석관동,92097,91153,93166,50100,52415,51447,2021,2
11305,강북구,101684,103225,102135,58345,58620,58411,2021,2
11305534,삼양동,84646,79874,94468,76939,77719,67711,2021,2
11305535,미아동,113678,122163,107956,51509,48317,56959,2021,2
11305545,송중동,122131,127577,134997,83438,77011,68295,2021,2
11305555,송천동,94805,92426,94864,50616,55503,59121,2021,2
11305575,삼각산동,132361,139228,130841,83782,82994,75251,2021,2
11305595,번1동,100705,94837,100079,56793,57022,64900,2021,2
11305603,번2동,68082,67088,63902,53308,47661,30985,2021,2
11305608,번3동,86338,85802,102407,40369,37987,46019,2021,2
11305615,수유1동,101041,97548,90831,38831,41288,62156,2021,2
11305625,수유2동,80306,85736,77361,35531,37079,42968,2021,2
11305635,수유3동,128647,128827,119507,61241,64461,59887,2021,2
11305645,우이동,79505,80624,84924,36191,39799,33819,2021,2
11305660,인수동,62101,67588,74129,48839,48533,36220,2021,2
11320,도봉구,100430,100317,99069,52659,56146,54297,2021,2
11320511,창1동,113053,110806,118294,59626,65579,67878,2021,2
11320512,창2동,90250,88739,87419,34602,36217,34498,2021,2
11320513,창3동,72365,73055,71093,32349,35071,41138,2021,2
11320514,창4동,180260,188712,174638,77032,76175,67481,2021,2
11320515,창5동,145052,141257,127249,58477,60485,58771,2021,2
11320521,도봉1동,82360,84723,78820,39832,45139,48532,2021,2
11320522,도봉2동,113634,105495,97576,63713,94747,90425,2021,2
11320660,쌍문1동,74168,73540,71349,34780,40515,45286,2021,2
11320670,쌍문2동,93040,95575,101353,46443,46331,46208,2021,2
11320680,쌍문3동,108643,105429,107473,49548,50835,50292,2021,2
11320681,쌍문4동,127597,119728,125865,58417,56134,55091,2021,2
11320690,방학1동,98598,98528,98140,46112,43719,41857,2021,2
11320700,방학2동,86475,81207,76851,30592,34419,39785,2021,2
11320710,방학3동,85598,92323,97870,79413,77328,55076,2021,2
11350,노원구,132761,130222,127433,67259,64935,63559,2021,2
11350560,월계1동,130137,119891,113484,52327,52050,49117,2021,2
11350570,월계2동,95118,97222,94800,81116,75883,59401,2021,2
11350580,월계3동,174988,181860,179814,65465,69577,85931,2021,2
11350595,공릉1동,113200,114741,115394,59027,57271,53280,2021,2
11350600,공릉2동,121457,118182,117943,72833,62543,57627,2021,2
11350611,하계1동,91238,87336,84527,69296,64652,63401,2021,2
11350612,하계2동,94586,93391,117962,89278,85876,91011,2021,2
11350619,중계본동,133580,134758,125211,72489,68639,69567,2021,2
11350621,중계1동,203050,181772,158210,86412,80951,73818,2021,2
11350624,중계4동,157934,148717,139870,55203,52637,49000,2021,2
11350625,중계2·3동,164719,173038,175498,71019,71269,69485,2021,2
11350630,상계1동,118416,109577,104621,52146,54468,56931,2021,2
11350640,상계2동,151729,147294,151714,80126,79024,77876,2021,2
11350665,상계3·4동,90827,88189,89486,39486,39146,46356,2021,2
11350670,상계5동,99066,95974,94333,41355,38924,48330,2021,2
11350695,상계6·7동,177855,181024,161722,86779,82159,71447,2021,2
11350700,상계8동,158879,167935,191095,63141,60857,60607,2021,2
11350710,상계9동,196057,176345,154252,53575,57007,59959,2021,2
11350720,상계10동,182739,226606,183410,62903,62238,83105,2021,2
11380,은평구,112109,111313,110068,68624,66005,62845,2021,2
11380510,녹번동,108371,115473,124803,69404,60449,61328,2021,2
11380520,불광1동,128461,123703,117857,57865,55962,53504,2021,2
11380530,불광2동,143102,138642,112449,78138,67652,66081,2021,2
11380551,갈현1동,111810,112356,109963,69744,67268,61349,2021,2
11380552,갈현2동,110423,106209,99432,54699,52983,48011,2021,2
11380560,구산동,89310,87742,86654,64072,70562,59385,2021,2
11380570,대조동,121276,118452,115058,85299,81901,79783,2021,2
11380580,응암1동,115259,114245,106558,52165,56745,66119,2021,2
11380590,응암2동,103032,105170,129260,81309,83487,89217,2021,2
11380600,응암3동,106367,107019,107245,46776,48079,47969,2021,2
11380625,역촌동,98143,100446,99779,56407,53613,47032,2021,2
11380631,신사1동,95819,105408,108172,69407,66928,58608,2021,2
11380632,신사2동,88887,80372,80075,41786,47969,54162,2021,2
11380640,증산동,116194,96095,99759,54169,57685,53208,2021,2
11380650,수색동,70107,70878,67007,36286,28570,67449,2021,2
11380690,진관동,135672,136204,141215,102278,99835,89684,2021,2
11410,서대문구,128488,126958,129703,75135,74020,78133,2021,2
11410520,천연동,135254,127373,146613,67881,67618,64926,2021,2
11410555,북아현동,147326,147795,151909,92782,94612,75784,2021,2
11410565,충현동,112210,118299,120868,70567,64968,82926,2021,2
11410585,신촌동,184202,176373,177975,83900,80473,83346,2021,2
11410615,연희동,92790,93446,103465,94278,91363,90522,2021,2
11410620,홍제1동,144218,147974,128383,66938,59395,83997,2021,2
11410640,홍제3동,115852,110924,108311,47402,52165,52837,2021,2
11410655,홍제2동,113703,112292,170894,66611,70094,71556,2021,2
11410660,홍은1동,83733,84011,77759,55177,62355,72752,2021,2
11410685,홍은2동,101005,98912,104492,48747,52804,50733,2021,2
11410690,남가좌1동,139498,131261,145136,83176,86701,93539,2021,2
11410700,남가좌2동,111654,116552,117960,53961,65035,79412,2021,2
11410710,북가좌1동,110049,105407,88006,99232,88648,78204,2021,2
11410720,북가좌2동,100728,101761,91863,55966,60113,60448,2021,2
11440,마포구,154109,155671,159709,102832,105779,106896,2021,2
11440555,아현동,166046,174167,184280,84494,90581,100038,2021,2
11440565,공덕동,118103,129557,144888,94872,98430,115319,2021,2
11440585,도화동,183767,197830,209860,104880,104595,108289,2021,2
11440590,용강동,160515,162952,173653,104520,101726,97754,2021,2
11440600,대흥동,165241,164503,158870,73015,79985,76921,2021,2
11440610,염리동,151741,149829,137619,67403,90978,97880,2021,2
11440630,신수동,124718,131257,122974,102859,126600,155633,2021,2
11440655,서강동,154609,151001,142687,112890,121484,125133,2021,2
11440660,서교동,181732,179286,188511,115344,117282,115171,2021,2
11440680,합정동,134875,132755,143726,112969,114790,109153,2021,2
11440690,망원1동,137759,139549,142485,90637,88698,84600,2021,2
11440700,망원2동,117368,113421,120650,73499,83848,88928,2021,2
11440710,연남동,137188,139700,135153,107537,105974,104680,2021,2
11440720,성산1동,112059,109399,103297,68510,71695,74927,2021,2
11440730,성산2동,119032,130531,134510,78136,90675,89951,2021,2
11440740,상암동,185757,177614,177820,104838,101916,106650,2021,2
11470,양천구,119614,121170,123658,72628,74373,73136,2021,2
11470510,목1동,168611,172075,168578,118014,118675,99645,2021,2
11470520,목2동,123233,116926,103087,88842,87058,83276,2021,2
11470530,목3동,114784,118084,132152,59780,57658,66147,2021,2
11470540,목4동,96419,97065,95179,47636,46758,50390,2021,2
11470550,목5동,226765,234199,226463,88584,88303,91071,2021,2
11470560,신월1동,86547,87640,98545,34327,44363,48887,2021,2
11470570,신월2동,83399,83564,86424,53108,52050,48370,2021,2
11470580,신월3동,103773,117403,98394,38464,37614,83215,2021,2
11470590,신월4동,85697,84899,94101,43478,44238,42728,2021,2
11470600,신월5동,79866,74712,73603,39994,54233,57960,2021,2
11470610,신월6동,123614,115262,129842,39133,40123,47348,2021,2
11470611,신월7동,80311,78827,80381,40983,43927,47367,2021,2
11470620,신정1동,124179,130694,151422,63519,60354,64509,2021,2
11470630,신정2동,99712,101046,112034,59611,52878,64957,2021,2
11470640,신정3동,147563,148974,146849,51241,53224,57653,2021,2
11470650,신정4동,107423,116207,123190,60281,69505,65289,2021,2
11470670,신정6동,203064,217938,194112,96076,92499,88580,2021,2
11470680,신정7동,124576,124806,134422,112575,108562,104019,2021,2
11500,강서구,130462,133258,138142,72034,75203,82607,2021,2
11500510,염창동,113422,110945,117397,54051,61776,71433,2021,2
11500520,등촌1동,111864,116322,121466,69047,70766,80354,2021,2
11500530,등촌2동,78660,82839,101757,65135,62579,80015,2021,2
11500535,등촌3동,159361,154705,144507,76886,69280,94436,2021,2
11500540,화곡1동,101649,103505,110215,63970,62848,68931,2021,2
11500550,화곡2동,89130,85562,89411,28448,32989,52110,2021,2
11500560,화곡3동,128612,124032,142305,70547,67509,78299,2021,2
11500570,화곡4동,125894,115304,109686,38914,42311,46150,2021,2
11500590,화곡본동,102817,101811,106935,59760,61027,68124,2021,2
11500591,화곡6동,100291,107667,124488,63700,68685,72231,2021,2
11500593,화곡8동,138339,139972,131068,52608,57265,55703,2021,2
11500603,가양1동,207944,223547,238375,87878,96964,105191,2021,2
11500604,가양2동,161403,149948,167693,79602,72543,63108,2021,2
11500605,가양3동,123563,100934,123797,92004,101387,103305,2021,2
11500611,발산1동,132741,140003,140305,67307,71706,74866,2021,2
11500615,우장산동,146497,134879,127674,66695,70451,86114,2021,2
11500620,공항동,106770,106636,112880,76782,82946,88908,2021,2
11500630,방화1동,152687,155307,134429,64840,65414,75838,2021,2
11500640,방화2동,88022,85950,103421,77722,76354,63547,2021,2
11500641,방화3동,130600,134037,134558,66393,59403,66895,2021,2
11530,구로구,125144,122404,114141,90477,89527,81425,2021,2
11530510,신도림동,128991,126766,112574,122377,112461,85731,2021,2
11530520,구로1동,191057,144089,124770,89094,79225,55131,2021,2
11530530,구로2동,121259,123462,114774,98051,97223,84878,2021,2
11530540,구로3동,179826,178702,163341,111757,112075,106480,2021,2
11530550,구로4동,141184,138105,136339,63277,71065,69021,2021,2
11530560,구로5동,100119,101219,95574,97053,98385,87769,2021,2
11530595,가리봉동,129548,115295,88049,74820,73755,76562,2021,2
11530720,고척1동,128916,117078,95868,49105,51366,46689,2021,2
11530730,고척2동,95341,94820,85808,72713,69958,54469,2021,2
11530740,개봉1동,96469,87555,83293,54448,53312,56182,2021,2
11530750,개봉2동,115186,113418,115151,66811,63271,68512,2021,2
11530760,개봉3동,96340,93625,95734,48576,50352,55380,2021,2
11530770,오류1동,150279,142188,133962,66383,66852,66083,2021,2
11530780,오류2동,112875,123225,140224,70478,65594,58473,2021,2
11530790,수궁동,98105,95191,90015,68354,63505,63061,2021,2
11530800,항동, , , , , , ,2021,2
11545,금천구,120513,123246,117213,87152,88490,98280,2021,2
11545510,가산동,156995,159077,131181,94830,100717,115383,2021,2
11545610,독산1동,110796,113872,112141,71187,62237,69304,2021,2
11545620,독산2동,92160,93435,91603,33268,34617,43710,2021,2
11545630,독산3동,95393,98298,103758,77302,77184,75317,2021,2
11545640,독산4동,117547,115522,112188,34739,39010,37992,2021,2
11545670,시흥1동,133666,140251,137707,66904,62497,52183,2021,2
11545680,시흥2동,121308,113968,91523,73668,62991,62736,2021,2
11545690,시흥3동,107677,107966,106489,129791,141136,231066,2021,2
11545700,시흥4동,100126,112804,111309,64002,66211,72532,2021,2
11545710,시흥5동,114345,110542,110651,44119,43828,40724,2021,2
11560,영등포구,127524,125782,126413,85897,83524,81997,2021,2
11560515,영등포본동,96696,94852,93766,141899,113936,88546,2021,2
11560535,영등포동,141345,137933,130806,106108,98897,103401,2021,2
11560540,여의동,202202,201279,212366,99301,99493,98391,2021,2
11560550,당산1동,113022,110262,104382,67464,69753,61946,2021,2
11560560,당산2동,153359,155551,155160,74851,72460,75147,2021,2
11560585,도림동,116169,109529,137129,71530,72617,69041,2021,2
11560605,문래동,105478,104012,99936,89642,89741,81541,2021,2
11560610,양평1동,94328,107546,111176,86940,83355,66541,2021,2
11560620,양평2동,123955,121404,125002,66242,70162,80310,2021,2
11560630,신길1동,124543,121228,96755,82784,66025,72783,2021,2
11560650,신길3동,95484,89751,100053,51159,48703,56514,2021,2
11560660,신길4동,54953,63872,127616,61553,73412,93190,2021,2
11560670,신길5동,103047,110618,120518,74620,70558,77883,2021,2
11560680,신길6동,102127,107168,115756,50824,51617,52490,2021,2
11560690,신길7동,117396,113038,109538,88746,82066,67905,2021,2
11560700,대림1동,111828,114293,109155,52629,65281,67512,2021,2
11560710,대림2동,149248,136651,140158,83044,81476,92813,2021,2
11560720,대림3동,96412,95153,107054,55316,55998,52370,2021,2
11590,동작구,140590,142553,141593,78512,77200,78778,2021,2
11590510,노량진1동,168233,171273,172921,92081,84616,79082,2021,2
11590520,노량진2동,154668,168978,211213,107137,110151,106431,2021,2
11590530,상도1동,121912,122206,126614,75565,74250,97650,2021,2
11590540,상도2동,138101,135134,133272,71910,77772,76486,2021,2
11590550,상도3동,147316,148972,155507,63473,58189,82803,2021,2
11590560,상도4동,118314,113115,107765,63370,55875,38389,2021,2
11590605,흑석동,129166,135183,153343,94712,86433,84422,2021,2
11590620,사당1동,115543,115474,115103,68283,65396,71550,2021,2
11590630,사당2동,182454,184717,158493,81752,85048,87526,2021,2
11590640,사당3동,122077,122917,113847,94872,96608,69781,2021,2
11590650,사당4동,170993,173415,131739,46556,59701,60647,2021,2
11590651,사당5동,92478,89562,81625,61930,63167,58744,2021,2
11590660,대방동,120812,120674,115302,51458,59369,63680,2021,2
11590670,신대방1동,115552,119507,123448,99203,85394,100659,2021,2
11590680,신대방2동,166699,174466,150952,76709,72785,58878,2021,2
11620,관악구,129363,130073,130094,75933,77836,76986,2021,2
11620525,보라매동,104011,104085,101447,75422,72903,81422,2021,2
11620545,청림동,72549,80513,83870,74593,78334,107775,2021,2
11620565,성현동,123451,116789,131225,58133,64002,81067,2021,2
11620575,행운동,124181,122120,126507,65324,77639,90351,2021,2
11620585,낙성대동,148393,169586,176951,80941,87103,86200,2021,2
11620595,청룡동,138937,135025,134917,89453,96779,89976,2021,2
11620605,은천동,139766,138802,129503,71798,74309,58392,2021,2
11620615,중앙동,110643,115847,114249,83941,78472,76093,2021,2
11620625,인헌동,144849,138587,145404,50301,50942,60230,2021,2
11620630,남현동,182635,176418,158346,90227,85064,83001,2021,2
11620645,서원동,136523,157035,173498,99770,101972,94258,2021,2
11620655,신원동,126799,132647,133356,58489,59428,51787,2021,2
11620665,서림동,104106,104493,101452,112102,94921,68101,2021,2
11620685,신사동,139612,121733,112346,70075,75904,73649,2021,2
11620695,신림동,170919,172386,171509,98068,87767,86521,2021,2
11620715,난향동,94251,82833,73487,68570,65621,64498,2021,2
11620725,조원동,112210,109883,105194,48476,48184,51123,2021,2
11620735,대학동,125651,120895,129965,53553,59189,55663,2021,2
