행정구역,2024_2Q_전체,2024_2Q_1층,2024_2Q_1층외,2024_3Q_전체,2024_3Q_1층,2024_3Q_1층외,2024_4Q_전체,2024_4Q_1층,2024_4Q_1층외
서울시 전체,136071.0,150596.0,121547.0,135190.0,150268.0,120113.0,137164.0,153199.0,121129.0
종로구,195617.0,230674.0,160559.0,190088.0,223395.0,156781.0,188914.0,222029.0,155799.0
청운효자동,152054.0,188588.0,115520.0,156899.0,201922.0,111876.0,158296.0,209717.0,106875.0
사직동,184123.0,235516.0,132729.0,167839.0,219567.0,116110.0,183418.0,232820.0,134017.0
삼청동,153171.0,153171.0,,172621.0,172621.0,,187508.0,187508.0,
부암동,98167.0,115405.0,80929.0,98504.0,101387.0,95622.0,123079.0,145132.0,101026.0
평창동,101501.0,83479.0,119522.0,83654.0,82149.0,85159.0,85049.0,85661.0,84438.0
무악동,,,,139803.0,139803.0,,144691.0,144691.0,
교남동,184128.0,215432.0,152824.0,189352.0,218656.0,160048.0,199675.0,210928.0,188422.0
가회동,171799.0,233527.0,110071.0,168867.0,223593.0,114141.0,156854.0,204311.0,109398.0
종로1·2·3·4가동,200140.0,269591.0,130688.0,195561.0,260361.0,130761.0,195252.0,259056.0,131449.0
종로5·6가동,277462.0,273313.0,281611.0,258263.0,257553.0,258974.0,247939.0,245320.0,250557.0
이화동,141860.0,178429.0,105291.0,121294.0,150927.0,91662.0,118655.0,151725.0,85585.0
혜화동,125576.0,159892.0,91260.0,126162.0,160932.0,91392.0,127378.0,164899.0,89856.0
창신1동,195161.0,262631.0,127691.0,221391.0,288535.0,154246.0,214549.0,268665.0,160434.0
창신2동,91104.0,105489.0,76719.0,96635.0,105343.0,87928.0,105859.0,111214.0,100504.0
창신3동,214241.0,214241.0,,275360.0,275360.0,,258053.0,258053.0,
숭인1동,121027.0,183505.0,58548.0,96054.0,137967.0,54141.0,90217.0,127200.0,53235.0
숭인2동,158589.0,205581.0,111597.0,166477.0,192147.0,140807.0,164660.0,187109.0,142212.0
중구,269374.0,282431.0,256317.0,265240.0,279830.0,250651.0,264923.0,276655.0,253191.0
소공동,228689.0,259429.0,197948.0,236785.0,275172.0,198399.0,230202.0,243462.0,216942.0
회현동,337514.0,415033.0,259994.0,351157.0,458125.0,244189.0,343544.0,442714.0,244373.0
명동,272907.0,348130.0,197684.0,240596.0,276176.0,205015.0,220254.0,240589.0,199919.0
필동,156282.0,167104.0,145459.0,157604.0,183801.0,131406.0,157894.0,181992.0,133797.0
장충동,201270.0,181947.0,220594.0,182809.0,193857.0,171760.0,181986.0,193857.0,170115.0
광희동,241041.0,243697.0,238384.0,244509.0,247745.0,241273.0,239025.0,238409.0,239641.0
을지로동,199792.0,273859.0,125725.0,196910.0,266970.0,126851.0,205096.0,281344.0,128849.0
신당동,388756.0,358287.0,419225.0,385011.0,356474.0,413548.0,391037.0,357826.0,424248.0
다산동,160608.0,132972.0,188244.0,159756.0,154472.0,165040.0,168525.0,150996.0,186054.0
약수동,234565.0,258863.0,210266.0,175064.0,205672.0,144457.0,186824.0,219147.0,154501.0
청구동,215947.0,221091.0,210803.0,240595.0,205763.0,275426.0,231422.0,216344.0,246499.0
신당5동,186409.0,209535.0,163283.0,171720.0,191964.0,151477.0,161731.0,175746.0,147716.0
동화동,242238.0,196110.0,288365.0,238588.0,204862.0,272315.0,241592.0,210428.0,272757.0
황학동,197396.0,178275.0,216517.0,190795.0,167744.0,213845.0,181210.0,178304.0,184115.0
중림동,218357.0,293075.0,143638.0,206597.0,259142.0,154052.0,186686.0,243121.0,130251.0
용산구,125065.0,140285.0,109845.0,121634.0,139726.0,103542.0,120697.0,138146.0,103249.0
후암동,98460.0,104174.0,92745.0,98176.0,107881.0,88472.0,103221.0,107802.0,98640.0
용산2가동,91089.0,100775.0,81404.0,87486.0,99172.0,75800.0,83867.0,96656.0,71078.0
남영동,132007.0,135226.0,128788.0,123032.0,136935.0,109129.0,116684.0,127060.0,106308.0
청파동,129329.0,132718.0,125940.0,125133.0,134867.0,115400.0,112045.0,136179.0,87911.0
원효로1동,96206.0,118206.0,74206.0,93025.0,111925.0,74126.0,94645.0,112166.0,77124.0
원효로2동,80685.0,91280.0,70090.0,77673.0,85333.0,70012.0,77212.0,88820.0,65604.0
효창동,156450.0,132745.0,180155.0,144438.0,141280.0,147595.0,158732.0,136828.0,180637.0
용문동,92719.0,129704.0,55734.0,107443.0,146525.0,68361.0,107127.0,145375.0,68878.0
한강로동,136541.0,159589.0,113494.0,132670.0,161791.0,103549.0,129566.0,159731.0,99402.0
이촌1동,226403.0,289792.0,163014.0,201138.0,270462.0,131815.0,222563.0,293109.0,152017.0
이촌2동,129468.0,100696.0,158241.0,99258.0,76934.0,121581.0,112262.0,80248.0,144275.0
이태원1동,173630.0,207415.0,139844.0,150197.0,165145.0,135248.0,148878.0,153496.0,144259.0
이태원2동,121364.0,138389.0,104338.0,131394.0,149657.0,113130.0,130761.0,146334.0,115188.0
한남동,147008.0,184392.0,109625.0,160515.0,205242.0,115788.0,156160.0,196037.0,116282.0
서빙고동,74759.0,73772.0,75746.0,79843.0,55361.0,104325.0,79754.0,54003.0,105504.0
보광동,89994.0,123378.0,56609.0,81807.0,110413.0,53201.0,82311.0,117176.0,47445.0
성동구,136247.0,146129.0,126364.0,134105.0,146901.0,121309.0,133773.0,148202.0,119344.0
왕십리2동,108598.0,130820.0,86376.0,106072.0,141612.0,70532.0,113270.0,161413.0,65128.0
왕십리도선동,154104.0,146471.0,161737.0,153993.0,160621.0,147365.0,144794.0,157054.0,132533.0
마장동,113491.0,145989.0,80994.0,109986.0,142525.0,77446.0,117581.0,155473.0,79689.0
사근동,142698.0,173134.0,112263.0,136773.0,174935.0,98610.0,126023.0,164992.0,87055.0
행당1동,149223.0,149185.0,149262.0,172644.0,172940.0,172349.0,170098.0,174808.0,165389.0
행당2동,135405.0,148251.0,122558.0,133271.0,150654.0,115889.0,128315.0,138697.0,117933.0
응봉동,105835.0,83923.0,127748.0,67478.0,86768.0,48189.0,64796.0,77253.0,52339.0
금호1가동,121496.0,124262.0,118729.0,95382.0,110405.0,80359.0,105721.0,126590.0,84851.0
금호2·3가동,122676.0,133331.0,112021.0,108182.0,133252.0,83111.0,109836.0,134529.0,85143.0
