행정구역,2022_4Q_전체,2022_4Q_1층,2022_4Q_1층외,2023_1Q_전체,2023_1Q_1층,2023_1Q_1층외,2023_2Q_전체,2023_2Q_1층,2023_2Q_1층외
성수1가1동,157825.0,108806.0,206843.0,197818.0,176925.0,218711.0,224435.0,231957.0,216913.0
성수1가2동,221072.0,239343.0,202801.0,258187.0,292442.0,223931.0,285984.0,325673.0,246295.0
성수2가1동,152585.0,145855.0,159314.0,196739.0,187300.0,206178.0,224887.0,219428.0,230346.0
성수2가3동,173311.0,186863.0,159759.0,203812.0,220443.0,187181.0,233531.0,248828.0,218234.0
송정동,165047.0,144863.0,185231.0,190125.0,190125.0,,279367.0,180994.0,377739.0
용답동,144148.0,173685.0,114610.0,129943.0,162423.0,97463.0,126114.0,169497.0,82730.0
광진구,112871.0,131081.0,94660.0,111289.0,127717.0,94862.0,106205.0,123408.0,89002.0
화양동,148440.0,187644.0,109236.0,140256.0,171204.0,109309.0,128875.0,157048.0,100703.0
군자동,121174.0,117810.0,124538.0,136336.0,113604.0,159068.0,131216.0,124371.0,138062.0
중곡1동,89540.0,124660.0,54421.0,84961.0,113740.0,56182.0,92980.0,108788.0,77172.0
중곡2동,92658.0,104358.0,80959.0,97718.0,107089.0,88348.0,78863.0,101834.0,55892.0
중곡3동,85483.0,97761.0,73204.0,96870.0,98719.0,95021.0,76944.0,96366.0,57521.0
중곡4동,95855.0,117258.0,74453.0,85666.0,113315.0,58017.0,103981.0,143352.0,64610.0
능동,116337.0,142715.0,89959.0,106892.0,130902.0,82883.0,111551.0,125668.0,97435.0
광장동,147295.0,182573.0,112017.0,143796.0,170673.0,116919.0,133834.0,168735.0,98933.0
자양1동,95751.0,133578.0,57924.0,95228.0,129038.0,61418.0,92354.0,121967.0,62742.0
자양2동,109256.0,101280.0,117233.0,110408.0,99836.0,120980.0,85784.0,91432.0,80135.0
자양3동,114695.0,137264.0,92125.0,110730.0,146511.0,74949.0,100646.0,110579.0,90712.0
자양4동,135236.0,143423.0,127050.0,114745.0,130860.0,98630.0,114796.0,140345.0,89247.0
구의1동,107831.0,125039.0,90623.0,107712.0,125173.0,90250.0,103271.0,123256.0,83286.0
구의2동,95073.0,116323.0,73822.0,90625.0,106505.0,74745.0,103953.0,122635.0,85270.0
구의3동,117973.0,125373.0,110572.0,119269.0,136432.0,102106.0,112852.0,124042.0,101662.0
동대문구,95276.0,115175.0,75377.0,96876.0,117231.0,76520.0,94172.0,119163.0,69180.0
용신동,91846.0,102724.0,80967.0,94130.0,102931.0,85329.0,94032.0,109733.0,78332.0
제기동,90602.0,120254.0,60950.0,88121.0,120318.0,55925.0,87247.0,117586.0,56907.0
전농1동,91869.0,108523.0,75215.0,103847.0,116774.0,90919.0,97846.0,124003.0,71688.0
전농2동,108718.0,127996.0,89441.0,93965.0,127864.0,60067.0,92142.0,127606.0,56679.0
답십리1동,115863.0,142875.0,88852.0,106418.0,134982.0,77854.0,112111.0,136503.0,87719.0
답십리2동,80012.0,95736.0,64288.0,84262.0,108791.0,59733.0,81819.0,108519.0,55119.0
장안1동,87936.0,104005.0,71867.0,91352.0,106930.0,75773.0,87242.0,104852.0,69633.0
장안2동,89079.0,105931.0,72226.0,93934.0,119381.0,68487.0,89364.0,119039.0,59688.0
청량리동,94276.0,124390.0,64161.0,90637.0,121204.0,60070.0,85188.0,109695.0,60681.0
회기동,124122.0,146428.0,101817.0,119096.0,144702.0,93489.0,106797.0,143524.0,70071.0
휘경1동,95945.0,142949.0,48941.0,78714.0,113460.0,43967.0,81286.0,114584.0,47987.0
휘경2동,107301.0,95211.0,119391.0,110476.0,76179.0,144773.0,72965.0,82740.0,63189.0
이문1동,98122.0,142956.0,53289.0,127418.0,159285.0,95552.0,127072.0,162180.0,91963.0
이문2동,87243.0,112258.0,62228.0,73509.0,101182.0,45836.0,94483.0,137725.0,51241.0
중랑구,85954.0,106802.0,65105.0,83917.0,106181.0,61652.0,82183.0,104666.0,59700.0
