행정구역,2025_1Q_전체,2025_1Q_1층,2025_1Q_1층외,2025_2Q_전체,2025_2Q_1층,2025_2Q_1층외,2025_3Q_전체,2025_3Q_1층,2025_3Q_1층외
구산동,87830.0,112275.0,63385.0,79655.0,92463.0,66846.0,76036.0,95667.0,56405.0
대조동,127005.0,136639.0,117370.0,133363.0,132010.0,134716.0,131514.0,132312.0,130716.0
응암1동,111831.0,144479.0,79182.0,114371.0,156133.0,72608.0,112433.0,159746.0,65120.0
응암2동,100080.0,126650.0,73509.0,96490.0,119467.0,73513.0,88733.0,112323.0,65143.0
응암3동,76608.0,105758.0,47458.0,98558.0,113836.0,83281.0,91878.0,101073.0,82682.0
역촌동,85252.0,111429.0,59076.0,83724.0,106778.0,60670.0,86358.0,112805.0,59910.0
신사1동,76313.0,117101.0,35526.0,95894.0,122256.0,69531.0,98276.0,120015.0,76538.0
신사2동,102518.0,137179.0,67858.0,93073.0,131838.0,54308.0,87135.0,120533.0,53737.0
증산동,77673.0,78984.0,76362.0,85690.0,104792.0,66589.0,87821.0,115237.0,60405.0
수색동,114766.0,138841.0,90691.0,113325.0,138656.0,87995.0,104130.0,153621.0,54638.0
진관동,109215.0,113404.0,105026.0,113377.0,125895.0,100860.0,122815.0,137083.0,108546.0
서대문구,120262.0,129329.0,111195.0,133753.0,152380.0,115126.0,147011.0,168147.0,125876.0
천연동,84572.0,103813.0,65330.0,124315.0,153284.0,95345.0,147106.0,189210.0,105002.0
북아현동,113775.0,149164.0,78386.0,144316.0,216181.0,72452.0,138593.0,210330.0,66856.0
충현동,113494.0,141020.0,85968.0,121301.0,159270.0,83332.0,158336.0,196153.0,120520.0
신촌동,162622.0,178781.0,146462.0,171456.0,204489.0,138423.0,166237.0,202152.0,130322.0
연희동,115229.0,120894.0,109564.0,121133.0,126817.0,115449.0,122949.0,132794.0,113104.0
홍제1동,95354.0,118665.0,72042.0,122359.0,153520.0,91197.0,157025.0,202202.0,111848.0
홍제3동,79810.0,103418.0,56201.0,117350.0,127488.0,107211.0,144773.0,120566.0,168980.0
홍제2동,95743.0,102661.0,88824.0,137918.0,131381.0,144454.0,159482.0,167219.0,151745.0
홍은1동,73242.0,78488.0,67996.0,103192.0,117821.0,88564.0,131377.0,160196.0,102558.0
홍은2동,108335.0,102346.0,114325.0,99520.0,95430.0,103611.0,140532.0,118907.0,162158.0
