행정구역,2022_1Q_전체,2022_1Q_1층,2022_1Q_1층외,2022_2Q_전체,2022_2Q_1층,2022_2Q_1층외,2022_3Q_전체,2022_3Q_1층,2022_3Q_1층외
서울시 전체,130651.0,148711.0,112592.0,132473.0,148577.0,116369.0,136783.0,151427.0,122140.0
종로구,183433.0,215787.0,151079.0,198534.0,226443.0,170624.0,203586.0,230260.0,176913.0
청운효자동,129755.0,181103.0,78407.0,147878.0,212258.0,83498.0,142725.0,195183.0,90268.0
사직동,145664.0,185390.0,105938.0,162108.0,217048.0,107167.0,166024.0,228857.0,103192.0
삼청동,175042.0,185890.0,164194.0,161693.0,180283.0,143103.0,157572.0,194483.0,120661.0
부암동,88340.0,94506.0,82173.0,74155.0,93432.0,54879.0,93334.0,118701.0,67967.0
평창동,92288.0,115285.0,69292.0,110528.0,148983.0,72074.0,111164.0,123164.0,99164.0
무악동,105457.0,114202.0,96713.0,249448.0,249448.0,,163768.0,237267.0,90270.0
교남동,206719.0,218421.0,195017.0,203425.0,244185.0,162665.0,217880.0,288201.0,147558.0
가회동,142922.0,202364.0,83480.0,133865.0,189990.0,77740.0,147693.0,202463.0,92922.0
종로1·2·3·4가동,193808.0,253334.0,134283.0,201789.0,259160.0,144418.0,206819.0,263752.0,149885.0
종로5·6가동,261380.0,258320.0,264440.0,299121.0,283696.0,314545.0,297056.0,272298.0,321813.0
이화동,129072.0,173541.0,84604.0,178553.0,201957.0,155149.0,216799.0,216193.0,217405.0
혜화동,127588.0,165956.0,89220.0,147355.0,168585.0,126126.0,172307.0,209059.0,135555.0
창신1동,174189.0,217466.0,130913.0,187331.0,237234.0,137427.0,185260.0,212277.0,158243.0
창신2동,95290.0,126835.0,63746.0,104308.0,111575.0,97041.0,124606.0,102045.0,147167.0
창신3동,84071.0,97560.0,70581.0,74261.0,81483.0,67038.0,93762.0,133431.0,54093.0
숭인1동,96699.0,123120.0,70277.0,93260.0,117991.0,68528.0,141933.0,207813.0,76054.0
숭인2동,130864.0,159250.0,102478.0,136750.0,169093.0,104407.0,127581.0,165726.0,89436.0
중구,231615.0,249327.0,213903.0,240311.0,253968.0,226655.0,260298.0,267923.0,252672.0
소공동,179033.0,209985.0,148081.0,205770.0,264612.0,146929.0,200817.0,235279.0,166354.0
회현동,316406.0,363294.0,269518.0,300115.0,321253.0,278978.0,290821.0,325712.0,255929.0
명동,197310.0,239232.0,155389.0,219685.0,238028.0,201342.0,222975.0,247380.0,198569.0
필동,141332.0,182888.0,99777.0,166904.0,212668.0,121140.0,186579.0,241322.0,131836.0
장충동,114721.0,128740.0,100703.0,141175.0,168493.0,113857.0,164927.0,200026.0,129829.0
광희동,200530.0,228967.0,172092.0,210655.0,247041.0,174268.0,242253.0,254007.0,230500.0
을지로동,154362.0,211481.0,97243.0,175964.0,238229.0,113699.0,212645.0,287716.0,137575.0
신당동,372835.0,377462.0,368207.0,389083.0,393845.0,384321.0,391082.0,388625.0,393539.0
다산동,124983.0,139348.0,110617.0,182588.0,204853.0,160322.0,176225.0,196239.0,156212.0
약수동,136272.0,180632.0,91911.0,158497.0,202839.0,114154.0,197356.0,257115.0,137596.0
청구동,135753.0,163984.0,107522.0,161939.0,221408.0,102470.0,205477.0,214053.0,196902.0
신당5동,127217.0,151840.0,102594.0,150670.0,187317.0,114023.0,201600.0,182568.0,220633.0
동화동,121965.0,128587.0,115344.0,169338.0,142329.0,196348.0,189873.0,167952.0,211794.0
황학동,128055.0,150076.0,106035.0,120619.0,144120.0,97118.0,160136.0,157397.0,162876.0
중림동,144207.0,149100.0,139315.0,168538.0,195949.0,141127.0,189361.0,218137.0,160584.0
용산구,130021.0,149289.0,110753.0,137701.0,150920.0,124483.0,135662.0,152714.0,118610.0
후암동,104824.0,130815.0,78834.0,94503.0,123687.0,65319.0,111490.0,145327.0,77653.0
용산2가동,100452.0,125990.0,74914.0,95160.0,105013.0,85306.0,99789.0,100801.0,98776.0
남영동,120741.0,119400.0,122082.0,193635.0,161532.0,225738.0,173996.0,155886.0,192106.0
청파동,111102.0,130973.0,91231.0,103149.0,128682.0,77615.0,113473.0,140804.0,86141.0
원효로1동,105927.0,124827.0,87028.0,110292.0,128035.0,92549.0,116500.0,147461.0,85539.0
원효로2동,99817.0,104042.0,95593.0,113690.0,99577.0,127803.0,112101.0,101422.0,122779.0
효창동,102735.0,118462.0,87009.0,87821.0,113461.0,62181.0,107854.0,143283.0,72425.0
용문동,118237.0,143893.0,92581.0,112523.0,151847.0,73199.0,139712.0,159761.0,119663.0
한강로동,141339.0,163001.0,119677.0,143376.0,158722.0,128030.0,136670.0,157839.0,115500.0
이촌1동,222481.0,276824.0,168137.0,217392.0,315971.0,118813.0,222914.0,326180.0,119648.0
이촌2동,116845.0,116845.0,,80615.0,80615.0,,73833.0,67019.0,80647.0
이태원1동,163576.0,187681.0,139470.0,165601.0,193422.0,137779.0,164061.0,178459.0,149664.0
이태원2동,143911.0,171719.0,116102.0,195088.0,221164.0,169011.0,171653.0,195883.0,147423.0
한남동,133206.0,155337.0,111075.0,115832.0,118259.0,113405.0,130747.0,126530.0,134964.0
서빙고동,95602.0,99137.0,92068.0,127315.0,127315.0,,77561.0,94562.0,60560.0
보광동,108143.0,130205.0,86082.0,157145.0,130762.0,183529.0,107562.0,122978.0,92147.0
성동구,127864.0,143175.0,112553.0,134990.0,154451.0,115530.0,160420.0,175075.0,145765.0
왕십리2동,112733.0,147085.0,78381.0,131024.0,174785.0,87264.0,134666.0,150569.0,118764.0
왕십리도선동,131595.0,160513.0,102676.0,130851.0,174996.0,86706.0,153294.0,185537.0,121050.0
