행정구역,2023_3Q_전체,2023_3Q_1층,2023_3Q_1층외,2023_4Q_전체,2023_4Q_1층,2023_4Q_1층외,2024_1Q_전체,2024_1Q_1층,2024_1Q_1층외
성수1가1동,211916.0,250319.0,173513.0,184395.0,229515.0,139274.0,168044.0,198085.0,138004.0
성수1가2동,243256.0,270695.0,215817.0,233783.0,248789.0,218777.0,210704.0,218917.0,202491.0
성수2가1동,187660.0,188548.0,186773.0,163426.0,168200.0,158652.0,141089.0,146525.0,135654.0
성수2가3동,210446.0,245450.0,175442.0,200762.0,230625.0,170900.0,178275.0,195702.0,160848.0
송정동,182075.0,180832.0,183318.0,169745.0,161057.0,178433.0,142280.0,127614.0,156945.0
용답동,119463.0,146528.0,92397.0,117074.0,148145.0,86004.0,115146.0,150617.0,79676.0
광진구,103816.0,123147.0,84485.0,105832.0,124084.0,87579.0,106228.0,126060.0,86395.0
화양동,142067.0,159032.0,125103.0,142876.0,162972.0,122781.0,139521.0,163338.0,115703.0
군자동,124806.0,127231.0,122382.0,119022.0,123106.0,114938.0,115579.0,122826.0,108333.0
중곡1동,83763.0,96320.0,71207.0,96823.0,97162.0,96485.0,90693.0,98961.0,82425.0
중곡2동,79032.0,87866.0,70197.0,77020.0,88131.0,65909.0,76697.0,91700.0,61695.0
중곡3동,72151.0,94937.0,49364.0,76924.0,95536.0,58313.0,77673.0,97729.0,57616.0
중곡4동,106103.0,143580.0,68626.0,108630.0,143222.0,74039.0,116987.0,153889.0,80086.0
능동,118504.0,129943.0,107064.0,108761.0,119607.0,97916.0,107588.0,120762.0,94414.0
광장동,117841.0,162266.0,73417.0,125202.0,170939.0,79465.0,119580.0,157460.0,81699.0
자양1동,88869.0,117549.0,60190.0,87756.0,117582.0,57930.0,89180.0,118125.0,60235.0
자양2동,78574.0,92927.0,64221.0,78927.0,92830.0,65025.0,84091.0,101816.0,66365.0
자양3동,101601.0,122753.0,80449.0,103163.0,132974.0,73353.0,104026.0,129689.0,78363.0
자양4동,103881.0,139426.0,68335.0,103641.0,141375.0,65908.0,107872.0,142044.0,73699.0
구의1동,105023.0,128461.0,81585.0,110857.0,135485.0,86229.0,108794.0,134102.0,83486.0
구의2동,100941.0,132595.0,69286.0,104005.0,138423.0,69587.0,112567.0,143677.0,81457.0
구의3동,103183.0,119593.0,86773.0,110191.0,118063.0,102318.0,111453.0,121350.0,101555.0
동대문구,92442.0,121813.0,63070.0,91323.0,120764.0,61882.0,91071.0,117713.0,64429.0
용신동,94538.0,114647.0,74429.0,96612.0,123535.0,69689.0,93138.0,119433.0,66842.0
제기동,95590.0,132429.0,58752.0,96448.0,131380.0,61515.0,100442.0,139109.0,61775.0
전농1동,97080.0,128558.0,65603.0,92187.0,120735.0,63639.0,81164.0,105848.0,56479.0
전농2동,78442.0,120502.0,36382.0,79777.0,114250.0,45303.0,83606.0,104033.0,63179.0
답십리1동,104763.0,135938.0,73588.0,102817.0,133683.0,71951.0,113805.0,141034.0,86577.0
답십리2동,83130.0,111781.0,54479.0,78832.0,107920.0,49745.0,76060.0,103071.0,49050.0
장안1동,87661.0,110376.0,64946.0,87754.0,113970.0,61538.0,91261.0,109573.0,72948.0
장안2동,87975.0,113782.0,62168.0,85880.0,114767.0,56994.0,80217.0,103744.0,56690.0
청량리동,78226.0,108808.0,47644.0,78615.0,105521.0,51708.0,74279.0,92460.0,56098.0
회기동,98713.0,134320.0,63106.0,92106.0,116760.0,67453.0,91327.0,124183.0,58471.0
휘경1동,91506.0,133989.0,49023.0,90281.0,125008.0,55554.0,100406.0,138778.0,62033.0
휘경2동,75202.0,85264.0,65139.0,75411.0,83258.0,67563.0,87794.0,101186.0,74401.0
이문1동,87928.0,130270.0,45586.0,99150.0,142868.0,55433.0,94832.0,135371.0,54293.0
이문2동,158033.0,158033.0,,104243.0,147373.0,61113.0,96239.0,131952.0,60526.0
중랑구,87387.0,104812.0,69963.0,89367.0,107328.0,71406.0,89420.0,106311.0,72529.0
면목2동,63813.0,88762.0,38863.0,67436.0,94046.0,40826.0,70889.0,96736.0,45043.0
면목4동,66950.0,71686.0,62213.0,68039.0,72418.0,63661.0,63001.0,70766.0,55236.0
면목5동,62999.0,78060.0,47938.0,55710.0,67789.0,43631.0,69131.0,89668.0,48594.0
면목본동,92326.0,119903.0,64749.0,94721.0,120111.0,69330.0,96282.0,123128.0,69436.0
면목7동,86481.0,108558.0,64403.0,83819.0,103607.0,64031.0,73810.0,103393.0,44227.0
면목3·8동,75990.0,106840.0,45140.0,75467.0,108895.0,42038.0,78837.0,104270.0,53405.0
상봉1동,91210.0,105488.0,76931.0,87565.0,106207.0,68923.0,87527.0,89679.0,85374.0
상봉2동,111753.0,146834.0,76672.0,110855.0,148592.0,73118.0,109128.0,135249.0,83008.0
