연도,분기,구이름,행정동_코드,행정동_코드_명,소비점수,생산점수,인구점수,지역경제활력점수,지역경제활력점수_T
2020,1,종로구,11110515,청운효자동,-0.29156420868894267,-0.2973161248751753,-0.6360656031546833,-0.4083153122396004,45.916846877603994
2020,1,종로구,11110530,사직동,0.17529960251517637,0.25618495962639143,-0.1283470499584701,0.1010458373943659,51.010458373943656
2020,1,종로구,11110540,삼청동,-0.28685183624203864,-0.5800486825502215,-1.327648438110547,-0.7315163189676023,42.68483681032398
2020,1,종로구,11110550,부암동,-0.3800291348801332,-0.5623773771641781,-1.0639974334881146,-0.6688013151774753,43.311986848225246
2020,1,종로구,11110560,평창동,-0.3365967385881836,-0.8200753746509508,-0.6063743968524457,-0.5876821700305267,44.123178299694736
2020,1,종로구,11110570,무악동,-0.36802804781498255,-0.7578528517452466,-1.0763572089132105,-0.7340793694911465,42.65920630508853
2020,1,종로구,11110580,교남동,-0.37360465684858646,0.006537284348803407,-0.8342812689114837,-0.40044954713708886,45.99550452862911
2020,1,종로구,11110600,가회동,-0.32260710504254525,-0.8192338566103997,-1.1087551126059492,-0.7501986914196314,42.498013085803684
2020,1,종로구,11110615,종로1234가동,2.3258445184983585,3.1450573564446693,1.952630071246569,2.4745106487298654,74.74510648729866
2020,1,종로구,11110630,종로56가동,0.16436028079782178,0.03621227358568476,-0.3497941600343673,-0.04974053521695359,49.50259464783046
2020,1,종로구,11110640,이화동,-0.17761541544325402,-0.5055547220616983,-0.8603184739579229,-0.5144962038209584,44.855037961790416
2020,1,종로구,11110650,혜화동,-0.10458139692057729,0.08953405340441001,-0.017875433576529366,-0.01097425903089888,49.89025740969101
2020,1,종로구,11110670,창신1동,0.022489360645821438,-0.05373711327355294,-0.9726660837629253,-0.33463794546355224,46.653620545364475
2020,1,종로구,11110680,창신2동,-0.3445306621903257,0.02097604453450863,-0.6417500295065677,-0.3217682157207949,46.782317842792054
2020,1,종로구,11110690,창신3동,-0.4019829236278223,-0.7275636282771204,-1.2344018475390182,-0.7879827998146536,42.12017200185346
2020,1,종로구,11110700,숭인1동,-0.3789977314688251,-0.8174818017002871,-1.0920662268753938,-0.7628485866815019,42.37151413318498
2020,1,종로구,11110710,숭인2동,-0.2598875984040551,-0.452213633102162,-0.5868922087054708,-0.4329978134038959,45.67002186596104
