cluster,유동/등록비율,유동/직장비율,등록인구밀도,직장인구밀도,유동인구밀도,집객시설밀도,프랜차이즈비율,상권변동성,유동1인당매출,등록1인당지출
0,92.2194,366223.9821,9.7426,1.7743,14.2959,4.6346,0.0963,4.9967,8.3188,11.3095
1,245.5282,2612.6837,10.2185,7.8085,15.6982,5.2737,0.0913,5.6637,8.684,12.0701
2,910.1366,116.0882,8.6454,10.7637,15.5622,5.808,0.048,3.7827,10.1599,16.6443
3,182.8032,983.6325,9.1369,7.3779,14.316,4.4086,0.0832,5.148,9.1936,12.2124
