cluster,유동/등록비율,유동/직장비율,등록인구밀도,직장인구밀도,유동인구밀도,집객시설밀도,프랜차이즈비율,상권변동성,유동1인당매출,등록1인당지출
0,106.8505,394521.8817,9.821,1.8213,14.4291,4.6266,0.111,5.597,7.9139,11.3712
1,266.9247,4979.7631,10.1779,7.9137,15.6813,5.2724,0.0909,5.6262,8.7257,12.2569
2,1042.7075,231.9378,8.5507,10.6233,15.4082,5.6986,0.0559,3.9115,10.1669,16.2422
3,198.9993,3758.6986,9.0298,7.3635,14.1868,4.3375,0.0851,5.1462,9.2825,12.5315
